rating,review
4,We have had the tablet since Nov 2021. Today is September 27th and the tablet is completely dead. Ordered a new charger and that wasn’t the issue. Now support and returns are closed? Seems like this is a common issue. I have a 3 year old who gets this as a reward for her behavior so it’s very frustrating to not have. I do not recommend save your money and just buy a more expensive tablet now I have to buy a better one and have wasted this money already.
5,My 2yr old grand daughter absolutely loves this tablet and so do I!  I love that you can switch between kid account to parent account simply by opening the iWawa app and can control what she's allowed to download (essential because even kids apps you get from the Play Store will contain ads) as well as time limits etc through the family link app. You can also choose email or text for notification or requests coming from her tablet.There's a lot of kid friendly apps already installed on it as well that are ad free. There's nothing really you can't do on it that you can do on your own phone or tablet for entertainment - as far as game apps or video apps reading apps internet surfing shopping or whatever... It has a good amount of storage and I think I read somewhere you can add more with a memory card..The brightness and sound are just fine as well.  The handles are awesome too because they pivot around and can be used as a kick stand and works better then some of the other ones I've seen on the market. Note the tablet is not removable from the case without removing screws so I wouldn't recommend it.I did have a small issue with the charge port and even though the warranty time for returning had passed; YosaToo the manufacturer of this tablet offer LIFETIME servicing of their equipment! I was able to reach them by sending a message through my original purchase link with Amazon to contact the seller and reached their sales department who provided me with all the info I needed to contact their service department.  I paid a small shipping fee through priority mail to send it back to them to have it fixed and they sent it back within a week!Amy over at their service department was very sweet and a real pleasure to work with. She offered a quick solution and provided me with all the information I needed to get it sent back to them and repaired. My grand-daughter didn't even know it was gone because it was back so quick lol!In my opinion this is a great little tablet that can handle a 2yr old carrying it around. (It's a great tablet for adults too in adult mode!) It's got storage parental controls access to the web the Google Play Store for all the apps you could want - and both the sales and service departments at YosaToo were very easy and pleasent to work with.
4,Received it on Aug 6th. They work great lots of games and easy download. They tend to get slow when there are more games downloaded but not that bad. However the power button on one of the tablets just completely stopped working. These haven’t been dropped or anything. I’ll probably lay be returning it to get fixed or exchange.
4,I got this for my 15 month old son for a long car trip we where taking. Battery lasted about 3 hr into are 7 hr trip before we had to charge it. He loves the handles and throw it around.. hasn't broken yet.
5,So I finally caved and decided to buy my almost 2yr old a tablet so he's not left out when my older kids use theirs and let me just say - we LOVED this one! It has plenty of games and apps already in it so you don't have to spend the time looking for fun educational age appropriate games for your kid. All you have to do is click on one of the apps and it automatically downloads it for you. There's also already a bunch of pre downloaded videos. As a mum I think we all know anything that saves time is already a winner right? It has a separate account for you to set up parental controls and what not as well as a timer so you can set it for however long or little time you want your child using the tablet. I currently have ours set to 20 mins twice a day. Once the 20 mins is up a cute little sleeping bunny pops up so he knows tablet time is done for now and he doesn't put up much of a fight bc " the tablet is sleepy and needs it's nap time!" The separate account for the adults works just like any other tablet so as your kids get older you could always allow them to use the more grown up features it has. Another god sent feature on this thing is that the kids account is specifically set up so that your child  - who will most likely just press a bunch of buttons and tap all over the screen - can't accidentally exit out of their games or videos (I'm sure any mumma's who have let their kids use their phones know how annoying it can be to have to continuously fix the phone so it's actually on whatever game or video they're on). The handles are movable so they double as a stand which is also neat. We've had it since Xmas and so far it's proving to be very durable ( survived being thrown multiple times dropped and even stomped on) and it's also super cute. Definitely recommend this product it's a great first tablet!
5,Second touch screen I've bought for my almost two year old. This one by far is the best. Great picture and amazing battery life!
3,It's cute and all but the part I hate is that I can't lock the screen to where my little one can't turn the screen off completely with the lock button on the outside of the screen. She will be watching her show then grab it wrong and the screen cuts off because she pressed the screen lock button on the bottom. If I could put a parental lock to keep her from doing that I would love it more!
5,I like it
3,I love it for what it does but the response when touching the screen is horrible
5,The screen quality is really good for the size of the tablet and the battery life goes a long way for sure!! Couple days and still has battery life.
