rating,review
5,Very good product for a very good price. This charger has worked flawlessly for the past year and a half. I have little else I can say to to add to that. Easy to pick up and play when swapping out controllers when the first drains. Can and have recommended this one to friends.
5,The charging cable that comes with the ps5 is way to short so I had to purchase another controller. Now when I am not playing both controllers can be charging at the same time or if I am playing with one and the battery dies I pick up the charged one and put the dead one on the charger. Super easy and works great.
5,Honestly these are great but my only wish is that they would seat a little easier into the charging ports. There’s a certain amount of finagling required or to hit it at the right angle every time & I feel like that could be achieved by a smart engineer. But that’s my only gripe.
5,Excellent buy.. my son is a gamer so this is perfect for him to charge his controllers
4,My only complaints about this item is the connection isn't as tight as should be and it takes a bit to get the connection just right. Otherwise a good product for the price.
4,Having used a charging dock for my PS4 controllers for many years now I thought to invest in one for the next generation of gaming. If memory serves some folks have noted how the LED display images on the front do not indicate charging (not changing colors) so I was happy to see that is not the case for mine. Red when charging blue when "full." While sliding a controller into the dock itself can be a bit iffy at times the device does its job well and consistently. I am a "mild user" with maybe just a couple hours of playtime a week so more regularly recharging and/or time in general could have an effect. Would recommend!
5,Husband loves it works great
5,Buen producto y carga bastante rápido los controles
5,I don’t leave reviews too often but I had to for this. Packaged nicely from the manufacturer and very sturdy. For this particular charger I like the fact that it has a plug-in so I have the option of not having it tethered to the PS5. Matches the system and the blue lights are nice (and can be turned off). For the money I highly recommend. Quality as if it was made by Sony!
5,Charges well (pretty fast if you ask me) can't really say much on that because I charge the controller before it runs down completely.  But contrary to other reviews here maybe because I may have gotten an updated version...The Controllers fit perfectly and easily on the dock and starts charging.  Previously my charging dock also bought here on Amazon about 2 years ago...charges the controllers upside down.  They charged from the usb-C slot on the front of the controller.  That made it difficult trust me.  (had an attachment that would come off).So this one 100% so far....keep in mind its less than 2 weeks with it...longevity is still up in the air.
5,My daughter loves it! You can even charge the controller right from the wall adapter if you wanna play while it charges…. Good affordable buy for an expensive console
5,Nice
5,Partner commented what a PITA the PS5 controller battery was bc it didn't hold a charge long. Not even an issue with this. Charges fast and whenever it's not in use it goes on the cradle (organized and charged yayyyy). Looks nice as well. Was a great surprise for him. Been several weeks since purchase and still going strong. Will probably buy again when we end up buying additional controllers or if it craps out in the future. Great value for price.
5,Product was great
5,Very happy with purchase and product is great quality.
