rating,review
5,I use this at the left side of my bed. It clamps onto a side unit. What I find remarkable about this clamp is that I attached it about five months ago and it has not loosened its grip at all. Rock solid stable.  The phone holder is equally effective at holding onto the phone even with an occasional mid-sleep bump of an arm. The lenght and flexibility are also excellent. I fully recommend this product.
5,First my intent on buying this was to mount on a baby grand piano and be able to do video lessons with students.  My concerns when buying it were:1.  How strong the goose neck would be?  I have goose neck mic stands and the goose necks do not hold in position anything very heavy.  Nor do they hold their shape very well.  This holder seems well made and of solid construction.  The goose neck portion is VERY strong and feels like a solid piece of steel rod.  It takes much more effort to bend than a normal mic stand goose neck.  It does hold its shape very well.2.  How would it attach to the piano.  I did not want something that would damage the finish but hold tightly.  The clamping mechanism is easy to adjust and tighten down.  The clamp itself has some rubber pads that keep it from scratching the piano.3.  Will the phone clamp securely hold the phone when placed facing down.  The clamp is strong enough to securely hold the phone in any position.  There are a couple ridged areas that you will want to make sure the phone is behind to make it secure.Now for a few "take note of" points.1.  The piano is on wooden floor joist and not a concrete floor.  While playing or even walking around the piano there is some "bouncing" of the piano.  It is not a whole lot but it is there.  This causes some bouncing and movement of the holder and phone.  It is not so much due to the holder but on what it is attached.  I might have to move it to a stand on the floor but it also bounces some.  I will need to check to see how much it affects the view by the student.2.  Dialing "911".  I have an iPhone which has the capability to dial 911 when pressing the side buttons together.  Be careful not to clamp the clamp over these two buttons.  Also do not press these buttons while trying to put the phone in the clamp.  You can either take note of this while inserting the phone or simply turn off this feature on the phone.  The later was my choice after accidentally dialing 911.Otherwise good quality and price. Sturdy. I can see it working for multiple scenarios and applications.
5,I have a cluttered home work desk with 2 PCs Bluetooth speaker clamp on lights...This phone holder is just what I needed to keep my Android phone out of the way but accessible!Very sturdy but easy to place where I need it.  Love the gooseneck design.
5,Exactly what I was looking for!!! Love love love this product!!!
5,This product is exactly what I needed for my IPhone and I’d highly recommend it to anyone in need of such a product !
5,excellent product!! stronger and fits perfectly.
5,Sturdy and able to grab a 3/4" pipe.
5,I love this product so much that I purchased four for myself and three for business associates. Great product!!!
5,Highly recommend I have Neuropathy and this really comes in handy
5,It’s been in my car for a couple of weeks now and is still holding on like new. I love that I can adjust it so that it’s not in the way of anything since my car is small.
