rating,review
5,Like the quality
5,the sound quality is very good. I used this for my old car's tape aux and it works well.
4,The adapter sounds great but when using iPhone compatible Bose Noise Cancelling earbuds the volume and stop/start/skip controls do not function.
5,I don't normally leave reviews but I wanted to share this one piece of information regarding this lightning to 3.5mm headphone jack.  This dongle works great for all aspects of the iphone EXCEPT the dongle will NOT allow you to use a wired headphone with microphone during a phone call.  The mic and headset will work perfectly for recording memos on the iphone teams meetings skype discord anything else involving a wired headset with mic but NOT during a phone call.  The description of the dongle after realizing this spells out all the wonderfulness that this dongle does do with music functionality so I assumed that it would work with phone calls but it does not.  I missed the return window and spent a lot of time googling causes for headsets not to work and opened a ticket with apple before realizing that I missed the description not saying that it allows for phone call operation (works for any other functionality as I mentioned above but not phone calls).  I assumed with the "Apple MFi Certified" notice that phone functionality was included but my mistake.  5 minutes before writing this review I saw in the questions section that they confirmed that this didn't work on phone calls.  All other aspects on the iPhone this dongle works wonderfully just wish I'd realized before purchasing that it didn't work on phone calls and I've missed the return window.
3,Last one only last 6 months losing sound. Other wise worked well. Giving it one more shot.
3,The adapter works great and sound is good but it’s not very durable. I dropped my phone from about 4ft and it didn’t even land on the adaptor at all but it snapped the lightning part right off. Fortunately it didn’t get stuck in my phone.
5,I purchased an inexpensive karaoke basic karaoke set that needs to be connected to a device and speakers.  I figured I can use my phone or laptop as a device but needed an adapter.  These work well.  I also have been using them to connect my wired headset to my old headphones and now I can watch kdrama without bothering my family :D
2,Works fine -- unless like everyone else you're using a case. Then the jack is just barely long enough to go in all the way. Just walking around it slips out enough to stop play. Immensely annoying.Too bad; the sound is fine.
2,Worked great on my iphone 11 until it stopped working. Now it's too late to return it. Maybe that's why they give you two!
5,They work
