rating,review
5,The apple brand charger wanted me to buy stuff separately which I guess would works if you get a brand new phone that’ll come with a cable but not the wall plugin. But I wanted the whole package which exactly what was offered here. My only gripe would be cable length but I shouldn’t be on my phone while it’s charging anyways. Guess that’ll deter me a little.It works as expected with the main part of the product securing itself magnetically to the back of the MagSafe otterbox I got at the same time and wirelessly charging for 20% to full in about an hour and a half. Good stuff. I’ll be looking around for a longer cable version soon.
5,Basically exactly like apple’s MagSafe charger. This threekey charger has the same MagSafe charging animation and looks the same. Great purchase! Charges fast
5,Me gusta mucho este cargador me demora como 1 hora y media no carga muy rápido pero es cómodo!!! Lo único malo es q se calienta no siempre pero algunas veces pero igual me pasa con todos los cargadores
5,My iPhone 11 Pro lost its ability to charge via a lightning cable so I needed an alternative.  This is perfect.  I leave the phone on the magnetic charger overnight and the next day it's fully charged.  Thank you ThreeKey!
4,This charger works great but could use some minor improvements. The cable is short making it hard to use while charging. Also the charger head is permanently fused to the cable so I cannot change it for a longer USB c cable. Other than that this is a great product.
5,Purchased two so far. Feels pretty sturdy compared to a different brand I tried and returned
5,This is my favorite product in this category. The price is right and it works well. I have ordered two of these several months apart.
5,Like that you can just leave it on your desk
5,Great looks works very good consider that the cable is just 1 mtr
5,I’m pleased with my purchase and this is highly recommend 👍
5,Good magnetic charger and it comes with power adapter if you need one. Using the charger with a MagSafe case.
5,This charger works great for my Apple 12 Mini. The magnet is strong enough for the charger to lock into the phone without me trying to fish for it. I have found that it charges as fast if not faster than the lightning cable and I have found a few times recently that my lightning cable failed to charge my phone. Dirt can accumulate inside the lightening port and prevent a good connection.The phone gets slightly warm with this electromagnetic charger but certainly not hot. I use a magsafe compatible case and I don't normally let my phone discharge below 20% so maybe that and the reason that it's a mini is why I haven't experienced the heat that others have. I haven't traveled with it.You should keep any electromagnetic charger away from ferrous metals. Close contact with those could cause some dangerous heat.
3,I like to listen to  audio while charging phone with my AirPods. This works fine with an Apple MagSafe charger but with the Threekey there is a loud pulsing base sound in the background.
4,It works and does everything it’s suppose to do. But it still heats up when charging.
5,I’ve used other chargers in the past and this one is the best so far.  It grips the table top keeping my phone from moving while charging and theres no guess work when it comes to knowing if its on the wireless charger properly.  I just wave my phone over it and the magnet snaps the charger in place.  My order was processed shipped and deliver very quickly.  I’ve bought two of these so far and have been very happy with both.
4,Great charger it works great with my iPhone 13 pro max.  However I do wish the cord was a little longer.
3,Becomes hot too fast. Uncomfortable using
4,Easy to set up and charges phone pretty fast I’d totally gift as a gift
5,It charges my phone pretty fast
5,It is so easy 2 use
5,Fast charging.
5,Nice little charger a a decent price point. Powers up my phone quickly. Easy to take traveling. Magnet works through my “Speck” phone case. Not a usb connection ( requires electric outlet so assuming adapter or different device would be indicated if 110 voltage not available)
3,Mine heats up way too quickly and also heats up my brand new phone.
5,My Magsafe wireless charger broke and this was the replacement i purchased. I am very pleased with it after a week of daily use. Phone connects automatically and quickly quick charge too. I am pleased with the design and the color as well. I picked this product over others because it came with the charging cube which many others did not. Would recommend and would purchase again!
4,It lacks charging power and seems to take forever to reach full charge. Pretty disappointing.
5,Fast and easy
5,This charger is great. It’s easy to use and charges your phone fast. I have an iPhone 13 mini and this charger seems to work much better than the $50 Apple version. Definitely would recommend it to anyone who’s looking for a better more cost effective wireless charger.
4,Easy to set-up and use.  However cord is really short otherwise I would have given 5 stars.
5,Works exactly as it should.  Great price no issues.  I would buy again if needed.
4,When I received my charger it kept cutting in and out and wouldn’t charge. Customer service had already sent me an email inquiring how I liked it I explained that it wasn’t working properly and they followed up with a replacement within 3 days.  The replacement works absolutely perfect and I’m very happy with it.
