rating,review
4,Did a great job recognized two separate cards (SD and microSD) at the same time as separate drives which was nice because I needed to transfer files between the two did it quick found no problem Windows 10/11. My only gripe is the USB connector especially with the little adapter will probably block one of your ports if you have them close together. The Black plastic is a bit wide in that area.
4,This seems like a cheap card reader. You know how normally with SD card inputs there's a spring and it "clicks" into place? This doesn't have that. You just push the card into the slot and in a moment it is recognized by your computer. I really wish it did have that click but for the price it's ok. It does what I need it to do and it hasn't given me any problems with it so far.
5,It works well has a solid build quality blue led that is not too bright for data movement feedback and the tail that is the perfect length to reach around the computer without getting in the way.  Highly recommend.
5,Bought for work. Keep plugged in to computer can import pictures into patients charts as needed.
5,I bought this reader hoping it could read a Sony Memory Stick - MSA 128A - from one of Sony's earlier digital cameras.  This card reader has an appropriate slot for this type of memory card and it read it perfectly.
5,I bought a camera (early 2000s) to take retro photos of my car. It only takes memory pro stick duo cards. I couldn’t find anything to read the cards until I found this. Absolute life saver!
5,looking at pictures on a SIM card
5,I was having trouble reading memory cards with my computer but this solved the problem. Recommend!
5,Very easy to use
5,Item was of admirable quality. Exceptionally fine packaging. Delivery was ever so fast. Recommended.
5,This is a pretty awesome card reader.  It will read multiple cards at once and makes file transferring very easy.  Well worth the money!
5,Most new computers no longer come equipped with these standard features so it is nice that this one unit has multiple functions. I use it once a week to check the SD camera footage on the farm obtained at entrances exits and animal pens. I needed something that was reliable and easy to store when not in use. This object helps keep our peace of mind. The product is easy to find under PC menu and is easy to operate.
5,I am a photographer.  My wife asked me to take photos of our pets.  My response was "we have over one thousand each how many do you want?"  Point is I need a way to store and back up huge quantities of photos.  I use SD cards.  This card reader stays plugged in to my main computer all the time....except when I need it with my laptop or my tablet (have not tried it with my phone..yet)  It does come with multiple plugs.  Out of the way till you need it then just works.  Again great product fast shipping priced right what more can you want?
5,After many years of faithful use my old card reader died.  I do a lot of video "taping" and then need to download onto my computer to edit.  My old one was much smaller this thing is pretty big but accepts the cards that I use and I don't mind bigger.  It is easier not to get lost.  This one also has a regular USB and a USB C reader on it.  I used both and the computer immediately recognized it as a drive as soon as I plugged it in.  I imagine the USB C might be a bit faster but an hour of taping usually only takes about 5 minutes to download onto my computer so if it takes 3 or 5 does not matter much (I will get a cup of coffee and it will be downloaded when I get back).  So far 5 star product and imagine it should work many years like my old one did
5,CF are not widely used these  days. Finding this easy to use multi storage device reader was just what I needed. Opened and used it upon receipt. Worked perfectly. Will it last and function  long term is always the question.
5,does what I needed
5,Very fast reading. Easy to use. I like the cord connection vs a direct plug-in unit that is supported by the USB port. Provides both USB A and C connectors.
5,Works great and have never had issue.
5,First time purchasing and works great!
3,ok nothing special but gets the job ( reading cards ) done seems slow and cards go in hard.  but it does read them that is the main need!...
3,Works on my computer and doesn't work on my phone as shown on pictures
4,It does its job.  Good value.  The slots don't offer a lot of purchase for the cards - you are never really sure the card is seated correctly.  There is no "click" in.  But it works just fine.
5,this works fine for loading photos into my laptop.
4,Product works as described.  Nice to have both USB port plugs included.
3,I have no issue with the functioning of this device. Works as expected. But when I connect the reader to my PC and boot the PC sees each of the four card slots in the reader as a active USB device and install it even if the slot is empty. It is not the PC as other readers I have used did not do this. It is annoying and time consuming as I only connect the reader when I need to upload a card.
5,Compatible with most electronics. Easy plug and play features. Worth the purchase.
5,I got this because the tiny cheap plastic reader I had used for years just completely fell apart.  This one is solid reads multiple types of cards and is much harder to lose.  Good deal for the price.
5,Worked as described needed it to load up my ps vita
5,I needed a device to easily transfer photos from my camera's SD card to my laptop. This was exactly what I needed.
5,Work so fine
5,Item as described. Works well.
5,Compared to a similar product that purchased at the same time this one is much easier to work with my mobile devices. Just be careful with how you unplug the device so you won't damage any data on your cards.
5,Thanks.
5,Works perfectly very easy to use quick downloads!
5,Works great and arrived in a timely manner.
5,Exactly what I needed.
5,Easy to use works great…..
5,this card reader is a great value easy to use. card reader can be used with a usb or usb-c port (most phones) very light weight  will take most sd cards.
5,This is exactly what I needed and it performs exactly as advertised.  Great product for the price and I would definitely recommend.  I received it the very next day when I placed my order and that for me was a major plus.  Can't beat it!
5,This card reader has 4 card slots so will work with most memory cards and has 2 connecters on the cord. Best buy I could find for this type of product.
5,It does the job it was meant to do. What more can I say?
5,cannot beat the price
5,Can use several different cards in reader
5,I was in need of a multi-platform media reader and the 4 in 1 Card Reader met all my needs.
2,Used with MacBook Pro  it was working fine  I was very happy until stop working corrupted my SD card. :-(
5,This is a good product works well
5,Used it  to read micro SD cards from GoPro camera.
5,Easy to use and functions great. Thanks for a good product.
5,Works as described
5,Great price - very good quality
5,Made very well it’s very versatile and easy to use
5,Great product reads with ease and highly recommend...
1,Just not at all compatible with my system. Mainline MB and drives.  Had to restore from image three times. Wasn't sure why it crashed the 1st time.  2 and 3rd time...plugged it in.  Tried to read an SD card. Crash and burn. Win 11 so corrupted it couldn't even fix itself. Fortunately it was my "Photos and games" PC.
1,The description said it supports CF cards and I bought it specifically to use with a microdrive CF card for an old Cannon Rebel. The CF card does not fit in it. So it's useless. CF does not fit in this!
5,Great transaction.
5,Works as advertised.
4,Works well but only 1 card inserted at a time.
5,noproblems
1,I loved this and used it 3 times and it stopped working. The little blue light flashes once and then doesn’t work. It won’t stay connected so I can’t get my photos off. Going to have to get something higher quality
5,Easy plug-in and go
5,works great
5,It's versatility and high speed data transfer meets all expectations.
5,Nice working
5,I like the long cord.
1,Unfortunately this devise did not work. It wasn’t too expensive though.
5,This is a simple plug and play item it works perfectly fine and for the price is a no brainer!!! Big time winner for me.
3,Used it once it worked out
1,This does work but just barely.  The C-type connection does not work forcing me to use the USB-A connection.  That's okay as it is the most convenient for me anyway but if part of the item doesn't work as expected that's a big deal.  The SD card slot would also not read my cards.  The only part the does work is the micro SD card reader.  Since this is mostly what I wanted (needed) and it works from the USB port I'm keeping the item.  But I had expected much more from this and it didn't deliver.  I would not recommend it.
5,Can edit files or move to or from various cards and or machines easily and quickly.
2,I will cut to the chase the SD card slot did work however the CF slot had bent pins and I could not get it to work. You are better off paying more and getting better. I don't even want to try a replacement I'm getting a refund.
5,Works as advertised for all sizes of sd cards
5,Awesome tool to have for your laptops
1,If you want to fight to get your card in the slot this is the reader for you. This thing is trash. The wires are bent.
5,Did the trick
1,I thought the description indicated that it would work and there is no slot that fits my memory card.  It is a total waste of money for me.
5,Exactly what I was looking for.
5,It worked!
5,Works perfectly good price
1,A useless piece of trash
1,Prongs got stuck in my CF card making my card unreadable and unusable.
1,We used this CF card about 2 times. Now 2 of the CF reading prongs are bent! Almost ruining my CF card! Sucks I'm out of the return period. Don't buy. Spring for a more expensive reader.
1,Not recommended. The prongs break on first use. Ordered twice both had to be returned.
1,Corrupted my files on my memory card
1,I tried using this 3 times in 20 minutes and it kept crashing my pc. I didn't have high expectations for it but come on now with dead on arrival. I'll just stick with SanDisk readers
1,En realidad el producto luce bien en la foto de el anuncio pero no trabaja bien.
1,Product would not work from the start do not waste your money buy another brand.
1,First time I used it it read the card. After that nothing tried original card again thinking the other cards may be blank nothing this time. Do not buy it’s one time only for me! Junk
1,Algunas veces si lee la tarjeta y otras veces no
1,Unfortunately wasn't compatible with my Fire HD 10 tablet so had to return.
1,The adapter plug is too big if you have a otter box case.
5,works
4,Multifunctional
5,I bought other card reader before and sadly it to didn't work but that one does.
5,I only used for micro sd slot and connect to pc and samsung galaxy phone and it work fine.
5,Easy hook up and self configured in Windows 10
5,Bought to read trails cameras works for just that. Love the phone compatibility.
5,Not much to say It worked well and was a good price!
