rating,review
5,I use my tablet for artwork specifically using Procreate. I had used procreate for 2-3 days before ordering/receiving the screen protectors I can only tell the smallest of difference between cover/no cover. Generally when there is a problem it can also be attributed to going too fast - I.e: if you draw a line then undo then quickly go back to draw a line there “might” be a delay but it’s not an every time thing and I feel better knowing my screen is protected. Another thing I noticed covered vs uncovered using the iPad & pencil without the cover the pen would lag or get stuck if there was a fingerprint & so far I have not noticed that issue since putting the screen protector on.Install was also pretty easy I do recommend watching the YouTube video just to get a general idea (link provided inside the box). My only personal complaint is that I wasn’t fond of the cleaning wipes. I have used other screen protector kits & the wipes included in this set seem to have a stronger smell and take longer to clean off/clear the screen. My solution was to use the wipe then a very slightly damp paper towel before using the provided microfiber cloth.Final note is I was very impressed with the packaging. I was expecting something flimsier but they come in a well protected cardboard box/case that you can continue to use to hold the other set until it’s needed.
5,I bought these to go on my 5th gen iPad Pro 12.9" and they've been great so far. I've only used one but it's went on super straightforward and I don't think it's harmed the picture quality or anything whatsoever. I do wish there was a slight anti glare coating or something similar on the front because compared to the plain screen it does glare quite a bit when in sunlight or something bright but that's a very small price to pay!
5,Easy to install
4,Easy to put on jus missing the gadget to get the air bubbles out
5,The touchscreen works super well easy to install and perfect size for the iPad Pro 12.9 I really recommend it to anyone who wants to have something good
4,Excelente producto 👍🏽
5,I really like the product but it was a little difficult to put the screen protector only because the iPad is so big . But over all it worked out well.
5,Great products
4,It was a good product
4,Installation was a bit difficult lots of air bubbles and there was no way to remove it had to push them out. Quality of touch screen seems to be good quality it’s on the thick side so it will handle scratches. Most importantly the screen covers the entire iPad screen. iPad pro 12.9 2021 5th gen. And supports Apple Pencil. In addition it include camera lens protectors.
5,Great product quick delivery
4,Easy to install. Great screen protector
5,To soon to review
5,I loved the simple fact that it was installed in less than 1 mi ute literally less than one minute.  It took longer to take out the package than to actually install the protector screen.  Love it!!!
3,It’s fits
4,So the screen protector is amazing but the camera protector is use less it falls off too much.
5,As described. Delivered before estimate date.
5,Only downside to this was that my apple pen didn’t work great with this. But since I don’t use my pen that often I’m extremely happy with this. Honestly the video it tells you to watch seems skeptical but it worked exactly like the video! I was surprised. I bought for iPad Pro 14 and it fit great probably a millimeter shirt on all sides but once my case is on it’s not noticeable.
5,I love APPLE’S Ipad Pro - 12”.  I had the original 1st Generation now I have the 5th Generation and am loving it.  This Screen Saver is great not a lot of smearing and everything  comes thru clearing.
5,So it fit perfect and was kind of easy to put on. Kinda because yes it stuck well but I hate having to take only a back slip off and getting it on. But I mean hey it fit and stuck well. Both sides fit and stuck well on it. Good buy
5,No issues with installing fit and touch screen works fine
3,It’s a nice screen but it has bubbles and it’s on a brand new fresh out of box IPad Pro.  And before you say I put it on wrong my husband who has been doing these for 20 years did it.
4,It's a universal doesn't fit exactly right on first generation iPad pro
4,Just as expected
4,Works very well and somehow picks up less finger prints than the normal screen!
5,Easy to install. Good quality. Price includes 2 great value
5,Install worked as specified.  No bubbles and I always get bubbles.
4,This is a good pack to get to protect your iPad screen. Worth the money and easy to use. The only thing missing from the pack is a thin edged tool to smooth out air bubbles.
4,Me parece que es un excelente producto. Le bajé una estrella porque me vino rota una de las 2 micas de protección para las cámaras traseras.
5,I am very satisfied with the screen protectors . They fit perfectly and adhered well . It saves a lot  of money and I am not able to tell the difference from a more expensive brand.
4,Great product for the money
3,Couldn't use. Threw away
5,i saved up three months worth of pay to buy an ipad pro so i knew that i was gonna take every precaution with it once i got it. i bought these screen camera protectors plus a heavy duty case. i was a little worried the screen protectors wouldn’t fit with the case attached but they fit perfectly. the screen clarity is great the touch sensitivity is the same and my apple pencil still works great. super easy install with the guide stickers / cleaning pads. will definitely repurchase if i ever need more.
5,It’s super easy to install especially after watching the video. No bubbles!
4,A good fit.
5,This screen protector works as advertised.  Installation was easy.  I had a few bubbles I couldn’t get rid of…until I watched the YouTube video.  I followed the video and it worked great!  I don’t notice any loss in picture brilliance with the 2021 iPad Pro 12.9 with the protector on.  There are almost no fingerprint on it either - I was surprised.  My screen was covered in fingerprints before I put this on and now - nothing (or at least so feint you have to look at it in a certain light to see any.  I haven’t taken any pictures with it to see if the camera protector has any affect but based on the screen protector I’m not concerned.  Well worth the $
5,Easy to install. Good Quality.  Fits my IPad Pro very well.  Will not damage the tip of my IPad pencil.
4,Overall the installation process was pretty simple but I did run into an issue with getting out the air bubbles. The method shown in the instructional video was easy to follow but the part where I put finger through the middle to place the screen protector ended up giving me two huge air bubbles. Luckily this is a two pack and I managed to do a little better with getting out the air bubbles
5,I had trouble installing the protector. The second try was better. Very durable
5,Works great
5,Works as advertised. Good value.
4,Found it easy to use and wish I had a Placer too
5,Product and installation was great
5,I have had bought this for a couple months back. About 5 or 6 months and this screen protector is still intact. I had dropped the device a couple of times and protected the screen with ease. and it didnt even crack it self. The adhesive is perfect aswell hasnt started peeling at the sides either. overall amazing product will be buying from them again when the time comes.
2,This screen protector was impossible to put on and I ended up ruining 1. It must have been a catch! Maybe that’s why two were sent. Then the second one doesn’t fit my screen entirely. Overall I’m highly disappointed :-(
5,I have used Sparin Tempered Glass protectors for all of my electronic products.  A.  The delivery was excellent.  B.  Installation was easy.  C.  Screen protection is outstanding.
5,Product was easy to apply and works just as I expected
5,Easy to install clear instructions. Ended up with a couple of bubbles that will hopefully work themselves out over time. Good value for money.
