rating,review
5,My old ram had 1 of the 4 fail. So I upgraded from the the 32gb set to these 128gb and they work great.  Installed with intel 10900k and Asus rog z490 mb. Surprisingly I notice the biggest difference when browsing photos on my hard drives. The thumbnails and previews used to need buffer time and now it's near instant as I scroll. Second difference is apps load faster. I normally sit at 12-17gb utilization. Opened every app on my pc (adobe suite including Lightroom all of ms office topaz neo dxo steam VR tos and trading view plus 10 websites) and was "only" using about 47gb while rendering a video. Obviously I'd never have everything open all at once like that in normal use but was just curious what it would take to use up 132gb.  My pc did not slow down. Granted the gpu (2080s) can only keep up so much with all that. The render time would suffer bc the VR had priority over the video. Second gpu though and it would be unstoppable. That is next on the upgrade list now just to test playing VR while rendering videos.
5,I’ve heard the horror stories of Corsair Vengeance Pro sticks and I’ve only ever seen one pair fail and they were my buddies new ones that arrived malfunctioning from the start. But he got another pair and they worked fine. I’ve had about 4 different sets now and they haven’t failed me yet.The Corsair iCUE software for controlling the lighting is easy to use a little difficult to navigate creating custom patterns at first but once you learn you got it.These specific models were for my secondary mini pc build because the original Vengeance PRO rgb sticks are a bit taller and risk blocking some parts such as coolers especially in a small form factor build  these newer models are a lot more stylish for one a good amount slimmer and out of the way. And run great so far.  No complaints overall.
5,The Corsair Vengeance RGB Pro 16GB 3200MHz sticks of ram were something I was looking into buying to upgrade my PC's ram as I wanted something speedy and aesthetically pleasing.  Since I have an older 2016 era PC I didn't have a motherboard compatible with DDR5 ram so this DDR4 set was the next best step.  Upon researching which ram sticks would have the best looking RGB lights I decided on these as I saw videos comparing different brands and I can confirm that these look pretty in my case.  The Corsair iCUE software is simple to use and offers a variety of different lighting packages that you can customize to your liking with several different patterns.  Compared to my old 8 gb ADATA sticks I have noticed an increase in overall speed when multitasking.  Overall I am satisfied with my purchase as after being skeptical with which ram sticks I should purchase buying these made me happy with how my PC looked and performed.  I plan to buy a new set whenever I decide to get a new PC.
5,I bought the 32GB have not put them in my new pc build yet since parts are still shipping. When it's all here I'll come back and say if they work good. ⸜(｡˃ ᵕ ˂ )⸝ They're really pretty I feel like they're going to look great. Might buy 2 more.୭ৎ ࣪ ׅ ♡
5,Son hermosas  y su funcionamiento es exelente  su brillo está muy buena  si frecuencia es uy estable  y vas a empezar en el mundo de los juegos te las recomiendo un 100% no solo por su apariencia que es hermosa  si no también por La simple que si frecuencia es exelente
5,I could not confirm that this RAM was compatible with my system.  I took a chance because Amazon returns are easy; it worked like a dream.  I bought the 128 GB set and they were matched.  Booted right up and XMP worked without a hitch. Stable fast and good lighting.  Will buy a second set for my backup PC.
5,RGB +50 Horsepower.No really These went right in worked instantly iCUE isn't a thorn in the side the same way Mystic Light is and they don't argue with me when I tell them what to do. I had to push them to capacity in BIOS so they didn't run undervolted but that's typical.I don't have them overclocked nor undervolted. They hold up well don't put off a bunch of heat the lighting doesn't act weird or erratic. I should've gotten a bigger kit and I likely will in the future.I'm a huge fan of Corsair products and haven't had any let me down in the past or present.(2x8gb/16gb) kit works very well.Build :MOBO: MSI B550 Gaming PLUSCPU : Ryzen 5 5500RAM : Corsair Vengeance 16GB (2x8GB)Storage : Samsung EVO 980 M.2 1TB Samsung EVO 860 SSD 500GBx2 WD Black 4TB HDDCooler : Corsair iCUE H100i Elite CapellixFans : Deepcool CF120 (5v ARGBx6)Case : Deepcool Mattrexx 55-ARGB-WCableMod brand Braided extensions - White-16 year IT professional
5,I no longer wanted to RAM my head into a wall from all the windows errors I was getting before with my 8gb of 2666 ram. Haha get it?
5,I just upgraded my CPU and Mobo and my old ram was out of spec. Picked these up and they are great! Have always had great luck with Corsairs products.
3,Review - CORSAIR VENGEANCE RGB RS 64GB (2x32GB) DDR4 3600 (PC4-28800) C18 Memory-This memory is acceptable but as memory that portrays itself as the best money can buy I expected better.-DISAPPOINTMENTSWhen AMD DOCP (xmp) is turned off Corsair Vengeance RGB RS ram runs only at 2133 mts not the 2880 advertised right in the product name.-Configuring the RGB software for an Asus motherboard combining the Corsair iCue application with the Asus Armoury Crate application is a truly painful experience. Corsair doesn't provide any assistance either. Only after many web searches and finding discussions on some 3rd party tech forums was I able to figure out the RGB setup process. The iCUE software must be installed first and the RGB must be set in the iCue software before being recognized by the Asus Armoury Crate RGB software.-When using Asus Armoury Crate RGB software alone the Corsair RAM is not recognized. I've used other brands of the RGB ram that are recognized without additional software such as GSKILL and ADATA XPG.-When using 2 packages of 64GB to achieve 128GB my Asus ROG Strix X570-E mobo and Windows took 4 tries before it stabilized. On first boot Windows went BSOD before ever getting to the login screen. Only after turning off DOCP then getting into Windows then rebooting and turning then on DOCP in the uefi BIOS and then booting again did the memory finally train and synchronize correctly.-OTHER THOUGHTSUnless purchasing a pre-tested package of 4 RAM sticks it seems to be pure chance to be able to get 4 sticks of RAM from 2 different packages of 2 sticks to run together regardless of brand or price.-CONCLUSIONSBe forewarned that if you think buying expensive "fancy ram" will avoid setup and configuration problems think again. Even with expensive Corsair fancy ram expect to work at to get the RAM to function optimally.
