rating,review
5,UPDATE: WARNING this could drain your car battery if you have an older car. I left it in for 3 days and my car didn't start the first time during that whole time LOL. I was super worried but once I unplugged this charger my battery slowly recharged again and now my car starts every time with no issues. This is still a great car charger but beware if you have an old chrysler 300 2007 you're gonna have a headache. Just make sure you unplug it when the car is off. This issue is my cars problem and has nothing to do with the product but it's something to be aware of.-Original review:Does exactly what it's supposed to do and fits nice and sturdy. My husband can charge his phone super fast and I can charge my older phone in the other port. Haven't had a good car charger in years. (:
5,Got this because I game on my phone and my old charger would only keep me at my current % not charge my phone while playing. This charger works great and super fast
5,Most car chargers are so slow there not worth using! This was a great buy and it's a quick charge
5,Recommended
5,This is indeed a super fast charger. It charges my phone in the same time as my home charger.
5,Very good
5,Product stopped working properly after 2 weeks..
5,nice
5,A fast charger that really works in my car. I have a 5G Samsung smartphone.
5,Definitivamente el mejor que he comprado. La carga súper rápida es en el C. Comprare otro
5,Charges fast for a car charger best car charger I have ever had and it works for my Samsung galaxy s20 ultra just as good as my home charger
5,I have had this product for about two months. I have used it in my car once on a long distance trip to charge my phone. It is a fast charger as advertised. Seems to be strong and well made.
5,Absolutely a fantastic buy super fast charges my Galaxy S21+. Keep in mind you have to use USB C to USB C Cable!! Have one in both of my vehicles.
5,Best fast car charger I’ve ever had! Finally I can keep my phone charged on trips. If I stop to go for a hike or take pics I no longer worry about battery draining. I plug it in when I get back in car and it charges incredibly fast. Totally with it!
5,It charges your phone fast. I’m satisfied with this charger. So far so good.
5,Works great cuts my charge time in half!
5,I have a Samsung S22+ and I wanted a charger that would put it in superfast charge mode just like its wall charger does this charge does that. Works great for me.
4,Perfect for my vehicle love the durability and long cord. Easy to use
5,The first one worked so well I bought a second for our other car.  It charges as fast as any Super Fast wall charger.  A few months in and no issues.  Recommended.
5,This little charger with charge cable combo works so well we ended up buying 2nd one for my wife's car.It charges fast and the blue LED light is not too bright so the light doesn't impair night time driving.
5,Bought 2 of these one for car other for motorcycle super fast charging on my z fold 3
5,This product exceeded my expectations. Great product
5,I gotta say Ive been pleasantly surprised by this little charger. It Super Fast charges my Note 20 Ultra 5G no problem using any of my 2015 explorers DC charging ports. Im tempted to get a few more of these so that my wife and I can charge both phones at Super fast speeds if needed with out the need to move chargers from 1 vehicle to the other. I really like the USB C cable it came with. Its a good quality cable and will most likely last a long time especially if its left with the charger and not moved around a lot to be used for other things (I know people like to use cables for different purposes like connecting to a laptop or TV of they find a good cable Ive been guilty of it my self). This cable can probly stand up to being bounced around if need be but Ive become more of an advocate for having a quality cable for each task you need to help extend life of the cables. Im not hard on them but instead of getting 3 years Im not getting 5 to 6 (with the excption of the cables my 6 year old uses for her tablet lol). Overall this chargee does a great job. I go from 20% to 80% in no time at all. The cord that comes with it is more than long enough to reach passanger side or 2nd row bucket seats with out needing to move the charger to the rear DC charge port on the center console. I can keep it blugged into the the DC port inside the center consoles storage compartment. While charging can create a SMALL ammount heat whith the in CD phone mount I have I can point on of my vents at the phone if I feel the need (which I have yet to do) to cool it off. I would 100% reccomend buying this compact little car charger. For the price theres nothing out there that can beat it for quality and performance.
5,Love this
5,I've been using this dandy little dual USB/Type C car charger for about 3 months now and I am more than happy with it! Not only does the charging cable fit snuggly but my phone actually fast charges with it. The USB port works well. My only negative which is really more of a wish than a negative is that it had 2 of the C ports. I recommend 100%.
4,Not quiet as fast as home charger but still a lot faster then most about an 1.5 hours from a dead battery. Galaxy S22
