rating,review
4,I bought this dashcam for the following reasons:1: high resolution sensor2: Easy app access;3: dual camera support4: 70mai is a subsidiary of XiaoMi which is famous for making decent products much better than the other vendors with unknown reputations;I installed on my car just a couple of days ago in no way it's a longevity review so take my review with a grain of salt.Good:Image quality -- better than my older 1080p dashcam and I can see VERY clearly the license plante on vehicles 20 feet ahead and on neighboring lanes. The h.265 codec compression works excellently as well which only takes a relatively tiny space on mSD card;The app -- The app connection is VERY easy and smooth and reliable. App is easy to use. So absolutely no complain here!So-so:Please know the 1944p resolution gives you a 4:3 ratio video which in dashcam use case the vertical space doesn't mean much;Also the lens distortion is pretty bad. But I know I cannot use the DSLR standard to judge a dashcam and the license plate on the left/right extreme is clearly visible which is the bottom line.Concerns:The dashcam doesn't have any ventilation slots/holes and it does get quite WARM even when working under room temperature. I installed it under the cover of the pedestrian detection box so the unit doesn't receive much direct sunlight but it still feels uncomfortably hot under normal drive/recording conditions. I live in Houston so the summer vehicular heat can potentially kill it quite quickly. Knowing it will most likely void the warranty I am going to drill some holes on the body and hope that helps.
4,Update it suddenly started working properly. But what i said Below this is also true. Because it’s seems it can be immensely unreliable i would tread light.Read the questions about memory cards being killed it’s a common problem and it’s too late for me to get my money back.I’ve been through multiple SD cards of extremely high quality. Bought from the micro center with a warranty because they keep getting killed by this device. I have A Samsung evo plus 256GB  130 mbs micro SD xc (3) 10 A2 v30 .  I have A 128 that got killed instantly. If they could get this issue fixed I’d say this is beyond a bargain. But they can’t and you never know when your memory card will just fail leaving you in some of the worse possibly situations. I live I’m nyc and driving here is not easy in the slightest nor parking and leaving your car. I have this for insurance and safety and it utterly useless because of this SD card issue.  Save your self the trouble.
5,I just got it all installed formatted a new sd card and updated the firmware.  Everything seems to be working perfectly.  Some people stated that the time lapse function was gone but it was there in both versions of the firmware that I tried.  The only thing that seems weird is the rear camera integration.  I can't figure out how to have both cameras on the display or my phone at the same time.  The video files are separate as far as I can tell.  I am very pleased so far with this dash cam.
5,I had a car accident recently. I still can't believe how could this happen. An idiot Korean (women) hit my car and said she didn't see my car. That's rediculous. I showed the police my dash cam video immediately and we run through the insurance very easy thanks to this dash cam. It is awesome you can download the video thru the app. Very convenient.
2,The media could not be loaded.                                                                                 June 14 2022 edit: Annoying start-up sound still exists. I do not recommend that the average user buy this camera.I used this dash cam for five minutes and was going to return it. The issue is the boot sound that can't be turned off in settings. I found a hack online (for Androids and maybe for iPhones) which worked and I've decided to keep it because of the great video and ease of use of the device. Also the sub-$100 value for front and rear cameras is superb! In short if you can tolerate this start-up sound or use the hack (instructions below) to disable it I think you will really like this device.When I turn on my car the dash cam powers up and plays an extremely audible and short jingle. It is very loud and there's no option to turn this off without downloading an app to "hack the system." [See end of review for steps] Even if the volume were low I still wouldn't want it. I drive almost every day and prefer quiet so I get annoyed extremely easily. I've read accounts of other people who don't like this as well. However some people may want to know that their dash cams are turning on and working... but the sound is still way too loud. [The company is going to update firmware for future products but this one is stuck with this issue.] In addition when you set up this camera there's a deafening beep when you toggle through options. I've never heard anything this loud. I don't know what the product people were thinking!I have several other quibbles. This dash cam takes 19 seconds from boot up to start recording. Seriously??? This is 10 seconds longer than my cheaper dash cam. Also the cables are on the right side of the dash cam - I prefer that they be center or on the left so that they are more concealed in my car and less visible to the passenger. Your mileage may vary.What do I like about this dash cam? It is well designed. It looks fine in a minimalistic way - nothing too pretty about it but nothing hideous. The buttons are an absolute joy to press and operate. I've owned three dash cams and these buttons are by far the best. The video quality is fantastic. I played some videos on my computer and I could see houses and cars pretty sharply. I'm sure 4K will be nicer (and at least twice as expensive) but the current resolution is more than sufficient for me.In order to view the videos on your computer  you may need to download a codec (Microsoft.HEVCVideoExtension_1.0.43421.0_x64__8wekyb3d8bbwe) or a free video player like VLC otherwise the footage will be black and you will only be able to hear audio. Newer computers probably don't need this.I haven't used GPS but it's one thing I was excited about. The price: you get a front and rear camera for under $100. This is remarkable and I applaud the company for this. The rear camera is 1080p and isn't amazing but it's good enough.If you don't want to go through the below steps and disable the sound (some people who aren't tech savvy or don't have Androids may be screwed) you can spring for a different dash cam. There are many out there to choose from - many cheaper ones. Even if the quality is lesser these cheap cameras will still work and not have the annoying start-up sound. The main purpose of the dash cam is to prove that you are not at fault and most dash cams will do this. Secondary is capturing license plates.The bottom line: I've decided to keep this dash cam set because I found out how to fix the initial deal-breaker. It's not hard but you do need to connect to your dash cam and be a little patient. I have an Android and I'm good with tech so this took 10 minutes for me. I'm not sure if the app is available for the iPhone. When you update the firmware the dash cam settings are factory reset so you'll have to go through this process again which is very frustrating.1. Connect to the camera via hotspot with your phone's wifi.2. Download the "Mobile Telnet" app from the Play Store3. Telnet settings ---> Remote host name: 192.168.0.1 port: 23 (this is the default)4. ConnectShould display the NVTEAM login labelType "root" and then ENTERThen type this command (in one "sentence" and press ENTER at the very end) with a space between "mv /" and "raw /mnt":mv /mnt/app/res/voice/public/bootsound.raw /mnt/app/res/voice/public/bootsound_1.rawThen ENTERIMPORTANT:If you want to put the sound back you must type this:mv /mnt/app/res/voice/public/bootsound_1.raw /mnt/app/res/voice/public/bootsound.raw
4,I just had car accident and come back to review this it helps a lot for me to say words to police for car accident. really strong words to help me speak out
4,This is THE best value you'll get for a dual dashcam setup at this price point. Lots of features and decent camera quality at a relatively affordable price. Only reason for 4 stars instead of 5 was because it was a pain for me to setup the app that goes along with this camera. Eventually got it working after about a week but I've had no issues to report aside from that.
4,Overall the quality of camera is good. Look and feel high built quality. The front camera is good with high resolution with driving speed and GPS location. The color dynamics isn't good enough sky is washed out and trees are too dark in a not very sunny day. The back camera isn't good even though having1080p resolution it has very soft focus and details. The color temperature of front camera and back camera are not calibrated in sync the back camera is too color saturated comparing to the front camera.
5,Great looking product that is small and easy to set up (albeit a little tedious if you want the wires hidden but worth it).Hopefully I’ll never need it’s function but gives me peace of mind.
3,It looks good but only one camera can view in the screen at a time. Also it always shows the front camera view in the Mobile application. I did not see any option to switch to rear camera in the mobile app. Also it requires the hardwire kit for parking survivalance that is of additional cost and you might have to connect to your cars battery (I did not buy). There are several cheap dash cam that doesn't require a hardwire kit for parking survivalance; instead they use internal battery to automatically turn on and capture the pictures if something happened when you parked your car.Pros:- Easy to use- Good user interface- good picture quality- Good audio quality- additional electrostatic films for mounting- good packaging- looks a standard deviceCons:- memory card is not included- requires hardwire kit for parking survivalance- hardwire kit not included in the package- screen size is very small (2in) but okay- Poor batter backup- only Front cam is showing live in the mobile app- The live view in the mobile app is super slow and lag.- The camera is not flat it is more or like fish angle lens.
