rating,review
4,Because this can go either horizontally or vertically I am able to have my battery charger in the top outlet and then have this in the bottom outlet going horizontally to then use it for my phone charge cord and still have six more usable electrical outlets as well as two more computer outlets.
5,Love it .one of the best so far
5,Use for my grandson’s game console and laptop
5,It works great
4,I had a bigger outlet of this same replaced with this because of the compact size. Big fan this is very stable no “rocking”.
5,Excellent travel companion
4,I like the versatility of having extra electric outlets and a phone charger all in one. Great for my guests when they come to visit.
5,Great
5,Perfect fit!
3,I liked all the options on the strip. Seemed like the answer to my one outlet in the bathroom. When attaching an appliance using one the plugs  you have to stabilize the strip in the outlet. Feels like it is coming our.  I have had another similar strips that included a plastic 3 prong mock plug that fits in the other holes on the outlet stabilizing the strip.
4,Needed more outlets
5,This power strip will be useful anywhere we need it in the house and in our motorhome as needed.
5,i can connect with odd and overshaped plugs.
4,Nice solid made power strip. The mobility action allows me to free up valuable counter space.Like the additional USB ports.
5,It does what the advertisement says its strong and reliable
5,Great for traveling. Can keep track of all your electronics in one place
5,I didn’t dislike this at all  it’s all it did all it said it would.
5,I have about six of these and I travel to meet my clients with one. I love this surge protector I have it in every room of my Apt
5,Works just like stated.  I love power strips/cords with usb and regular electrical ports.
5,USB ports are low voltage
5,Good to have
5,We had a six plug extension cord with wires all over to plug in/charge various electronics.  This eliminates the need for the chord is a surge protector and moves ugly wires to a less visible location.  i am very pleased.
5,Awesome
4,Thought this would be good it’s a good idea but wouldn’t stay plugged in and one part didn’t work.
5,This is my 3rd. one  It is so versatile and meets many needs including USB charging
5,Great price and so useful that we have 2.
5,Like the versatility of the plug.  The fact that it also has USB ports is a plus.
5,This item is a perfect fit for a tight space. I love the swivel aspect. I was using an extension cord that was inconvenient not attractive in the space. Did away with the extension cord when I got this.  So far so good👍🏻
5,Power strip with surge protection is wonderful.  This one is the best we have found on the market.Linda
5,A great space saver for wall plugs and USB powered devices!
4,It works.  Reliability unknown.  A bit speedy.
5,Delivery. was.  A1. CUTE OUTFITS
5,Great item used for my bathroom vanity. It really does so much by charging my shaving razor and my toothbrush.
4,Worth the money
5,Loved the way you can put it into a single outlet and how you can turn the socket up or down. well made and love that you can put a USB in it.
3,Used the Swivel Power to have more outlets in the kitchen AND have outlets to recharge phone and iPad.  When I took it out of the package I noticed the housing would not stay together on it there’s a big noticeable crack up the side and around the bottom.  It does its job just fine but it is unsightly.  I was still ok with it until I saw the same item in my local Lowe’s for the same price and an intact housing that looks fine.  But I’ve spent my money on this one.
5,My plug in my apartment bathroom is upside down. Why? I don't know.  This allows me to use it correctly while having USB to charge my phone or fitbit. Bought one for the sideways plug in the kitchen .
5,It seems that everything and everyone in my house wants to rapid charge EVERYTHING on the kitchen counter.There's times when one person was unpluging another persons item that was being charged.....and this was causing major problems.So now since I bought this swivel power cord there hasn't been any problems between family members... thank goodness!Plus the "rapid charge" feature is definitely a plus.  Everyone loves that and I do too.Being able to swivel it is also a handy feature.  So many electronics come with a large plug that covers 2 outlets.  So having "extra" outlets is a life saver.  This power strip is definitely a life saver.I highly recommend this power strip!!!
2,When I plugged in a toaster and a standard drip coffee maker it trips the switch every time when both are on. This is by far the worst option for adding additional devices to a standard outlet. The 3.1A USB ports failed to charge devices as quickly as other 3.1A USB ports on my computer and various USB hubs. This product does not do what it says it does.
5,I bought this to use in hotel rooms while traveling because you can plug your computer phone and whatever else in at one place.  Very convenient.
5,Bt let’s see how long it will last for.
5,All of office equipment (computer monitors printer phone etc) can be connected to the power strip.  I may need to purchase another one for the gaming room....
5,I didn't have the problem that others have reported of the unit sagging down and refusing to stay in the upright position.  The combination of electrical and USB is innovative and welcome.
4,Granddaughter uses it in her room as she can plug in her phone and use the outlets for her nightstand light and clock without any issue.
5,The cordless design allows for a clean look and works perfectly when multiple devices are plugged in. Even when I have had every single outlet in use all of the devices charged perfectly. I particularly liked its minimalistic design and modern look. It is incredibly well made at an affordable price. The other outlet also works while the Swivel Power is plugged in. I am definitely adding three more to my cart after I finish this review. If I could add a sixth star. Overall if you are looking for a good quality power multiplier then you should 1000% purchase this product.
5,After purchasing this single item I saw the exact item on the Amazon website offered as two for the same price as I paid for one.  I wish I had known that before purchasing this item. Disappointed in Amazon!
