rating,review
4,We are new to the Bluetooth headphone game.  I am NOT new however to the performance audio game.  We purchased these Dime 2's EarFun Air Pro 2 and the Apple AirPods 2nd Gen.  I honestly expected to be returning the Dime's but simply wanted to get a feel for the bottom of the price range.  I WON'T be returning the Dime's.Fit:  I can't talk about "sound quality" until I discuss fit.  The Dime's come with 3 sizes of rubber ear pads.  2 of the sizes felt good in my ears but only 1 size created an ideal "sound isolation" environment.  I used a fully tiled bathroom with a noisy exhaust fan to test all of this sound isolation stuff.  No music not "paired" or powered-on  just me in a bathroom with a noisy fan.  It was really easy to decide which pads to choose for the Dime's.  I was able to accomplish an equally good fit with the EarFun Air Pro 2's it just took longer to decide on which pads were best because they supply 6 options.  Apple AirPods 2G are comfortable and easy to wear but completely FAIL any sound isolation tests or efforts.Sound Quality:  The sound quality varies with the Fit and the audio source;  In that order.  The Dime's have VERY good (almost excellent) sound quality when they are positioned correctly in my ear.  The sound quality is totally lackluster using any of the other 2 supplied ear pads.(see Fit)  The Dime's are definitely tuned to a "flat" EQ with the intent here being the most accurate reproduction of the source audio.  The Dime's nearly accomplish this but maybe sound just a bit "warm" at times.  Not "boomy" still crisp with some punch but warm.  An example of this might be experienced with something like the "Black Album" by Metallica where some of the crunch and texture of that recording will be subtly converted to warmth.  This is an extreme example but one that you may be able to imagine without actually having to go and "listen" to it.  The "price to performance" ratio of these Dime's is insane.  The EarFun Air Pro 2's are even better.  Are they maybe even pushing the boundary into "reference quality" territory?  I'm not qualified to award this label but I am at least qualified to suspect it as possibly being the case.  The Apple AirPods 2G don't fit well enough to create any sound isolation.  Music sounds different every time I put them on or anytime something in the environment changes.If the Dime's are $30 headphones worth $100; then the Apple's are $100 headphones worth $30.  However if the Apple's WERE $30 I wouldn't buy them because I can get the Dime's for $30.  I don't know what to tell you about the EarFun Air Pro 2's..?  They're simply unbelievable at their $60-$80 price point.  I will say that the "touch" controls of the EarFun's are more of a nuisance than the actual "buttons" of the Dime's since I DO have to actually TOUCH the earbuds to put them into my ears.  If I had to offer just 1 suggestion to you it would be to start with the Dime's.  This could become your favorite pair of cheap sunglasses that you just keep coming back to.  I honestly have no idea how much you have to spend to find something that is better without its' own set of compromises.
4,I ordered these earbuds after my airpods suddenly stopped working earlier this week...gotta love apple products :/ I saved $4 ordering them "used" and it is safe to say that they look new as ever. They came in the original re-packaged box with hygienic tape and all pieces/instructions included. The sound quality is amazing and it's a huge relief to hear music in both ears as my right airpod died a couple months ago. The packaging is super sleek I love the forest green color and the zip tie that allows you to clip the case to a bag. Overall the product is very functional and cute. My only complaint is that I wish there wasn't a beeping sound every time I skip a song (does anyone know if there's a way to fix this?). I also dislike the fact that I have to hold down the side button to skip a song and pause the music. I'm used to just tapping the side so it's gonna be quite an adjustment. PSA: the directions don't specify to plug in the case to charge the earbuds prior to use so head-ups to those that also waited 30 min charging them just in the case lol.
5,I've been using these little buds for about 6 months now and I couldn't be happier with the purchase. The grip in my ears is very good I always use them when I jog in the mornings and they never felt like falling off throughout all this time.There is obviously not active noise cancellation but the noise isolation coming from the earphone tips is quite good: using a little over half of the volume sometimes I cannot hear clearly the people speaking around me and the noises from coming cars are reduced in a quiet morning jog environment.For the price you can't expect groundbreaking sound quality but these little buds deliver a decent quality for the price I use them to hear my podcasts in the morning and they sound good for such a task.Battery can be an inconvenience of small earbuds like these but in my case I don't use to use them for longer than a few hours and degradation doesn't mean evident after half a year of use.I would appreciate a battery indicator for the case it doesn't have any and I've found myself trying to use the earbuds just to notice they're not at 100% because the case didn't have any battery on them. There were a few times as well when I couldn't use them at all because they had no charge and the case was also empty.All in all I'm happy with their performance quality and how they've endured through time and I probably would buy them again if I needed an extra pair.
4,I was very excited to get these earbuds. However after having them for about 2 weeks I'm having buyer's remorse. They just don't fit in my ears no matter which eartip I use and that's a deal beaker for me. I do think that the sound is good enough and I enjoy solo mode it comes in helpful due to the short battery life. Still the fact that they just don't fit really makes it hard for me to enjoy them as much as I would've waned to.The mics also pics up a great amount of background noise.Note: They work with my windows laptop and my android phone.
5,I resisted wireless earbuds for a long time because I love my cheap wired pair that I've been rebuying for years and was reluctant to purchase something pricy that I could lose so easily. But after  accidentally tearing my earbuds out of my ears three times last week because I forgot which order I put on my earbuds mask and sunglasses I broke down and bought these.I'm really happy with this purchase so far particularly for the price. I can't judge it against more expensive competitors because frankly I'm not an audiophile so I can't really appreciate the sound quality enough to spend a lot on earbuds. My key requirements were as follows in order:- Price point and/or replaceability: Inexpensive was important but I particularly want to be able to buy individual buds if one goes missing. The Tile feature is a nice bonus over the original Dime and will hopefully further reduce my likelihood of having to pay for a replacement anytime soon.- Size: I have tiny ears and usually struggle with finding buds that fit comfortable and stay in my ears. I have the smallest pads on these and they are comfy while still providing decent sound blocking. I also find they fit my ears a bit better/more securely if I wear them upside down in the opposite ears.- Quiet operation: Might be goofy but I HATE when wireless devices have a talking start up assistant. I don't know why but it's the worst. These have one (unfortunately) but it's at least quiet and the message is short. Since the buds turn on when you take them out of the case the assistant is usually done talking by the time I actually get them on.- Battery life (sort of): I am sure there are earbuds with longer battery life but the case seems to have plenty to get through a day of use. Maybe I'll wish for longer battery eventually but for now it's fine.- Sound quality: I've had wired earbuds that were cheaper with better quality. But these are wireless so I'm willing to cut them some slack. The sound is still clear and of a decent volume. The bass is good and I don't have to turn them up to max on the train.Overall I think this is a great buy as long as sound quality is not your primary interest. In that case you may be happier with a more expensive option.
5,These are great little earbuds and super cheap too. I love how I can hang then off my purse or gym bag. I mainly keep them on my purse and use them when I go shopping to drown out other people and sometimes their screaming kids…lol I haven’t had issues with them staying charged long but I also only use them for short periods of time. I will update my review on charging time once I actually use them for a long period of time.
4,Im a long time fan of skull candy these are great for the price. I wear them for active gym training and slight cardio. These work great in an empty gym however once its packed the BT setting starts to break. I own two pairs. They work great in the sauna too. I wear these in 4x4 setting which means flip then upside down they lock in place. The do not hurt the ear. ive own one pair over a year and used them everyday.
4,I'm sure there's better BT earbuds out there but this one fits the bill for me. If your not a super tech wizard and just want some good ear buds they'll do. I will now they wouldn't stay in at the gym
4,Can not do much of anything without having both in. Battery life is very short compared to others I have for about the same price but the color matches my ear plugs at work so they will have to do.
5,Pros: Nice keychain size! Sound is alright for the size comfortable fit if you have normal sized ears- I have smaller ears they don’t really fit.Cons: battery doesn’t last long at all.Personally I wouldn’t buy the tile version again they chirp so faintly only a dog could find them and with the battery not lasting long enough there’s no point. Save your money and get the regular non-tile version.
