rating,review
5,This little printer is straightforward in its set up and Munbyn certainly gives a lot of resources to help you get things going - there's a physical and digital manual a message help line and online FAQs as well. We had some problems that quickly turned out to be a user error issue but Munbyn was quick to respond and were very kind in following up to help us get things moving.This is the best little label maker for small businesses and the pink and white matches my girlfriend's aesthetic perfectly. The thermal print quality was surprisingly good and things come out very clearly - you do have to tailor your design to be thermal-friendly but that was easy enough to do by just making the logo entirely black and taking out unnecessary intricate details as well as drop shadows. The printing itself is so fast! We love it and have been using the stickers to brand everything from products to equipment to packaging. We've also used it once to print a shipping label and it was surprisingly easy to set up and print as well - it definitely took the stress out of printing a label on white paper taping it down and hoping for the best. Thank you Munbyn! :)
5,Super adorable very easy to use the shipping labels print SO FAST when I click print in shopify - so much faster than feeding a sheet with 2 labels through my inkjet printer. AND I love being able to make my own stickers! I got the set of 3 colors of the round stickers. Found a good video with a google search that showed how to design the 2 x 2 round stickers in Canva and made my own "thank you" stickers to put on my packages on the outside! I have printed the 4 x 6 labels from both Shopify and Pirateship for UPS and USPS - no problems whatsoever I highly recommend this if you're shipping things with any regularity!
5,I have a little soap business and this printer has saved me so much time! Its also saved me sooooo much money! Printing labels on a ink jet printer was getting to expensive! The learning curve on how to use this printer and make labels was a bit steep but just take you time. I use Canva to make labels.
5,As a new small business owner I felt overwhelmed by this set up because I have no technical experience. However to my suprise this set up was sooo easy! I printed out my first order labe today and it was such a thrilling experience ^_^!!!
5,All the negative reviews on this machine sound like user error to me. This thing works great if you have common sense. Obviously don’t put labels in it that have glue on them. This thing runs like a charm never fails and is cute too. Love it
5,The reviews about this printer sold me and  I purchased it immediately.  I did run into some set up issues .  I contacted customer support.  I reached Bridy. The person went over and beyond to resolve my issues and made me so comfortable using the machine  I am a pro. Thank you for your help
5,This is the only thermal printer I've owned and I got it for the new small business I'm running selling collectible cards (Pokemon YuGiOh! Magic etc.) so that I could save money by buying my shipping with tracking online vastly cheaper than the post office and to streamline the efficiency of creating labels. The packaging was really high-quality (I only mention it because I literally stopped and thought "wow this is a high-quality sturdy box and some top-tier solid foam") so it could arrive without damage it came quickly and the printer itself is fantastic. The setup was a breeze; it comes with a USB-A drive that my Macbook Pro had no trouble reading it installed in like one second and then all I had to do was select it as the printer the first time I tried to print and it was all super smooth sailing from there. The drive also had an FAQ document in it for how to solve problems and how to set it up and configure it for use with different shipping platforms which I thought was really handy. It also came with a small packet of fan-fold thermal labels. One word to the wise that isn't mentioned in set-up instructions from what I could tell (some of you probably already know but for a thermal printer newbie it took me a bit to get this): the first time that you feed the 4x6 label into the printer while it's open you need to "pinch" the two label guide tabs together to tighten them so that the label doesn't have any wiggle room to drift to one side or the other. Otherwise it will print a bit off center randomly and I was changing my print sizing to 90% scale for a while until I figured out I needed to pinch/tighten the guides. Now I can print at the normal 100% scale and the full label contents still come out on the 4x6 label. It is a fast printer and everything looks decently high-resolution to me for the purpose of shipping labels--for very small font it's not entirely as crisp as I would have guessed but probably 90-95% of the way to crisp (on super small font it appears a tiny bit pixelated but still 100% legible) and that's just me being picky enough to notice it. When I check the tracking numbers for orders I've sent out they have info in them so it seems like the post office was able to scan all the codes it prints out so for the purpose of the important graphics being crisp enough it seems to work fine. It's also very efficient to print out address labels from 4x6 sheets if you take the time to make a template on word (you just need to go to the page layout and change the size of the page to 4x6; took me forever to figure that out) and are fine cutting them into smaller strips with several addresses per sheet. My only critique is that it's very light-weight which is probably great for some people but what it means is that since you have to tear up to tear the labels the printer itself actually comes off the table before the label tears. For that reason I wish it was a lot heavier but I solved the problem by sitting a book end/paperweight rock I have on top and now it doesn't move lol. You'd just need to find a way to fasten/weigh it down if you don't want to have to put your other hand on top every time you tear a label off.
5,This has been one of the best investments for my small business. I am able to save money labels and stickers by printing them right at home! Tech Support Specialist Ge was able to help me find a small problem with my printer and correct it immediately. Definitely recommend!
5,Using this printer for my business! It’s easy to set up  prints within seconds  & it’s pink!! Highly recommend (:
5,I absolutely love my MUNBYN thermal printer!! I have a small home bakery and use it to print every single day!! I prefer printing my own high quality labels I’ve ordering large quantities from a print service because I can tweak and make adjustments as needed.The printer drive was easy to load onto my Chromebook.The only negative I’ve found is the labels sometimes become misaligned but I’ve adjusted my labels accordingly and it works great!Highly recommend for home bakers and other small businesses!!
