rating,review
4,First it requires an additional charging block.  It needs a wall charger to operate.  I have the Apple 20W fast charger wall block.  At first it didn't charge as quick as just using a cord.  I tried it for the first time aa few nights ago and from 50% it took over an hour to charge on the Apple 20W wall charger.  It responded quick to the phone being on it but not today and It didn't even charge today.  In fact even with all the power drains turned off (wifi bluetooth and open apps) it actually went DOWN in charge while the charger was charging.  In a half hour it first dropped to 68% then back up to 75% and then never moved from 75%.  The phone is brand new and charged 5% in just two minutes using a car charger.  I had ordered a second was in the process of sending this back when I saw on a forum that if it stopped charging the iPhone you need to shut off and restart the phone.  That did the trick and now it responds quickly to the phone being on it and charges fairly quickly.  So I'm giving it most of the stars back and keeping both unless they start having problems again.
4,The charger has a real nice feel and is wafer thin with a nice cloth cover.  The charging alignment lights are bright and yet soft in color.  Best of luck.
5,This thing is amazing! I can set my phone down and I know it will charge. When charging your phone it pulses a blue color on and off(slowly). Also i can go to sleep without worry if my phone is charging or not since I can just lay it on top of the charger. Note: Dpending on your case it could interfere with the phone charging or not so just make sure the phone is charging while on the touchpad.
4,This charging pad works very well and is convenient to use I just wish it came with a plug for a wall and not just the USB cord.  I have many wall adapters but not any extras that support the very fast charging.  Still a great product for the money though.
4,The charger seems to work fine. However the usb-c connector is flimsy and doesn’t hold the cable well. The directions are minimal and aren’t very clear. It would have been easier if the would have just included the appropriate charger. I didn’t have the exact type of usb charger (5V / 2a)  but the 5V / 1a charger I had seems to work ok. The most annoying thing is the bright blue light it displays while the phone is charging. Since I charge the phone on my bedside dresser the bright blue light is very distracting when trying to sleep. It would have been nice if the light was much more faint.In summary this seems to be an adequate wireless charger that is cheaply made and continuously emits a bright blue light while your device is charging. Take a close look at other options before settling for this one.
4,I bought this pad to charge my Samsung Note 20 Ultra and it does the job!I like its thin design which makes it very portable; easy to slip into a pocket or bag along with cables adapters etc. It looks stylish is solidly built with a metal body and the lighted ring lets me know what's happening (green=ready blue=charging rapid green/blue=error). The non-skid coating on top keeps the phone in place and the four rubber feet on the bottom keep the charger from sliding across my desk.With a 25W PD/PPS adapter this pad Fast Wireless Charges right through my phone's case (Unicorn Beetle Pro) which another wireless charger I tried couldn't; only managed standard speed. Super Fast (wired) Charging is quicker but then wireless is more convenient and doesn't strain the USB-C port by constantly inserting/removing the cable; I think it's usually worth the wait to save that wear and tear.[UPDATE] This pad charges my Galaxy Buds Pro but not using my PD/PPS adapter--that results in unproductive green/blue cycling every minute or so (which could be the adapter's fault). But with a standard 5V 2.4A USB-A adapter (and the included USB-A to USB-C cable) wireless charging works just fine for the earbuds: steady blue to full charge.This pad does NOT charge my Galaxy Watch 4 using either adapter; any attempt results in a green/blue flashing error signal.Bottom line: Worth the price... I ended up buying another one for travel.[UPDATE] Deleted one star for needing to use two different adapters/cables.
4,I don’t know why but after connecting to this charger my two-amp power adapter burned out. I ordered a new adapter I'm sitting waiting...
4,I have an iPhone and this charger just doesn’t do the job.  I check to see that it is in charge mode and 4 hours later not much has happened (possibly charged 25%).  One night nothing.  Also the blue glow light is too bright to be in a bedroom at night.  It’s not worth sending back so it will be trashed.
5,Works great ordered first one and FedEx delivered elsewhere I contacted customer service and they sent another one which I did receive and it works great!
4,The media could not be loaded.                                                                                 It charges great and I love the ease of just setting your phone down on it without having to plug it in or worrying about your phone not charging because there was king in the end of your charging port… BUT I wouldn’t keep this on your bedside table unless you enjoy a blue light flashing in your face all night like a lighthouse.The video doesn’t do it’s brightness justice.
5,I bought this a week ago and I have to say it doesn't disappoint. I am always a little shocked at how small the circle is. The diameter is about half the size of my phone so it always feels a little weird putting my phone on it but for the money it's good. You can see the outer edge of the circle light up when it's charging correctly which is helpful. Sometimes I don't line my phone up properly so it doesn't get charged. Also when it's fast charging my phone actually tells me that it's fast wirelessly charging which I love.
3,Bought it so I could charge my phone overnight on my bedside table as we dumped our land line and I could not hear my cell when charging downstairs.About half the time it quits charging far short of a full charge when left overnight on this charger.  Second one I had both same problem one both Apple & Samsung phones.  Two other wireless chargers we have work fine.
5,The charger works great with my new iPhone 13 charges quickly
5,Great Item for multiple items to be charged!  So great I bought a second one for work.  Highly recommend.
5,Sits on a side table and is unobtrusive. Just put my phone on it and it starts charging. So happy I got a second one for my wife to use where she sits
4,This was an alternative charging port when the charging port jack wouldn't work.  Charges in reasonable time.  I never give 5 stars.
3,Like that it is a fast charger; however making sure the phone is properly aligned can be painful.  I think having lighting to show that it is charging is good; however it is so bright it is like a nightlight in your face when it is on the nightstand.  When you remove it from the nightstand the light gets even brighter for a few moments before going out.  Not sure why.  Will probably look at getting another charger for my room and place this one in the spare bedroom with the other one.
4,This works perfectly with most models however when I traded my iPhone 11 in for the iPhone 13 MINI it no longer worked. I suspect the Magnetic charging area on the "mini" is too small to work with this fast charger. The company was great to work with and I was able to resolve the issue to my satisfaction. I do recommend this product however just not for a "mini".
5,Bought two. One for adult son and one for our home. Very easy to use. Plug-in and lie your phone on the pad. Fast charging and worth the money. Would buy the same product again.
5,Works well. When using an iPhone pay attention because phone can get hot.
4,I have a smartish iPhone case and it does not work with it on. Works on other phone with a thinner case.
4,I liked the charger but it is now already dead and of no use. Will not buy again.
4,It's easy to disconnect and uncharged my phone at night. It took forever to charge my phone. I will need to buy another one for sure.
5,One out of three unit stop working within two months of light usage contacted the seller. They replaced the defective unit promptly.
4,It’s very small and easy to travel with. Chargers well
5,GOOF
3,It says USB-C. The connector on the device is USB-C but the cable that they supply is USB-C to USB-A. The suggested power adapter is USB-C so I bought one but it doesn’t work with the supplied cable
5,Affordable great product!
5,So easy to just set the phone on
3,I like that I don’t have to plug it into the phone but it takes a few times for it to connect because mine is set crooked. They may not all be the same as mine but that’s my luck. The cord is short for most locations but I can see where less cord can be good for drawer connections.
5,Love this!  I use everyday and charges my phone fast.
5,its very slow and sometimes not charging my phone
3,The fabric covered one is handsome and works acceptably well. It has a certain color which it lights up while charging and then it changes to another color when fully charged. But the light never turns off! So if you charge your phone at night beside your bed there is a bright light which cannot be adjusted.So for those of us who sleep in the dark this is a day use charger. For those of you looking for a nice night light this is your charger.
4,This wireless charger definitely works faster on my Pixel 6 than the other 2 I have but it gets pretty hot.  I'm not saying it would or wouldn't start a fire but it gets warm enough to concern me that I won't leave my phone charge unattended.
5,So I got this product because it was in sale on prime day.  I have a Samsung s21. I was about to return it because I thought it didn't work because my phone was taking 1 hr 40 at 50% to charge. But I was mistaken.I looked at the directions and it said you needed a 3.0 adapter. Thankfully I had one. I had this one or you can buy a similar one. I'm putting the link here.Quick Charge 3.0 Wall Charger... https://www.amazon.com/dp/B081YGKGJZ?ref=ppx_pop_mob_ap_shareAs soon as I plugged it in the wall with the plug and wall adapter and placed my phone on top of the wireless charger the time went down to charge. It went from 1 hr 40 to 40 mins . Make sure you have fast wireless charging turned on.Hope this review helps. Just make sure you buy a quick charger plug like listed above.
5,easy use great for travel
5,I have really enjoyed this charger thus far. I've had it for about a month and use it almost every day. It looks nice on my office desk and charges faster than I imagined. I have an iPhone 13 Pro and it will charge about 1% per minute based on my experience. I haven't timed it but that's about what it seems like.No complaints at all.
4,Works as expected and charges well. It's also padded and doesn't scratch up your device. It's not the best choice for travel as it's a bit large but it's size makes it easier to use at home sitting on the corner of a desk.
5,I got it got my wife and she loves it
3,Product was unable to charge my S20 Ultra with my UBPro case on. It would charge if phone was placed face down or case removed but not face up with case on. Small and light may work well for those without cases on phone or less rugged cases.
4,It charged fast but I had to keep unplugging and plugging it back in for it to work then it just gave up altogether after 3 months or so.
4,Not as fast as I would have liked but it works and is very convenient.
5,So nice to not have to make sure everything is attached properly. Just lay phone on charger and it charges quickly. Amazing!
3,I'm a bit biased since I hate these things.  I hate having to take my case off just to charge.I needed to purchase this after my last phone became defective and stopped being able to charge via plug.  It wasn't a fast charger.  You have to put the phone on it the right way or it won't charge properly.It's FINE for a backup but I'd rather stick to the plug.
5,What a great thing--to not have to plug in; a very welcome change to things.
3,#1  Not sure how you can say superfast charging.  Charging is based on the power block used and there is not one included with this product it is simply a charging pad with ..#2 Way too much flashy flashy.  When tryin to sleep with phone on the charger its like being in a 70s disco  the LEDs are out of control just give me a green its charging  No green BTW doe not mean charging it means something in range best I can tell.  Blue is actually charging and maybe more flashing means fast... not really sure why it has to pulsate so much maybe I am just sleep deprived.#3 the only reason I gave it a 3 star rating is that it actually does charge through the case I purchased. unless you turn it upside down to avoid the lights.
3,constantly reconnectingRefunded
3,Samsung Galaxy S22 ultra was charged fully in about two hours. Great little wireless charger for that but regardless of what I tried and was advertised it wouldn't charge my galaxy buds+. Exactly two months later and it actively DRAINS whatever I put on it with no change in the device or cord. It was 15 bucks though.
4,Is it normal for a repetitive beeping noise to be coming from this charger? Kinda scaring me
3,I like this charge as it doesn’t take up much space on my night stand and very light weight. However it’s not really a fast charger. Good for an overnight charge.
4,It is not a high quality wireless charger but it does charge the phone.
5,I have 5 of these all over my house now  love them!
3,If you're charging overnight while you sleep  this works just fine.  If you're looking for a quick charge  it's very slow.
3,Good:1) Checked it against several competitor models for my S21 Ultra plus another older phone - same charging speed as competitors given the same type of cable and wall charger for testing.2) Loved how it turns blue and green to signal charging and completion and errors (around the entire device) - the light does not turn off but what I really like it that I can tell it made a good connection with extreme ease (unlike some others that have dim or hidden lights that show behind your phone unless you are very specific about how the phone is laying. I want to just throw my phone on the charger and not worry about rotating my phone a few degrees to see the charging light underneath). Good job here.3) Nice and thin but this could also be a downside...Bad1) I couldn't get over how very very cheap this felt. It was very light like a little plastic saucer. The other chargers I had felt solid. So it's very thin and probably shouldn't be banged around at all. For this reason I'm returning the device. Plus it's almost $20 and there is much better pricing for "cheap" chargers out there to charge just as fast a S21 phone with the included cables.
5,I rarely have to use it but if I need a charge this one is quick and on my desk.
5,Would purchase again.
3,My only issue is my device stops charging in the middle of the night and if I don't reposition it it will not continue to charge
3,Not a Fast charge
3,Too small. If the phone is not exactly centered it doesn’t charge.
3,Charges without removing my case but takes a while (perhaps due to case?) have not tried to charge iPhone 13 without case. Compact and great for travel.
4,A little trouble at first with the mini USB plug into the unit but now all seems well.  Seems a bit slower than a standard wall-wart charger but I use it for overnight charging which works great especially since I place a plug cover in my charging port to keep out dirt/dust/liquids.
3,It’s not working. I bought it on may 2022…I am not satisfied with this product. Sorry!
5,Really hood charging pad. Not as fast as some but it gets the job done and it looks good.
4,works fine
3,Does not always fast charge
3,Works ok most the time but there are times it don’t charge when I wake up. I always make sure it is centered and charge icon appears.
4,Nice and compact.  Very flat design.  However I would not say it's fast charging.  Does work though with Samsung galaxy classes as well as rechargeable earbuds.  Still good for the value.
2,This charger was purchased to enable wireless charging of an IPhone SE model.  I noticed that when I took the phone off the charger it was physically quite warm.  After using the charger for several weeks I found that it would only charge to about 80% and stay very warm the rest of the time with the phone not charging.  I am concerned that the extended exposure of elevated temperature is bad for the phone’s battery and will shorten its life.  Dumping this device for something better.
3,Doesn't charge as fast as I thought it would
5,Extremely fast charge for my iPhone 8+ 25% to full charge in a little over an hour
4,Not the fastest charger but does the job. Nice to take for traveling
5,I was pretty skeptical about this charger mainly because I’ve never own a wireless charge before. It works great charges relatively quickly and is very compact. Im satisfied with it’s performance also i find it a rather economic option.
4,This is a really good charger for travelling but it get really hot when I try charging my phone which is Samsung Note 8.
5,My elderly father bought a cell phone that didn’t support Qi-charging so I bought a Wi-receiver and this 20W pad. IT IS AMAZING. This is a great buy; I would highly recommend to friends and family.
4,Slim lightweight Wireless charger.Charges great LED ring lights is just extremely bright at night. I would consider it to be brighter than a normal room night light.
4,Nothing really to complain about it works fine looks good but it's really light weight and feels cheap.
3,For months I have had problems with USB cables dying and no longer useful. I previously purchased a pad charger but it made my phone hot and took forever to charge my phone. BUT it did offer a wall plug for power. This charger is nice and big and has colorful indicators that it is operating. The problem I have is the power source for this is a USB cable. So why do I need this when its a USB cable as my others? I wish it had a wall  plug as USB adapters for wall plugs get very hot itself. I'm disappointed.
2,The media could not be loaded.                                                                                             DO NOT CHARGING TOO LONGThis charger easy to get hot.I bought two charger one for home and one in office. The one in office I not using frequently. But for the one at home I see the problem when you put your phone on too charging about 30 min it's start to get hot. And after using forabout a month it have the burn mark easy too see on charging surface like the video.
4,Nice
3,With my iPhone It does not charge as fast as published very disappointed with the product
3,Love the charging speed and the fact that there's no plugging and unplugging the phone but VERY much dislike the fact that the phone is almost too hot to pick up after a few hours on this charger.  Really bummed as the idea of not having to plug the phone every time it needed charged was pretty appealing.
2,Bought this wireless charger for Pixel 6 Pro as site lists it at 20watt charging power.  IT IS NOT!  left phone on unit for 5 hours only charged 28%PHONE SLIDES OFF CHARGER! DOESNT STAY ON CHARGER DUE TO GLASSY FINISH  definitely a guarantee of destroying your phone..Even put wireless charger on a 30w PPS wall plug and phone's cord..4 hrs and not even 40% charge....🤬Returning!
