rating,review
4,certainly better than those stupid vent clip holders. My wife's car has limited room for a phone mount as most mounts would either leave the phone blocking many of the controls or the block parts of the radio screen. This mount has a small arm that gets the phone away from blocking anything. The magnet is strong and the metal phone plates are minimal. Both pivot points lock down securely when tightened. The adhesive end seems to be holding for now but time and the heat of summer will be the real test. I would buy this again- I'll upload a pic when I get a chance.
5,The mounts that came with the Car Thing just didn't put the screen in a place where I could see it with sunglasses on. This gave me the option to put it in a spot that the screen would show up clearly and not be in a dangerous place. The magnet is ridiculously strong and I don't think I will ever have to worry about bumps knocking the Car Thing off the dash. The mounts snaps together easily and comes with metal plates to put on devices so it can be used with almost anything. Great product and great price.
4,This is so far the only one I could use with my car (2015 Elantra) because there is literally no spot for a standard phone mount. I have this under and off to the side of my head unit. The item comes with extras of everything which is also great.
5,I love this product so far. I don’t have a lot of places to mount a phone holder on my dash but this product was able to get my phone positioned right where I wanted it.
4,Better for vertical mounting and odd shaped dashboards. Magnets could be stronger but no complaint
5,I have a 2013 Ford explorer and this mount almost looks like it was designed for this suv.  There is a spot next to the display where this mount is a perfect fit
4,Ive had this 6 weeks and i grabbed my phone and the whole magnetic piece broke off😡😡- Seller reached out to me after reading my feedback and informed me they have a new and improved one and shipped it to me❤  Received replacement so far so good
5,I purchased this item so that could mount my phone on my rowing machine during workouts.It turned out to be strong enough to hold my kindle fire hd 8 in place during workouts.The ability to make adjustments at both ends of the mount allows the mount to be adjusted to the perfect angle no matter where it is mounted.If you have a case on your device you will want to attach the metal plate to the outside of the case in order to get the best connection to the magnet.Would have to say that this mount is a very good buy and will easily meet the needs of most people looking for a good magnetic mount.
5,Good option for 2018 Lexis Es 350 so far the best option for adhesive holder for this car…
4,I bought this for my 22 f250 king ranch.  I tried two locations and the adhesive did not hold the unit either time.  On the dash it is the phone and cradle were pretty much verticle but on the console the cardle was horizantal.  The unit has been returned but i would like a few of the curved posts.  They will work for other applications that need an offset.  These have 17mm balls.
5,After trying many magnetic mounts I like this a lot. Event bought a second one. Its pretty strong flexible with good adhesion.
5,i bought it for my dad and it was a really good product it was way better than the one we had before. It hold his phone really well
5,I’m so glad I found this. I’ve bought others but this one holds perfectly very sturdy even with my case over the phone. Would recommend and buy again.
5,I needed a magnetic mount for a small wifi camera on my motorhome. I didn't know if this would be strong enough magnet to hold this up. I am amazed that it works great since the monitor is much bigger than a cellphone.Highly recommend this product.
