rating,review
5,My favorite part of this car phone holder and the biggest reason I selected this one was because I have a hard time seeing my screen when driving and this particular phone holder has the arm that extends out making it much closer to me!So we all know safety is paramount when using your phone and driving therefore having this makes it so much easier to use my phone if an incoming call comes in and I can see who's calling easier and faster having it closer to me!!Aside from that very important reason the phone holder itself is very sturdy and holds extremely well to the windshield. I have not and probably will not have the need to try the attachment for the Air vent so I can't speak on that.
5,At first my Apple phone fell out when hitting bumps until I realized I just had to tighten it secure and then remove my phone and click in just one more tighter. I leave it at that setting and it never falls out
5,Arrived on time and was easy to install  I installed mine on my glass window the suction power works great got 2 of them for both my cars  great price and product highly recommend
5,Clip on vent is perfect. Have not had the need to use the suction cup as of yet.
5,Seems very well made so far.  Very strong grip.
5,It all works great thank you
5,Good if you move between vehicles alot
5,Gives me eye level view of phone screen. The view is very helpful for GPS.
5,Very strong
4,serves my needs good for the price
5,Quality is ok
3,I got this to replace the other holder that only stuck to my windshield. Well the adhesive on the dashboard plate peels  away under the weight of the holder as soon as it starts to get hot outside. So not it's on the windshield where I don't want it. I am going to try my own adhesive to see if it's any better.I also don't like how it's in a fixed position. I thought the base would swivel but it does not. It also doesn't extend very long which is a pain when you have to stick it on the windshield because in order to keep it in arms length it has to be mounted high up.So overall it does the job but it doesn't do it exceptionally and it's not what I'm looking for. The price should be half of what they charge.
4,Through the years I have many types of phone holders. So far it's the best. And the price it's about right. I only have one question how do you remove it so you can install it in another place. But it's good. Please answer. Thanks
5,I bought this for our trip to Florida and the Florida  keys to take pictures wile we were driving worked great … except when I went to take the dash base off the rental car dash the 3M adhesive did not stay intact. So I am looking into how I get a replacement dash pad only thing wrong with this product other than that it worked very very well!
3,I love the location and idea of mounting it on my dash in my 4Runner but the adhesive have come unglued within a few months I don’t really want to install it in front of my air vents.
5,Good
5,I recommend it 💯 it's strong and comfortable just what I was looking for 👍
5,It fits on your windshield you’re dash or on your vent!
5,I’d tried a handful of dash cellphone holders but none of them stuck. Finally switched to this windshield phone holder and it works great!
2,Once you have it set up and you squeeze the “arms” to hold your phone in place it is reasonably firm. That is until you hit a pothole or turn onto a gravel road or hit a speed bump where it will knock your phone out of the holder because the “arm” mechanism sucks.No matter how hard I squeeze the arms to hold the phone it will still get knocked out during rough roads or dirt roads. It’s VERY annoying and there is no way to secure your phone other than that arm mechanism.Overall I recommend NOT getting this unless you drive on smooth roads 24/7 that have no potholes or bumps or cracks.
