rating,review
5,Works perfect for my Mac Air
5,My old dongle another cheaper brand failed.  Bought this one and it is working great. It could be better with a few more ports.
5,I have not used that much so far.  But during my initial test it seems to be fine.  Exactly as described.
5,Needed a hub for my new MacBook Pro. Wanted a device that I could trust. This came through. All the usb devices I have tried work the hdmi drives my monitor and I can easily attach and detach my notebook now. Doesn’t get hot and is detected each time. Secures well. I would recommend this hub as a light and portable hub that will last!
5,I’m editing this review. I figured out my HDMI issue and now everything is working perfectly. Excellent product for writing/reading microSD and driving a second monitor.
4,I orderd this for a Superdrive I purchased for the M1 Mac Pro. It  DID NOT power the drive and I still had to purchase the Apple brand attachment.I kept this because the Sd card portion does work and I use it to read my USB flashdrives.
3,Attempts to connect power through this adapter haven’t worked.
5,Came very quickly and much cheaper than other models.
5,Working great so far! Easy way to connect USBs to my new laptop that only has USB-C ports. I don't think it's supposed to be a charger but I do think my phone was charging when I last used it.
4,This unit has a lot for the price and having blown the more generic brand in the past I was only considering an adapter that would be sure to perform well. I do wish it had a USBC power port like the Belkin Ethernet adapter has but it is a good solid piece!
5,I am so very glad I purchased this belkin hdmi/usb hub. I recently purchased a Mac Mini last month and I also purchased 2 monitors. I watched a few set up videos on Youtube for 2 monitors on a Mac and came across the Belkin hub. I connected the 2nd hdmi and both monitors were connected with extended display. Im so very happy. Great purchase and very inexpensive. You wont regret it.
4,Works perfectly as an USB-C hub with charging support. The only catch is all windows' position in external monitor would be reset after my laptop is locked. It doesn't happen when I was plugging the HDMI to laptop directly.
5,Even though I haven’t tested all the ports I’m very happy with this hub. The newest Macs only have USB-C ports so to connect your USB-A devices you really need a hub. I didn’t notice it heating up the times I’ve used it and I trust Belkin products. I did a lot of research before deciding on this particular hub.
5,Functioning well lightweight compatible with M1 MacBook Air with a pretty solid data transfer rate. Only downside is that the USB ports are only on one side of the device would be more convenient to perhaps have them on both. Would have liked to have a display port or mini display port option as well but that's asking for a lot! Great product.
5,Ports all seem to work on a dell xps13Unless there is some hidden windows setting…it appears the headphone jack replaces the laptops built in headphone jack.  My laptop will not output to both at the same time.  Not a deal breaker.
5,Allows access to operating a broken screen phone by useing hdmi cable (optional piece of equipment) to view screen information on a hdmi television.  Inputs into the USB-c phone/data /charge port. Gives you 1x  hdmi and 2x USB ports.  Plug in the tv and a usb mouse then fully operate the damaged screen phone. Now the broken phone can be unlocked and data transferred to a new phone via Samsung wifi "smart switch ".
5,Has passthrough charging for MacBook Pro so you don’t lose a port and you can connect to two monitors by using usb-c cable for one and HDMI for the other.
4,This is the second USB C peripheral dock I tried with my M1 MacBook Air.  The previous non-name brand dock would not reconnect the mouse connected via the dock and the audio output on the dock had the left and right channels reversed.  This Belkin dock fixed all those ills: the mouse wakes up reliably when I open the MacBook Air lid and the audio output is correctly oriented on the dock's speaker output.  Passthrough USB C charging is flawless.I haven't had a chance to try the HDMI output or the other USB jacks on the dock.  I will reserve comments on those to others.
