rating,review
4,In case anyone is wondering what on earth is a Kimnix smart watch well it's a smart watch with a 1.72" screen that looks like a bigger size Apple smart watch but looks like a Apple smart watch knock off.I purchased two screen protectors for my watch this past April and one is already broke because I tried to take it off to clean around the edges. It broke when I did that. I have one left and wanted to purchase two more just in case my last one breaks.I went back to purchase the same two but they no longer have the 42mm size. It's 44mm and I don't know if that's too big. The 42mm size already was a bit difficult to take off but it protected my watch for a while.These two...they are pretty rugged which is why I gave it 4 stars but it didn't line up with the knob and the cover is too high up to where I can't access the touch screen. I would have to constantly take this off in order to get to the touch screen.I tried to take a picture to show the gap between the knob and where the screen is but my phone's camera kept blurring so this is what I could get. You could see the knob rubbing against the fitted hole and a gap where the watch should be pressing against the screen but don't.For people complaining about it not being water proof it's got cut outs so it won't cover the speaker...how could you not know it's not water proof???I wasted $14 on these screen protectors...If and when my Kimnix go out I will get a watch that will actually fit these but for now they don't work on a 1.72" 42mm screen that's only made for the Apple smart watch.
5,When I got my new SE watch my wife also gave me some watch protectors. Within a couple months both of those protectors broke. Yes they protected my watch but once they’re broke you need to replace them.I saw this version and it comes with 2 protectors so I figured why not try them!I’m 100% satisfied. Because the edges are made more like a phone case 1 of these protectors have already lasted longer than 2 cheaper versions and they look good as well.I would recommend and purchase these watch protectors again!
4,Initial reaction very positive. Good professional packaging installation instructions clear all necessary items included.  Installs very easily per instructions.  Major issues are: touchscreen unusable edges completely dead.  Side wheel and button not useable when watch is worn.  The case gets in the way.  These issues make the item of no value to me.  On a whim I tried the second cover.  Amazing this one worked well  50% is not acceptable.  I will be returning them as too expensive for just one useable item. Because one worked I updated my rating from 1 to 2After two weeks of use I must update my rating. Have changed from 2 to 4. My problem with the first one was OPERATOR ERROR. Teas was not fully down. I found that pushing all 4 corners firmly ensures a good install. Side buttons are useable once I became used to device. All in all this is a fantastic product. Again I stress that I do not get the watch wet so I have no information about clouding. I highly recommend this product.
5,I like this case a lot. It’s easy to install good quality/durable bumper. However it’s a little uncomfortable/can’t feel the side button. Other than that no complaints. I’m waiting for cases for Apple Ultra model.
5,Very durable and strong material.  The screen protector is nice and does a great job of protecting the screen.  The watch is made with strong material that does a great job of protecting the watch.  Recommend.  Great price too!
5,This thing is indestructible. I fell off a scooter going fast downhill and BROKE A BONE. All the damage the case suffered was a minor scuff. Apple watch completely intact not a single scratch. I lift weights at the gym on the daily and the thing is so strong that the glass has not ever shattered in over a year. I still have the 2nd case in the original box because it is so strong. An absolute tank of a case. Looks and feels good too. Slim enough to barely notice it.
4,Very nice and protective but not lasting I have a small lawn business and trimming and edging are a necessity and after a day of doing lawns I’ve noticed the screens broke went through both in 2 weeks would love them if they were a bit tougher
4,needed a cover to protect while working in a body shop I'm a bit hard on the equipment. Saved the watch more than once.
5,Precise cutouts. Excellently fit and super easy to install. Great value for money
5,I have been getting these for years and having other people buy them as well. Very sharp looking for a cover and very durable. Save your screen and a hefty repair cost by buying these!!!! Don’t make a dumb mistake and ruin your watch.
4,Good for what it’s meant for. Only gripe is if you’re sweating during cardio/exercise/etc. you’ll accumulate a sweat puddle in between the screen protector and physical watch face but I always just take it off wipe it down and reinstall. Nbd.
5,I love the look ease of taking it on and off and the durability. I have had other iWatch protection products this one is the best for the money by far.
5,All you have to do is take it off and wipe it every once in a while
5,Love this case on my watch it’s durable strong and protects the entire Watch. I’ve scraped my watch on the concrete and immediately checked to see if my watch was ok and the case barely had a nick in it
4,This is a great case and it’s very durable. Only downside is that it does impede the user from turning the crown of the watch at times.
5,I liked how it covers my whole watch that it came with two different colors and that the screen on it was glass. I definitely recommend this to everyone.
5,I haul gas for a living so I’m always bumping into stuff with my hands and the cover has held up really good the regular covers lasted a day each this has made it over 2 weeks not even a scratch yet!!
5,Perfect.
4,The product works as advertised well worth the price..
3,Clips easy.  Easy to remove.  As other reviewers noted moisture does condense on the underside of the glass if in a hot humid environment and you are sweating.  This does make the touch difficult.  The protector needs to be removed wiped clean...along with watch face...and replaced.  I am finding that after a couple of months in the deep south the underside is getting more difficult to clean and starting to show some dirtiness but not that noticeable.  This is why a dropped the "Touch screen" down to 3 stars.When not sweating and the face stays  dry the touch response is great and does not hinder the reading of the watch display at all.
5,Have tried a number of Apple Watch covers and these are far and away the best. They are durable and easy to install while giving your watch a much more rugged look. The only downside was iffy touch sensitivity once wet but that’s to be expected with any cover. Very happy with these!
5,My husband works construction dirty and rough outdoor job these work wonders! He gets it wet and dirty and his apple watch is perfectly fine. Buying more!
5,The rugged case is amazing. I work warehouse and it has save my watch plenty of times. Definitely recommend!
5,It was pretty simple to install. The colors is great! Also it’s probably the slimmest heavy duty cover you can get. The touch screen is a little difficult to get just because it’s kinda thick but you just press a little harder. By far it’s better than others I’ve tried but just be sure to press harder than what you’re used to.
5,Look great and definitely hold up better than the less expensive snap on covers (which i ended up replacing every week practically).
5,Works great easy to put on and take off
4,This is a very chunky cover with a very definite sporty look. I use it while traveling but not day-to-day because it makes it too difficult to access haptic actions on the watch.
4,My wrist strap is a Milanese Loop so it is much thicker on one end where it meets the case. This made that end separate (lift) off the watch face a little requiring a bit more force to get a touch to register.Other than that it has done a great job.
5,I bought this screen protector right after getting my Apple Watch as a gift. I was reluctant to even get the watch because I’m notoriously hard on them and I was afraid I’d ruin it so when my wife bought me one I wanted to protect it. I chose this protector in particular because it has a small raised ridge all the way around that keeps most things from scraping across the screen I’ve ruined several watch crystals that way.  I’ve had this on my watch for 8 months now. It was super easy to install I’ve never had any trouble using the touch screen functions and any time I pop it off my watch screen underneath is still pristine. I do remove it occasionally to clear out any dust that gets under it. I work in a very dusty environment and the screen protector just pops on and off it doesn’t actually stick to the screen. I finally lost the one I’ve been using for 8 months. It snaps on securely so my best guess is that I somehow snagged it and popped it off while putting a coat on. I pulled the second one out of the package to replace it then immediately ordered another set to keep as spares. I really can’t recommend these enough.Side note- because these snap over and around the watch itself they will make your watch look a bit bigger. That might be a concern if you have small wrists and don’t like that look.
5,Dura y es fuerte  un buen producto
5,Tempered glass fit perfectly looks amazing! What’s not to like?
5,Protects my Apple Watch SE great and it’s not bulky at all. Definitely worth the buy.
4,Fit is good sturdy and easy on and off this last is important because water easily gets trap between case and watch so every now and then need to remove and dry/clean it really helps that you can remove case easily last one I had broke while removing it to clean
3,Looks good and good protection and easy to install but the one area it won’t let me touch screen is bottom right where the mic button is for texting. I took it off.
5,These cases held on a lot longer the previous ones I’ve purchased.
5,Fits easy awesome protection
5,The only down side to these units is touch screen items in corners can sometimes be hard to activate but that is very acceptable considering the protection that they provide. Other covers that i have bought have cracked with days of using them. so far 3 weeks and not. scratch.
4,It’s a good product if you want to protect your watch but be advised from time to time do you have to take it off and wipe it out due to moisture or humidity or do in the air that’s the only downfall I see to this product
3,the adhesive to the screen does not last very long but its not necessary to continue in using the product. 98% still effective. The touch screen will not work properly with the case on if the watch is wet i.e if you're recording swimming laps showering the touch screen will not work. But easy fix is to remove the case while doing swimming laps and just put the case back on afterwards. I have bumped my watch with the case on and the case has very good durability in that sense of not breaking apart after running your wrist into a wall stair rail etc.
5,Buy it!! You won’t b disappointed.  Durable n worth the money.
