rating,review
5,I bought this phone for using at the old brick farmhouse I was moving into. I am really impressed with the sound and the range. Much better than using my cell phone and trying not to loose my signal! I am using this with an additional handset and a Magic Jack. Finally I can walk around in the house and not worry my call will be dropped.
5,My decision to purchase this phone was off the Q&A and it was confirmed it was a VTECH manufacture.  I've been using the more creative option/colors provided by VTECH on their phones for a couple of decades.  I did a VTECH search on amazon only to find less attractive options than this AT&T model!  The phone set becomes a part of your decor and should be pleasant to view as well as functional IMO.The phone has all sorts of built-in features like robo call blocking - and it works.  I see the call list and every day it shows numbers that tried to reach me and the phone didn't ring.Of course you program your own settings but it's basic.  In fact I never had to read the instructions.I have the rose gold & ivory version and it's beautiful.  For those wanting more masculine or deeper tone obviously there is the wood grain and black version.I had no trouble with the set-up and I have the main set in one room and the other phone at the other end of the house so I'm much less likely to miss calls.The volume and the speaker settings are also great.  I wish they had a greater number of ring options as I didn't care for any of the alternatives so I settled for the default standard ring.
4,I like the look and that it's pink but the answering feature is difficult will ask several question to the caller and I can't seem to take it off and my return window is closed.
4,I love the design I like the phone wish the speaker phone was more clear and louder. You'd thing with all the advances we've made in last 10 years with tiny speakers we could get one in a phone that works perfect nupe still not there yet lol....it' still a good phone and worth the money. I like the "block caller" button"!
5,The AT&T phones work just fine. We like the 5-set configuration and the signal strength is good over each handset.The best feature is the Call Blocker. Where we used to get 5 to 10 or more spam calls a day we no longer get spam calls. And it was easy to program who could call and who to add to the block list.
5,i love this phone.  love the smart call block.
5,Rose gold
5,Number buttons aren't all workingnow.
4,I cannot dial out on this phone.  I can receive calls and they get screened okay.  Those calls that I accept I can converse with the phoning party.  However when I dial a number it doesn't go out.  I get a busy tone.  I'm not certain if this is the purpose of this phone.  Has anyone experienced this type of issue?Update -- AT&T support got back to me quickly and suggested that I check the DIAL MODE setting.  It should be TOUCH-TONE and not PULSE.  If the phone sounds like an old rotary phone dialing then check that.
5,Brought it for a gift and she loves it!
5,We purchased this for my mother-in-law!  Not only does it look good but it works perfectly.  Numbers are large enough for her to see everything!
4,The phone is fine but I'm 85 haired-over stove in smelling musty and I've got The Thumps. If the piccolo player in the Third Movement of Tchaikovsky's 4th is takin' care of bidness I have to accept it on faith. But that's just me.The phone/answering machine has lotsa neat features with a huge capacity for Blocked Calls for when the guy from Calcutta wants to give me a refund on a purchase that I never made.My problem is this: I wanted a wireless headset but the recommendation from Amazon a TL8900 won't register. Subsequently I spent a percentage of my life jousting with AT&T Customer Support an oxymoron right up there with Military Intelligence and Jumbo Shrimp. Neither the manufacturer or websites could recommend a product that was on AT&T's Compatibility List for the CL82267.Bottom Line: The phone is a good buy and the problem with insufficient volume is mine 'cause I spent 40 years hanging around jet engines. That there's no compatible wireless headset however is inexcusable. So if you call me you'll have to speak up.
5,all good
5,The sound is good but volume is not at all good like they said it was in the listing. Volume is pitiful. Speaker volume is just as bad.
5,Easy to use and works well
5,Was getting at least 50 telemarketer calls a day. With this phone we don’t get hardly anything
4,Does not seem to have handset locator I need that in my house
5,It was just as described. but i didn’t pay good attention to the description so my bad
