rating,review
5,First off I love the C-Clamp. My desk has a 2nd "shelf" built on top of the main desk surface which is where the monitor is expected to sit. The space between the desk surface and the shelf is too short a clearance for normal C-Clamp monitor mounts because the tightening bolt underneath would be too long and keep me from getting a good bite on the platform. This mount design solved that problem for me.It's also very quick to tighten or loosen. Few turns are needed to widen the jaw a reasonable length. You will not get carpel tunnel shifting to different positions as you test.The cable management is entirely tool-less. Each arm has a plastic cable clip that snaps into place nearest to the monitor and those can squeeze 3-4 cables depending on thickness (my thick DP cables were a bit tight but I rather like that they aren't going anywhere). The lower arms have a not-so-flimsy plastic plate that slide upward and out to detach. You can catch the cables you want to route through and slide them right back in. No screws needed. The backside of the base also has some routing clips plus a couple holsters for your allen wrenches! No need to throw those away or stuff them in a drawer and pray you never need them.The mounting arms have enough tension to hold both of my 34" monitors. They cannot be stacked and I haven't tested how well I could squeeze them side-by-side (may work with more of a cornered setup). For me one of the 34" screens is vertical (by design - I know it's weird sue me). Both arms seem to hold their positions very consistently and with minimal wobble from outside vibrations.The VESA brackets they used made it really easy to simply install the bracket on the monitor first then slip the monitor on the arm after maxing out the tension. Then I could make finer adjustments from there. There's no wobble or "give" in these clip-on brackets. All metal very sturdy.Overall nothing about this dual-monitor mount feels cheap. What little plastic it uses also feels like it was made with quality standards. It had all the features I could reasonably ask for and it exceeded my expectations.
5,This was the first monitor mount I've purchased although I've had dual monitors for years.  The mount was packaged very efficiently in one box.  Putting it together was 'easy' in that the physical assembly of the pieces was a snap. The flaw imo was that the instruction card was relatively small with smaller print and it didn't adequately explain that there are two ways to mount the stand.  If there is a pre-drilled hole in the desk there are different steps.  I'm a newbie here so this may be obvious for others.  I would definitely have preferred to watch a sample assembly online in conjunction with the card.  Since one monitor is fairly heavy I reassembled after drilling a hole in my new standing desk.I have two different sized monitors a beast of a dinosaur 32" and a more typical 24".  Once the base was ready adding the 24" monitor was a snap.  If you have two monitors this size I can't imagine that you'd have any trouble adjusting to any arrangement you'd like.  The 32" monitor required a good amount of tensioning and hence was harder to maneuver.  I was able to find a reasonable configuration and am completely psyched I went this route.I rated range of motion 4 stars because 2 32" monitors might get clunky.  I rated sturdiness a 4 which is being kind of picky on my part.  My two monitors are different sizes and different weights. Normal people have matching monitors and a more tradition space to have this much screen; 32" is certainly at the upper end of sizes.Bottom line would totally buy again!
5,Finally found a high quality easy to assemble flexible dual monitor stand! Not many products worked with my electric adjustable height desk but this product works and fits great. The quality of the box it comes in and how it’s wrapped speaks volumes about the thought this small business put into it. Even the quality of the assembly brochure and the extra Velcro straps for cord management make this product well worth the money. It came with TWO options on the base clamp which is exactly what I needed to fit a tight space where my standing desk lifts off the frame. It’s so sturdy easy to maneuver and I’m confident it will support my monitors for years to come. I rarely write reviews but this is one I’m super pleased with.
5,Mounted my 32” LG gaming monitor and a second 22” monitor and am very happy with this stand. My desk was too thick for the clamp option so I had to drill a hole but there’s no way it could fall unless the arms fell apart. This thing could hold two 32” monitors no problem and mine is 11.5 lbs for reference.
5,I'm glad to have found these arms.  They took about an hour to set up but the instructions were well written and included clear images.The movement reach and stability are all really solid.  It's easy to reposition everything except for tilting.It may be by-design but the tilt action requires using the hex wrench (included).
5,- There was no weight rating in the product description but I saw in the questions that these arms support virtually any monitor weight as long as the monitor is 32 inch or smaller.After opening the box the first thing which worried me was the 17.6 lb weight rating that was written on the manual. I assembled the product and connected my 21 lb 32" monitor and it holds it pretty well without any issues.- Overall the product feels like a solid product and I like the simple and modern look of the arms with a nice matte paint.- One thing to note is that the cable management system is not designed to carry many cables. I connect 6-7 cables to my monitor. I had to use the velcro straps that came with the arms to keep the cables with tidy.- I use a laptop tray on the second arm to keep my laptop next to the monitor. It was easy to reduce the spring tension to lower the arm for the weight of a laptop.- A nice little addition to the arms is a plastic holder for the allen wrenches which come with the product.
5,The unit is sturdy - much better than others I have tried. The assembly confusing - a better picture of where the unit joins together. The spring arms are holding up well and I have not noticed any issues with the monitors slowly lowering on their onw. I recommend.
5,this thing is crazy good it was ez to assemble and i didn't need to do much just put together then put the mount on the back of my screen and boom it was ready all I needed to do was put the monitor on the stand and then  is was ready to go I didn't even need to any thing u should bye
5,I had just bought a brand new desk and they were selling dual monitor arms for about $250 so I decided to try my luck somewhere else and was worried this might not fit snug... The Quarx arms fit perfectly on my desk and it took less than 5 minutes to get it out of the box and completely set up! I have two 28" monitors next to eachother and can still push them further comfortably. They are very sturdy and the organizing straps are perfect for a clean finish! Perfect product and I'll definitely buy from them again!
5,This is the first time I use the VESA computer stand. The product is generally good including the quality and workmanship. The assembly is very simple and the product manual is written in great detail. There is a screw adjustment that is very important but I don't know why it is important. After many attempts I learned that it would be better if the product manual could be improved. There is another problem. After installing it on the table the screen occupies half of the table and the space behind the screen is basically wasted. I don’t know if I need a wider width. The table still needs to be installed on the side of the table and overall it is a good experience!
