rating,review
5,I was getting a rash from the default band that came with the watch (seems to be a common problem). Also I have really tiny wrists and needed more adjustability and stretch. Shopped around and similar bands can cost $20+ each! When I found these I figured if they didn’t work out I’d drop the $20 for a single watch band.Glad I did! These are just great. They are totally ajustable so I can make them good and small. They are stretchy enough to slide over my hand. Even with it fitted to my wrist which is pretty thin compared to the rest of my arm I can slide it pretty far up my forearm. I work in healthcare so I like to slide it way up or take it off easily when doing something hands on.CONS (very few):Two strands have come up from the one I wear everyday. However both came off easy (one I just snapped off with my fingers) and showed no signs of further fraying. The braided pattern seems to be solely aesthetic and not structural so when a little strand comes up you can just take it off without worry.The connection to the watch is the slightest bit wiggly but only when you fiddle with it. It has never come off or come near to coming off but I have been a little conscious when stretching it just in case. Basically I just try to avoid pulling it off really quickly or stretching it too much.TL;DR:Buy it! Don’t waste money on the more expensive ones.
5,I’ve used these watch bands for a year now and have been very happy. Actually I only used the pink one and now after a year I decided it was time to replace it. Other than being a little faded and dirty it has held up great. The bands are very comfortable and I love being able to just slip the watch on. Even though I’ve only used one color I like the combinations they offer just in case I decide to switch it up.
4,The only issue is Charging your phone or the charging stand. The wristband is too thick where it attaches to the watch to set all that correctly to charge.
5,The band that came with my Apple Watch would irritate my skin from time to time and I wanted a band that would let my skin breath more. The Swhatty band is exactly what I was looking for. It is very comfortable and I almost forget I’m wearing it. I’m very pleased with this band and will be buying it in more colors.
5,I’ve been using this for almost a year and just broke the band (my fault I accidentally pulled really really hard) and was about to order a replacement when I remembered that it came with 3 so I had 2 left! Definitely a bargain. It’s really comfortable I wear it all the time working out sleeping etc. easy to wash.
5,These are good products I love the colors they are comfortable on I could wear it all day loved it I’m gonna order more
5,Love the watch bands for Apple watch.  Easy to put on adjustable and stylish.  Thank you.
5,I like that this doesn’t pull my long hair and it’s comfortable and easy to put on..
5,I like how durable and comfortable the band is for every day wear
4,I have to tighten these every so often because they stretch. But I like them because they’re light and comfortable and a good buy. I have a white one that got dirty so I hand-washed with a little detergent and an old toothbrush rinsed well and hung to dry on a pants hanger. Looks like new. Recommend.
4,After a few uses the stitching started to fray everywhere. After a month of daily use I've noticed that the elastic is becoming looser and looser - I keep having to adjust it tighter. The bands totally start to smell bad if I forget to wash it after working out. Small amount of soap and warm water in the sink does the trick. Still totally works for now and the watch does feel securely attached. Pleased considering I bought 3 for pretty cheap.
5,If your sensitive to band that comes with the Apple Watch then this is your best friend and $80 cheaper than Apples alternatives. Best purchase ever.
5,It looks not fancy but feels very comfortable when you wear it!
5,I like how comfortable these are.
4,I would have given a 5 star but it gets dirty easily…but comfortable..
5,This watch band is a great fit for me and the cost was great also.
4,They get dirty and fuzzy the longer you have them so watch out for that. Other than that they are super comfortable and breathable. I love that they are adjustable so they they can fit on any size wrist. Worth the money.
5,i love these bands great for Hot days or going swimming very breathable.
3,I honestly love these bands. They are super comfy. The problem is when I exercise or play VR they slip around. I can't get an accurate reading for my heart rate and exercise because it loses connection with my skin just long enough to stop the timers.I know I know tighten the band right? I have. The only way to ensure that it stays in place is to make it really tight (and thus no longer comfortable).I had to start changing the band whenever I was going to be active and wanted my watch to capture it.That's kinda a pain. I mean they're not terrible to put on and take off but it's not ideal to have a band that's not usable throughout 100% of my day.Overall if you're not concerned with heart rate monitoring or exercise tracking this band is fantastic!However if you're planning on lots of arm movement or the like this maybe isn't ideal.I've owned these for 2 months now and today decided that they just aren't going to cut it for my day to day.
5,Excellent price for 3 and very durable
5,Comfortable and snug! Great band!
4,These bands are comfy and cute but they run a bit large for my small wrists. I ended up sliding the adjustable buckle almost all the way around so the band is double-layered. Not the end of the world but not what I expected.
5,Wish they made it with vinyl on the outer side and soft Cushing on the under side
5,So happy with these this is my 2nd order.
5,I find the plastic bands very uncomfortable (hot and sticky)!  These bands have solved the problem - light weight and breathable. I’ll be purchasing more in other colors!!!
5,These adjust easily are very nice looking and comfortable.  The material seems to breathe well and I can barely feel like I have a watch on.  May order some more in different colors/patterns.
4,Two of the three were exactly as I expected. The plain one was not as pink as I expected. It is more of a very faintly pink shade of beige not particularly attractive but also not ugly.  It does match my Starlight watch though which may be good if you don’t want the watch to be obvious or clash with certain colors of clothing. It is soft and comfortable.
4,Nice product  but color was a little off. I thought one was aqua but it isnt' not sure what color to call it but doesnt go well with most of my things
5,Loved the IWatch bands because they are easy to put on and extremely comfortable! The colors are very nice and soft colors. I would definitely be buying more in different colors!
5,Love the stretchy band good quality and the colors are awesome.
5,
5,I really like these bands because they’re easily adjustable they do not make my wrist sweat and they’re very pretty
5,I have sensory issues and can’t stand silicone watch bands. These are a great replacement and are super cute! Very easy to put on and take off!
5,So glad I went ahead and tried these! I am so happy with all 3 of the ones I ordered and came in the pack. I tried the light pink one first and loveeee it!
5,Colors and comfort are top notch!
5,I have small wrists and have tried all kinds of watch bands this is the best by far !!! I’d give it more stars if I could !!!!
4,The solid ones are very soft and comfortable on arm. The multi-color is cute but a little rough on wrist.
5,These are very soft although fit well and not cheaply. I highly recommend these bands they are also very affordable
5,I purchased so I could wear my Apple Watch Series 7 on my ankle when I use my treadmill desk. Cute color easy to adjust works perfectly for the purpose.
4,Smart looking.
5,My daughter and I both like these. The mauve or darker pink has a lot of orangey tones in it so it isn’t my favorite. But the light pink is very pretty.If you have to be around Velcro… beware the watch will snag constantly.Honestly it gathers pills on it a lot anyway so I’m not sure how well it will hold up long term. But for the price I paid they are just fine as far as durability.I would buy again just not the darker pink color.Btw I have chunky wrists and daughter has small wrists and these work well for both of us. It isn’t tight at all on me nor too loose on her!
5,Love them easy to put onthey don't feel loose.
5,This watch band is exactly what I wanted. Unlike the silicone bands I don’t sweatunder the band.
5,Comfortable & easy to take off and put on. Great for my athletics and everyday casual wear. Love it!
5,All good
5,Love these watch bands! Colors are great.Light weight stretchy and easy to adjust.I have the 38mm size watch face and I gave the multi color one which I really liked too to my sister with the 40mm watch face and it fit as well. Can’t go wrong. Great price!
5,I like these watch bands. I have abnormally large hands for a woman so I have to snug it up from time to time after I put it on but it’s comfy and breathable and the colors are cute!
5,I bought an Apple Watch and wore it for some time with the standard silicone-like material it comes with. I wash my hands frequently (as do many people these days) and within a few days I was sporting a small red rashy patch right where the band rests. No matter how careful I was to not trap water under the band it would occasionally get wet (which it’s supposed to be able to do anyway) and trap water against my skin causing me to get a weird rash.Cue my search for a breathable band that wouldn’t break the bank. My set came in 3 colors-the pink matches perfectly with my rose gold watch. The material is super breathable and very simple to adjust to the right size. So comfortable that you can barely feel you’re wearing a watch at all. I’ve been wearing it for many weeks and have not seen any sign of my rash returning!I will say that within the first two weeks I must have snagged against something and it tugged up part of the band material into a little snag of nylon. I could have probably deducted a star for this but honestly I wasn’t expecting perfection for the price I paid. Also I simply used scissors and cut off the snagged part-not only can I not even tell where the material was snagged but even cutting it didn’t cause anything to further unravel.Bottom line-can’t ask for better for the cost.
4,I really like the comfort of these bands and the ease that comes with adjusting them. The only thing that can be annoying is that they will loosen pretty easily which will then make the watch move around a lot on my wrist. Also the green color is nearly the same color as the black
4,Great adjustable watch bands. Comfortable and breathable. only real complaint is they tend to snag on things.
5,Comfortable and lots of complements!
5,Great fit and easy to adjust.
5,Easy to change comfortable and easy to adjust to my wrist size! Happy I got a 3 pack so I can change out the bands quickly instead of buying more!
4,I got these because living in a hot humid climate and struggles with eczema were making it difficult to wear my AppleWatch with the included silicone bands. The breathe ability of these makes a huge difference for me with my skin issues.  I’m now able to wear my AppleWatch again even in humid weather.
4,I’ve only worn it about 3 times this week and I can already see some of the fabric falling apart. I don’t consider myself rough with it or using it out of what one is supposed to and I noticed after the second day that the fibers had already been pulled out. The funny thing is I don’t  remember getting the band caught on anything. The only “rough” activity I did while wearing it was office work. I don’t consider that rough at all. Everything else is fine. I love how flexible it is and how it fits around my wrist. I have ridiculously thin wrists so the tight fit was a good surprise.
4,These are really cute and seem to be good quality.  They do feel a bit tight though so I gave it a 4 star.
