rating,review
5,Great product! Exactly what I was expecting. The silicon key chain keeps the tag snug and safe. It does not look like it will fall out and only thy front of the tag is showing. I'm going to use it for travel and should be perfect!
5,When my sister and I were able to set these up so easily syncing to our iPhones you just know these are as user-friendly as advertised.  The next thing we knew we went out to dinner and got a text stating that our Airtags were left behind at our home address.  Aha!  They work!  Then I was on a domestic flight with a layover and I was very happy to know that my luggage changed planes when I did!  Great little travel accessory!
5,Great no problems. Airtag fits inside securely and we attached the hooks inside our suitcase with no problem. We use them for luggage so can't attest to any other functionality. Glad we have them otherwise that airtag would be floating around and no doubt lost!
5,I like like the color coding silicone sleeve is easy  insert but holds tag well.  The clip is solid enough to clip inside a bag (it may work outside a bag but if a checked bag- who knows.  I bought them because they would be easy to find in a bag.
5,Usually on my keys but in my luggage when traveling and clipped to my dog's collar when he's at the dog sitter's. It's a comfort to know I can find the dog if he runs off. These fit the air tags perfectly.
5,Tracking luggage at airport and while traveling.  Great value.  Can used at home on tool kits handbags briefcases laptops etc.
5,A great way to attach an air tag to your luggage (inside) or to your keys
5,Owned for three months. Have used for Apple AirTags. One on key ring and another on my dog’s collar. Satisfied.
5,These are just what I was looking for - great value for the cost.
5,No need to spend more.
5,We used these AirTags & holders on our luggage for an overseas flight with subsequent European cruise. The ease of installation & use was incredible! Being able to locate our items at all times was a huge factor in the enjoyment of our trip. Thank you AirTags
4,Over 10 months the air tag has popped out about 5 times.  Once in my pocket and several times while caring more than just my keys causing me to grip keys at a harsh and odd angle.  Thankfully it was always in my house and I noticed quickly.  The good news is I can always find the lost air tag but if I did not notice that  it was no longer in the holder it would be difficult to find my keys.  Going to buy a sturdier holder now.
5,Dislike Apple pricing.Does track items that we have tested.  We are planning on using them in our luggage when we travel to Europe next week.
5,Flexible material makes it easy to insert air tag and colors help to tell them apart. Sturdy key chain.
5,Good value for money. Durable. Was able to protect my air tag and fit in my checked luggage. The ability to track my luggage gave me piece of mind that it would not be lost or stolen
4,The first order was lost and it never showed up. I had to contact Amazin about the delay and they said it must have gotten lost. Amazing re-shipped another set of AirTag holders and they were received very next day.. The product appeared exactly as I expected and worked just fine.
4,Use them to keep track of your luggage they are great!
5,very practical easy to put the AirTag in hard for it to come out  that's good! easy to put on your luggage. seems sturdy enough to last a long time . time will tell but seems near perfect. now using it on luggage the car( to find where its parked!)
4,Sadly only 3 of the 4 purchased Work.
5,Lightweight; easy to insert Air Tags; performs as described.
4,None
4,I like the silicone material it won’t damage my car while driving because I have it attached to car keys and one had a glow in the dark feature
4,Needed new battery only one month after purchase.
5,I bought these because I need to keep track of my AirTags inside my backpack and luggage.  I don’t understand the small number of reviewers who said the AirTag will pop right out or the spring on the ring is too weak.  These seem to hold my AirTags very securely and the spring latch on the ring seems fine for my use.  If you are afraid of the ring opening you could always replace it with a solid ring.
5,Love them. Great for the price.  Easy to set up. Just want my refund for the two day shipping I didn’t get.
5,I like the design and it is useful to attach to a variety of things.
5,Nice quality and easy to use
5,Got these to put in luggage it is very strudy and fits the princes cruises tag
5,Good value.
4,The holder seems to protect the air tag and make it easy to attach to something like luggage.
5,These were the cheapest air tag holders I could find.  They worked well while I was on a trip and had them on luggage and in my purse. Sometimes you get more than you pay for-shock!
3,Very cheaply made but will hold together if you don’t move it around. I would NOT recommend for a key ring dog collar or something with a lot of movement.I bought these in July 2022 put into backpacks & suitcases pockets in early August. After opening one of the metal clips (the large ones) it snapped in two and broke. Since I was using all 4 I knew I was opening and closing them correctly.Conclusion: too cheap for much movement or opening & closing of the ring. Okay for stashing into a pocket.
5,I went on a long trip abroad and wanted an added means to keep track of my luggage. After doing some investigation I decided to use AirTags. I also didn’t want to just toss the tags into my bags and let them drift around and possibly get lost. I chose these holders to keep the AirTags secured inside each bag. They worked great. I always knew where my luggage was and the AirTags stayed put. Success all around. These worked perfectly for my purposes. I recommend them for this type of use.
5,Fits tags perfectly. Tags are secure inside.  Easy to attach the tags to other items!
5,MUY BUENO
5,Great thanks
4,Bought to protect Air tags inside luggage. The silicone is sturdy but the metal ring breaks easily. Recommend replacing the metal ring with higher quality attachment like a carabiner or S-clip.
5,The product was shipped in a timely manner and we were satisfied with the quality
5,Very durable and did what we needed for tracking
5,Attached to luggage keys and purse
5,Metal ring that came with it was junk!!!!changed it out with a double lap ring any hobby/Fabric store should  have it!! Silicon housing nice fit!!
5,Worse great with electric screwdriver or battery operator screwdrivers
5,These in two days to secure to my car keys my wife’s purse and her car keys.  They hold the AirTag securely and are attractive.
5,I like the easy to use ring that allowed us to attach them easily inside the suitcases. We were able to know our bags were on the plane and still with us.
5,Easy to insert AirTag with a ring to use to attach keys.  It appears to be well made and should last a long time.
4,Good price and easy to use
3,I'm getting a lot of good use out of these AirTag holders.  But their durability is about what you'd expect.  I use for my car keys and while it does the job it's designed to do there are a few things I wish I could change about it.  For one the key ring is way too thick which means the silicone surrounding it is thin.  If you fidget with things in your pocket like I do you might soon discover the silicone around the ring is beginning to tear.  You could spend way more for a higher quality product from Belkin or something but these do an adequate job. So why spend more if you don't have to?
5,Cumplen su cometido muy bien…
5,I am an accidental fan of the Apple Tags after losing my wallet in an airport and being able to track it until it arrived safely back to me...minus the cash. These are a handy but obvious way to attach an Apple Tag to keys and purses.
5,Fits on easily. protects AirTag. Easily attaches to whatever you need
5,You will not be disappointed.  I will be buying more!  I especially like the unique clips and little ring for an individual key.
5,It is exactly as stated in description. The variety of colors is nice.
5,Good product and great value!
5,I have the apple leather keychain and while it is a lovely product in typical apple fashion the leather is starting to show signs of wear. These silicone cases are much cheaper and seem to be better suited for everyday use. My nails appreciate the hinge keyloop; jury is still out on durability. But so far for the price and initial quality I can’t complain.
5,Seem to be a good quality and inexpensive.
5,Great AirTag holder
5,Very happy with them... they cost a lot less than the ones at apple and they have the same or better quality.
4,I didn’t realize it but the Apple tags speaker is on the back of the tag. So I had to flip the tag around so it faced out the hole. Then the insignia was covered which is fine. It’s just an aesthetic thing for me. But I guess it also hides the fact that is in Apple tag and maybe people will be less likely to steal it or take it off your bag etc. I used it for a plane trip and they survived the trip! I use them on my keys and wallet and haven’t torn fallen or broken off!
5,Perfect and fast
5,Damn good product & Deal 👍🏾😎
5,I’ve been using this for my AirTag on my keys for the last month. It has held my AirTags and I haven’t experienced the air tag popping out. I would buy this again if I need more AirTag holders.
3,Three out of four work.
5,These are user friendly and work well.
5,Sad that i have to buy these. Buy the airtag holders too. I used all four. I glued one in my wallet so now i have a lumpy wallet. Better lumpy than lost. Im sure George Carlin would have something to say about losing my stuff.
5,Works great. Exactly what we needed. No more hubbie losing his wallet and me my keys
5,This is a soft silicone fob that is perfect to use with your air tag
5,Works and looks as advertised no complaints.
5,As expected
5,Keep my keys my dog Jessie easy to find
5,work as described.  great quality
5,Easy to insert the air tag and good material
5,Good stuff
5,I bought these because I liked the colors and I had an experience earlier this year where I lost my keys for a few hours…the holders are on par with the size I’ve seen around the internet without charging the premium prices I’ve seen for more mainstream brands…I’ve only been using them for a week but I feel confident I have nothing to fear.
5,I like the clip on it.
4,no smart ass funny reviews here on this product. it was what I expected for the price and worked well as anticipated. one thing I did was use split key rings instead of the quick clip but that's just a personal preference not a fault with the product. BUY IT !
5,This product was reasonably priced and adds to the usefulness of the AirPads.
5,Fits the Apple air tags perfectly.
5,These key chains work well. Simple easy to use and clean. I would recommend
5,The media could not be loaded.                                                                                             I have bought the 4 pack case for about 3 months now. The metal ring quality is GREAT. I have tried other products that were much cheaper and found the metal clip would not close after multiple usage.WHAT YOU SHOULD KNOW is that there is a gap in the center on one side of the face to show the emoji or initials on the tag. This is the only vulnerability part of the case where it can get scratched. The case feels rubbery but great with the grip and bounces of the ground when it gets dropped with no damage. It also does not dampen the sound of the find my apart.Over all: it’s a great product for the price you are paying for. It’s worth it.
5,Muy buena durabilidad.
5,Fits the Airtag perfectly and holds it securely.
3,Holds the AirTag just fine.  The included key ring is worthless.
3,The holders will definitely hold the Airtags securely.  However compared to other vendors the silicone is thicker.  This can muffle the Airtag sound.  Product is OK other than that.  Not a deal breaker for my purposes.
4,They can’t be ripped apart easily but mild sharp objects like pens and stones cut them like butter.(Note: I tested one)
4,The only reason I dropped to 4 rather than 5 stars is that the metal key ring is too thick for one of my keys and almost too thick for my car's Key Fob.  Otherwise this case worked well for holding the Apple Airtag and the price for 4 tags was very reasonable.While the ring will fit on to my FOB the FOB wants to stick out from the FOB at an angle.  I suspect that the ring is not perfectly round so it fits more loosely in one direction.  This could be easily fixed by replacing the ring or using a secondary ring.For the rings that fit the ring is very easy to use once you realize that it has a push/spring latch feature so you do not have to pry the metal open and slide the keys in like on many rings.
5,Great air tag holder and the variety of colors
5,Works exactly as intended to. I got these to 1) protect the airtags and 2) be able to hook it inside stuff vs the loose airtag. I like that it fits snug and hasn’t fallen out (but I place them inside bags not hanging off). Since my airtags were engraved I actually flipped them around so you see the engraving and it’s still holds them sturdy. My kids love the different colors as they know which is theirs that goes in their bag. Great buy at a fraction of the price Apple was charging for their cases.
5,Like
5,One problem unable to find directions if  it is too far. Is not like finding people type more complicated with AirTags.
5,It works. I just don’t lose my keys but if I do…….
4,Quick ship and order was as described. Runner like enclosure holds AirTag but does not have cover or other design to hold 100% secure
5,So far they are great. Holding up well to my use
5,These work great.  Very happy with the quality of the silicone thickness and sturdiness of the product.  Would definitely buy again.
5,Great Product! Very durable and sturdy for a great value.
5,Will order again
5,Cumplio con mis espectativas!!
5,These are great holders for Air Tags.  The Air Tag is easy to put into these holders and keeps them secure.  I use them in my luggage and these make it easier to quickly spot them in my bag and are versatile enough to then use them with my keys or backpack once I get to my destination.
5,Smart buyers need to buy this
5,Perfect
5,Great product
5,These AirTags holders are pretty good. The tags feel secure in them and don’t fall out. My only complaint is the closing clasp. I feel like they could open and fall off in the right scenario ( hasn’t happened yet). However I like the ease of swapping the tags from keychain to keychain.
4,Product was supposed to come with 1 pink and 1 white  I got 2 white .
5,These are pretty great and especially considering they came as a three pack for less than a single product from Apple or some of the other big brands. They have a strong metal ring that doesn’t feel like it’s going to break. The spring that keeps the ring closed is also high quality and feels like it keeps it firmly closed. The silicone feels good to the touch and fits the AirTag pretty well. You simply fold the rubber back and slide the air tag into this. I could see the airtag potentially popping out there was a lot of heavy and aggressive movement but it should be good for every day use I think. Clipped one on many baby stroller to keep track of it at Disneyland.
5,I use this on my car keys haven’t lost one yet after putting this on
5,El material es bien agradable al tacto y duradero tiene muy buena calidad
4,I. Bought a silicone case for air pod pro and attached the air tag with it . It fits perfectly and suit its purpose.
4,The media could not be loaded.                                                                                 Air tag fits nice and snug. Rubber feels like it’s good quality and won’t rip anytime soon. The sound played  to locate the tag is cut in half once inside this pouch.
5,The fit is great material is standing up to daily carry on my key ring and the snap ring appears to be well made however the sound is muffled causing the sound to not be heard until later in the cycle. If I purchase additional holders I will choose a model with vents that will not muffle the sound.The glow in the dark holder is bright when glowing but the glow does not last long.
3,I really love the way that these are designed. The spring loaded clip works great the hold the airbag snugly and they are just the right size to be useful but unobtrusive. Unfortunately I have to question the durability. I added this one to my keychain in mid-December and it has already torn in half in less than 3 months. Real bummer.
5,The quality is a smooth matte silicon that is nice to touch. The AirTag fits perfectly with no risk of slipping out but it is easy to manually take them out if you ever needed to. The carabiner clip is sturdy and has never opened up accidentally even while on my keys or in my pockets.
4,A smaller key ring would be better
