rating,review
4,It glows in the dark very well! Also helps from sliding out of my hand. I also like that I could tie it to something so I don’t lose it all of the time. The only flaw is it doesn’t fit very well on the remote it is very loose and I feel like it could fall off.
5,My original remote for my tv broke and would not work. So I heard I could just replace it and when I looked into amazon there it was. It was not expensive and as soon as I took it out of the plastic it worked right away. Didn't have to enter any codes or pair it up. It works great and I would recommend it.
5,Our Roku Tv's remote had been dropped so many times that the battery cover would not stay on. I couldn't find just the cover to purchase. I found this cover...it protects the whole remote & holds the battery cover in place. Great purchase!
4,Too big for remote so it’s floppy. Otherwise pretty cool
5,The back to our remote kept falling off and this holds it together but also makes it extremely easy to find the remote when it gets lost
4,The media could not be loaded.                                                                                             the remote covering is cute however not as bright as the image. it does glow in the dark but remember to hold it near light first . it’s a little loose but it does help when looking for the remote. lol if you have a roku remote you know it has legs and tends to walk away . but overall not bad 7/10
5,This remote cover is decent. It serves its purpose but is slightly big for the remote. I put an unrolled cotton ball in the bottom and it fits great now. It barely glows but it's bright enough that I can find it in the dark.
4,Doesn't glow but I can easily find my remote with this color!
4,Fits good but needs a strong light to make the glow work
4,I can find the remote and it doesn’t slip out of my handBut I’m not sure how long the cover will last at the section at the volume controls on the side
4,I really like this case but it is a little loose but for the price I am not really complaining  that loudly.
4,The media could not be loaded.                                                                                 Fits my remote like a glove and it makes it a lot easier to find the remote but the only flaw it has or at least the one I got it doesn't glow which is a bummer but it is still easy to find.
4,Working great.
5,They glow and are inexpensive way to help with locating yvremote
5,Cute little cover my mom loves the color green so she loves it.
5,I love this controller. It glows in the dark.
5,Fit perfectly no longer searching for the remote constantly. Only thing is it doesn’t seem to glow
5,This is just what I wanted for our remote. Love the light purple color and it makes it  so much easier to find the remote. It is not incredibly glow in the dark to where you could find the remote in the dark but there is a very faint glow to it if you look really close. It has a good texture that makes gripping the remote easier as well. And you can't beat the price.
5,Easy to find in the middle of the night
5,I love that it fits perfectly not to lose just right on my remote control
5,It's great on my remote and makes it easier to hold supper soft. I love the color it makes it easy to find if I drop it and it glows a bit at night. Shipping was fast.
