rating,review
3,Got the HP X27q during the second treasure truck sale on July 13 2022. As you see in some of the reviews after July 13 some have reported getting monitors with a BOE panel (BIM111) used instead of the LG panel (LIM101) in earlier manufactured models that got a lot positive reviews. There are other reports of people getting a newer revision LG panel (LIM111). It's a lottery at this point.In my case I would be considered lucky and got an old stock manufactured Aug 2021 with the LIM101 LG panel and monitor FW 1.1.1.0.No dead or stuck pixels. No flickering.The colors after using a color profile file from a review and their recommended settings and in 10bit the general output from the monitor looks great. This is my first IPS monitor so it was a bit of a sensory overload with picture quality after using TN monitors for so long.But that's kinda ruined as I got unlucky with the IPS glow lottery. The bottom left is pretty bad. If there's anything dark in that corner it will look washed out if sitting in the center. I can either sit a bit off to the left about an inch from the center or sit one and half arms length away to see that bottom left glow go away so things like watching movies from a further distance is unaffected. Included in the review is a pretty good representation of what I see using a solid black color and with the monitor brightness set at 5 at about an arms length away.Horizontal viewing angles are good.Vertical viewing angles are only good looking from below. From above it's a bit washed out and gets worse when a horizontal angle is added. Looks like it comes from the IPS glow at the bottom. Compared to my Dell S2716DG with TN panel vertical viewing angle from above is much better. But honestly vertical viewing angles will never be a problem for me.Buttons in the back is just bad. Having a multi monitor setup and needing to press any buttons to switch input or make any other adjustment means I have to keep pivoting away my side monitor which I'm glad I have monitor arms. Just have the buttons at come out the bottom of the bottom bezel.The forward facing power LED design placement is questionable as the placement is just "there". By default on the white LED is not that bad during the day but at night it will be noticeable and can be dazzling to the eyes. And it turns to a nice amber when it enters into sleep mode though I it's still a bit bright at night. HP does give us the option to completely disable it. But there seems to be a bug with it. After turning off the power LED and the first time the monitor enters sleep mode the LED will stay off. But when you wake it up and the next it enters sleep mode with the "no input" message pops up the white LED will come on and stay on. It doesn't turn amber and stays white. The LED will then turn off the next time you wake it up.Warranty length is only a year. But for me after searching up my serial number my warranty started back in April 15 2022 and ends May 9 2023. So I have 10 months. Though I'm pretty sure they have to grant my warranty started at the time of purchase July 13 and not April 15 with the invoice.So to rate the monitor. During the day time the IPS glow is not noticeable and the overall picture quality is great. In the evening/night the IPS glow is there but I've found a good balance of brightness that works well that it limits the IPS glow and haven't noticed it when just doing stuff. Though for others this might not be possible. The vertical angle that I'm not bothered about but should be brought up. And the bug with the power LED can be a major issue for some. Finding out that I may have less than one year warranty really sucks so I'm giving it a 3 star instead of a 4.If this monitor was to ever drop down to the treasure truck truck price of $175 I would try and get another one and would recommend giving it a shot. It is Amazon so returns is not that much of an hassle. At the regular price of around $250 I would really be looking at other monitors in this price range before considering this X28q.Something to note is other major electronic stores don't sell this model anymore and HP's own store website doesn't even have a page for it. Is it possible this treasure truck sale was to move the last major batch of these monitors before being discontinued?
4,I bought this during the treasure truck deal and it’s an amazing monitor for the price. Gsync works great colors are vibrant and it gets 165hz no problem with the supplied cable.Hdr is a bit weak and I would not purchase this monitor if you’re expecting a great hdr experience but that’s very hard to get at this price point. I would also highly recommend you download the icc profile from techless youtube as the color accuracy is a bit off right out the box when compared to my other monitor. After icc profile and slight manual adjustment it’s extremely accurate and colors are fantastic. Watch techless video on YouTube and he’ll walk you through the color adjustment and provide the icc profile link.Ips glow was minimal on my panel which was surprising and using that icc profile also helped with the blacks looking more black than gray. Button location is a bit awkward so it’s best to set this monitor up before mounting it to a specific location. Also it force downloads some hp omen program when first installing the monitor I would recommend you uninstall it after final set up.Response time is decent but you are completely unable to use it after level 2 the overshoot is extremely noticeable and looks terrible level 2 was the sweet spot for me 3 is “doable” but I would only recommend it for fast paced games you really don’t care about graphics at all.Lastly be aware that hp began shipping these with BOE panels (BIMM111) I was lucky to get the Lg (LIMM111 or LIMM 101) I have heard of qc issues with the boe panels so make sure to test your monitor thoroughly before the return period. You can find this part number on the box or by holding power and menu buttons on the monitor while starting up.Again great monitor and would highly recommend it at the $170 price point if it fits your needs. Don’t expect good hdr you will be disappointed.
5,I bought this monitor to upgrade my gaming experience from 1080p to 1440p. I was also moving from a TN panel on my 1080p monitor and was amazed by the difference in color (mainly contrast) from TN to IPS. My monitor does have a BOE panel instead of the much reviewed an praised LG panel that these had when they first came out. I have not experienced any of the issues others have had with the BOE panel (I’ve had the monitor for less than a month at time of review). There is minimal backlight bleed that I’ve noticed but I also dialed in settings for brightness contrast gamma etc in windows when I first set it up and I mostly use it in a dark room. For 1440p gaming on a capable system this monitor is great and at an affordable price. There are other options that are in the same price range that have better panels but I rolled the dice on this one and it’s yet to disappoint. I will update this review if I begin having issues with the panel. Otherwise I would recommend this monitor to anyone wanting a 1440p gaming monitor for a decent price.
5,I got this from the Treasure Truck deal. Under $190 shipped for a 165Hz 1440p IPS monitor. The first one I got from this deal had a defect in the top right corner of the panel that was only visible from certain angles. Seemed to be a deformity in the panel itself. I returned it for another one which is perfect. It's an excellent monitor that I was lucky enough to snag for under $190 all said and done.As with any other monitor HDR 400 is kind of a joke and looks worse than standard range. Leave it disabled.Had no problems running it at 165Hz over the included Display Port cable. AMD Freesync Premium was enabled by default. The colors are not the best out of the box but are easily corrected with the OSD. There's a couple of presets which are okay but I prefer the custom RGB option to set to my liking. You can also use custom color profiles as well.The backlight is bright. This one has no issues with deformities or light bleed. It looks great. Slight color banding even after calibrating but not worth trying to return again. No dead or stuck pixels. No flickering issues.I missed it the first time it was a Treasure Truck deal but got lucky and snagged it the second time. If it comes back up again I will certainly get another one and you should too. For that price you really can't beat it.
5,This was a Christmas gift for my son. I wanted him to make sure it was in working order before wrapping it up for the tree. Well his dad helped him set it up and the box was destroyed so my son got it early. LOL He finely told me that he really liked it and that it was great for gaming earlier this week.
4,As several reviews mention at some HP decided to replace the highly lauded LG panel in this monitor with a cheaper BOE (a Chinese manufacturer) panel. It's hard to say exactly how much this degrades the quality of the panel but keep in mind that the initial wave of very positive reviews for this may not be as accurate as they were.So far it seems good enough considering I got it on sale. I had a dead pixel scare exactly on day after the 30 day return period ended but I think it was a false alarm. I also think I may have received a returned monitor though as it has some scuffs on it and the warranty was already activated 2 months before I even received it. Might have to look into what that's about.Just do your due diligence and if you can grab it on sale it should hopefully serve well as a decent monitor considering its size resolution and refresh rate.Will update as time goes on if any issues pop up.
5,The HP X27q Gaming Monitor has already been a game changer. Going from a 21-inch 1080p(FHD)/60hz to a 27-inch 1440p(QHD)/165hz is amazing. Not only I’m getting more screen space due to higher pixel count but its significantly smoother. The IPS panel with HDR also makes this screen much brighter and more color accurate. The overall look of this monitor is premium with super slim bezels and good adjustment options for height and tilt. The size and viewing angles allow me to use it as a TV sometimes when watching streaming content. I gamed a few times so far and its far more responsive than my previous monitor. Great buy and value for the premium feature set. For gaming 1440p is a sweat spot as it allows more FPS then going with 4k which would be far more resource hungry and personally at 27-inch your eyes would not notice much difference in detail. Be sure that your PC has a newer HDMI or DP versions to ensure you can use the 144/165hz modes.
4,So to start off with this is a great monitor. A fantastic monitor. Everything from the rich colors to the increased frame rate is exactly what I had hoped for. Especially coming from a brand that I am very familiar with (I had a similar model but very early on maybe 2011?). And just like my previous monitor this one rotates to a vertical display! Just make sure you tilt the monitor outward at the bottom in order to ensure you have enough clearance. Anyway as mentioned it's a great monitor and would be a welcome addition to anyone looking to expand their desktop for work or a gamer looking to enhance their gaming experience. Assembly of this item was also incredibly easy.. you literally open the box remove the cardboard and snap the arm of the base into the back of the monitor. Et Voila!I do have a few issues with this monitor though..- The cable that's included with it... it only provided a Display Port cable and unfortunately my laptop does not have one of those. I obviously had extra HDMI cables but I would have expected one to be included especially at the $200+ price range.- the connection on the monitor for the Display Port is very tight and leaves little room for actually removing the Display Port cable once attached. A better design would have been to maybe put the push-release for the display port cable on the sides instead of on top of the cable.- There is no auto-adjust display when rotating the monitor to vertical display. This might be something that I adjust on my display settings but my last HP monitor that rotated would automatically change the display to vertical.This monitor works and looks great and none of these issues are deal breakers by any means. It just simply means I can't give it a 5-star review.
5,For the money buy this! I got in off of amazon treasure truck for $180 and it is easily as good as panels that cost $285-315. It ticks all of the boxes and has good response time. Only issue would be not the best contrast but that happens with all ips monitors because it’s not a va panel. At this price it is a must buy! Even at $240 or $250 it’s a steal.
5,Image quality and viewing angles are great. I’m glad I got it. It’s an awesome value.
