rating,review
4,I love this keyboard and mouse combo for the most part and works for what my needs are. The keyboard overall does really well for being on my lap when couch gaming and the mouse really does an awesome job when it comes to my games. Being both wireless and Bluetooth does allow me the ability to use this setup for both my laptop and my PS4.The Pros of it all:1) The keyboard lights are nice and bright while being aesthetical pleasing and calming.2) More basic functions when switching to various modes of pulsing lights and solid light colors with the press of a few keys.3) Ability to use for both Bluetooth and wireless though on the PS4 this is not as seamless as I thought it would be.4) The wrist rest can be removed if necessary but since I couch game most of the time it does make it easier to use the keyboard without having to find a lapboard to use and is much more comfortable for me to use.5) The mouse speed is perfect and the flow of the mouse movement seems very seamless to me when I play my FPS games. While I would have preferred more buttons on my mouse for other key bindings it works for what I need right now.The Cons that I found:1) To use the keyboard with my PS4 I need to have it wired and turned off and then press the "S" and "B" keys to work with it. I find this a flaw in the PS4 system itself rather than the Corsair's fault as this lies in the software rather than the hardware itself.2) Uses internal batteries rather than removable ones. I find that rechargeable batteries tend to last longer easier to replace when needed and are much more convenient in that replacing them is just more functional than internal batteries.3) The keyboard can be noisy when typing really fast as I do. This can be a Positive at times since I utilize more of my hearing when I type and looking for keys by sound and touch rather than sight. Still though they are a loud when I type and can hear them through my headset. This can be distracting when I am playing my FPS and need to concentrate more on the enemy than the key presses.4) The instruction manual is weak and difficult to read. It is much smaller than anticipated and they need to redesign the entire manual without me having to find either a magnifying glass or run to the internet to be able read a simple item as the manual. Also there should be instructions on how to enable keyboard function clearly in the manual as well. It took me awhile to find what I needed online.5) While the keyboard/mouse combo is what I am looking for and what I need I wish there were more functionality with consoles than there is now. This is more of both software and hardware designs and issues. Sony should fully invest in this idea as well as Corsair to both improve the functionality and software/hardware designs to match PC gaming. Consoles are just basic PCs on a smaller scale and design and both Corsair and Sony could benefit from a mutual cooperative narrative when it comes to considering the needs of gamers and how they want to play. This goes to game design companies such Electronic Arts and should follow those games that allow for full keyboard and mouse support.I had been looking into a Logitech brand of gaming peripherals but the price had been a little too steep in what I wanted and didn't have the functional RGB design I was looking for. While Corsair had the RGB design and functionality that is very impressive to me it does lack in the two areas I had expected to be able to utilize when I game. That said though the Corsair K57 keyboard and Harpoon mouse are still superior to the Logitech keyboards and mice in my opinion and has a more pleasing and ergonomic style and design that ultimately made the choice definitive for me. This is someone that has used always preferred and bought Logitech peripherals than anything else.I have looked into other peripherals companies such as Razer but found that either price was above what I could afford or didn't offer the functionality that I was looking for. It boiled down to Logitech and Corsair. In the end Corsair won and Logitech lost.
5,I work from home part time and I wanted a nicer mouse than the one I had. So I got the Harpoon Wireless.  I liked the Bluetooth/dongle combo as it gave me a way to switch between my desktop (low latency dongle) and work laptop (Bluetooth).  Later I applied the same logic when looking for a keyboard upgrade.When I finally had to return to the company office part time the standard mouse keyboard combo drove me insane so I found this bundle that mirrors my equipment from home.In summary the mouse is a bit small but feels good and has pretty good life in the rechargeable battery.  The keyboard does have some flex to the chassis but again feels good with a nice tactile (almost clicky) feedback.  The keyboards rechargeable battery life is really good too if you don't go crazy with the led lighting which looks great BTW.  For my lighting options I used ICue (Corsair's software) to set the keys to glow blue for about 2 sec when I press them (that saves on the battery).As for the Icue software I quite like it. It's a major part of why I buy Corsaor products.  It's easy to use and provides good functionality. I bought headphones which caused me to get Icue.  Because of Icue I opted for rgb ram mouse keyboard and PC enclosure and the software controls it all.  It's official I'm a Corsair fan.
4,The colors are vibrant! The feel is quality! Good amount of time between charges! Only had for a couple of weeks but so far everything seems very possitive!
4,The board itself is amazing those Micro keys are amazing for artworks just program it and you are done it's easy to program it to it just iCUE sucks at times very high quilty except for the armrest the prices that holds it just snapped off after a month. also the lights are amazing sooooo many options for wired and wireless very responsive wireless tech.
1,The keyboard feels ok but its a bit on the cheap side. That's typically not an issue however... The windows key lock on my keyboard appears to function since it turns on the light but when pressing the windows key while in a game my start menu appears so its not actually locking the button like its supposed to. This was one of the first things I noticed and such a simple feature not working really screams "cheap" to me.The biggest downfall to this keyboard is really its sleep mode. The keyboard will go into sleep mode to save battery and will not wake itself up until you press a button. For me I like to use this keyboard wirelessly so I keep the lights off to help extend battery life (I get about 20 hours of battery with no lights even though Corsair claims 35 with RGB lights on). So every now and then unbeknownst to me the keyboard goes into sleep mode. When I try typing again it misses the first several letters I type as its waking up. So if you try to type "Hello World!" you'll only see "orld!" and you'll have to go back and correct what you typed all the while you will not be expecting it so its a real nuisance. I don't think this timer works properly because its set at 15 minutes in iCUE and I've had the keyboard enter sleep mode within a minute on many occasions.Logitech has a similar keyboard that doesn't do this (the G613). Corsair should take note and update this model with a new version that eliminates this headache. Its possible a software fix can accomplish this as well and there's a decent chance a firmware update could fix this too but its hard to say.This is a $100 keyboard that feels more like a $50 keyboard. I do really enjoy my Corsair products I have many including a custom water loop on my desktop PC (I use this keyboard with my laptop) but this product I don't think lives up to what we've come to expect from Corsair. The software isn't fully working with the keyboard the windows lock key doesn't do its job it feels a bit cheap sleep mode takes a second to turn on so you lose what you are typing while that's happening and the color options on the keyboard while not plugged in are a bit on the pathetic side.If this product was $50 i could easily recommend it. At $75 i could recommend it to some people but at $100 i cannot recommend this at all. Get the Logitech G613 instead its significantly better! It just doesnt have any backlighting. If you want backlighting use the money you saved to buy a laptop light that you clip onto your keyboard or buy a wired keyboard. $30 can get you a better keyboard if you go with wired.----------------------------------------------------------Update 3/30/2022I've had the keyboard for a month and earlier today i left a review for it... A few hours later dead... I was playing a game and after something ridiculous happened i held my hands up like "What the?!" and then dropped them on the keyboard like i've done so many times with every keyboard i've ever had... Its my thing i guess!Anyway that broke it... A few keys came off and wouldnt go back on right never seen a keyboard break so easily! I would expect this from one of those cheap chinese brands that also offer a free mouse and the whole thing only costs $25 but this is a $100 keyboard from a very reputable company!I decided to give it a test... Since it was broken i didnt mind breaking it more so i put it under my knee and pulled to see how much force it would take to break the whole thing in half. I think i'd have a harder time with a loaf of bread! This thing snapped with almost no resistance! I'm in utter shock at how badly this thing was built. This is the type of keyboard that corsair paid $10 for the materials and manufacturing costs and is selling it for insane profits because no other reputable keyboard manufacturer is selling a wireless RGB gaming keyboard.Please dont buy this... It might work fine for you if you're gentle but buying this tells Corsair that ripping off its customers with cheap products sold for ridiculously expensive prices is a working formula to make them a ton of money therefor we will continue to get cheap garbage from Corsair. That garbage should be left to the Chinese not a good company like Corsair.Im seriously disappointed in you Corsair this keyboard is bad! I've replaced it with a Logitech keyboard the G613 i mentioned above. The build quality on it is massively superior in every way and its cheaper with no missing characters when typing after the time out. I have the Corsair K95 on my desktop upstairs im considering upgrading that to Logitech as well. I need to investigate more Corsair keyboards before i make that decision because i love my K95 but this K57 is just a kick in the teeth.
4,keyboard works awesome and is exactly what you want in a keyboard but the mouse unfortunately has to be plugged in or the mouse lags across the screen which is very frustrating ..
3,Overall this is a solid keyboard. I'm not a big fan of the very "clicky" mechanical keyboards which is why I went with this style. I like the overall feel and layout. The keys are responsive and I can feel the keys engage but they're relatively quiet compared to a mechanical keyboard. And I like that.Here's my one complaint. I purchased a WIRELESS keyboard. I expect that ALL the features should work when the keyboard is in wireless mode. One of the features that I like in an RGB gaming keyboard is the ability to setup custom lighting effects. Otherwise why bother to spend the money on an RGB keyboard? Unfortunately none of the custom lighting effects work when the keyboard is in wireless mode. Why would I want a wireless RGB keyboard that I have to use in wired mode to get access to all the features? At least one competitor has this part right so it's clearly a solved problem.
5,I like that it keeps my grandson active inside the house and very happy.
4,Overall really happy with my purchase however have a couple issues to be aware of.I bought this product yes to game but also to be functional while I work from home. For gaming I love it could not be happier however for work I have a slight issue. I sometimes type faster then the board can handle and numbers on the num pad are missed. This has happened on numerous occasions and most of the time it's the 8.The second issue I have run into is that one of  the palm rests pins where it connects to the keyboard has broken after only being removed a couple of times. I am by no means rough on the pins however one still broke.I will say I have been in contact with Corsair and am in the process of getting the palm rest replaced with no hassle so A+ to corsair support just wish the palm rest quality was a little better.
5,Been using corsair products for years  this keyboard is of high quality and user freindly  very nice backlighting many options of settings and light patterns  plugged in the usb doggle and the keyboard worked instantly no driver install or pairing up   if you looking for a affordable keyboard that will last go buy this one
