rating,review
5,Need it for Work so I can Hold it with a good grip while using. Feels good
4,Pen holder magnetic holder is weak won't retain the pen if moved or tilted.  Other than that it looks good and sturdy.
4,I think this will work fine for some. But since I have two crazy young boys who like to fight over things I didn’t care to find out how the plastic frame that secures the ipad into the plastic shell would hold up in one of their tug of wars. I have Otter tablet covers that are similarly designed and are very difficult to free the tablet from. This one just seemed… too easy to remove with just one fingernail. And the soft silicon of this one pulled away too easily from the black frame for my liking. The Otter design feels like I have to rip out several fingernails just to loosen the plastic frame AND that is AFTER I’ve already lost several fingernails prying the firm silicon cover away from the plastic frame. Also I was really looking for a case that came with a clear plastic screen protector attached to the top frame and for some silly reason thought this one would have one. One thing I really liked about this one though is the spongy air pockets in the silicon. Seems like it would create a nice cushion of protection for the ipad if dropped. I had to go off Amazon to find what I was looking for but this is an affordable and decent alternative for individuals who will not potentially have someone playing tug of war with their ipad.
4,I love the shoulder strap palm strap kickstand and stylus cradle…The only thing I don’t love about the case is that the top cover seems to float a little loose in the corners
4,My son wanted one so I bought it for his birthday
4,Looks like it will do a good job of protecting my iPad from a fall.  I don’t want to test it though.  It seams to be well made but a bit heavy.  Good hand hold on the back that will rotate if needed.  Comes with a shoulder strap which I have not installed yet.  I don’t know if I will use it.  Stand pulls out from the back and will hold in landscape or portrait mode.  Data and charge connector is protected well until needed.  All buttons line up well with their counter button on the iPad.  The camera is protected by being recessed about a quarter of an inch from the back surface.  I gave it a four stars for the heaviness of it but if you want good protection it is not too bad of a trade off.
5,
3,Protection seems good and the stand works great but the outter rubber layer is not very sturdy or tight fitting. Can easily move out of alignment with the harder layer under it.
3,To bulky and heavy
5,Must satisfied with the product ideal for kids.
5,Very durable! Has straps so you can carry it. Easy to hold. We also put ours in a car stand and even with the case on it still fits. We love the case! Highly recommend
4,Pictures deceived me with the pen. Very tight fit but nice case and seems it can protect my ipad.
5,Works very well and helped to be able to carry it around and use when needed. Hands free carrying.
5,I use this for my Matterport Capture device and it makes the job a lot easier. Sturdy reliable and very functional.
4,Seems pretty sturdy. It was easy to install and fits well.
4,My iPad is an iPad Pro 2020 11”The installation was a tiny bit awkward but overall it was pretty quick. I will note that two of the corners are ever so slightly warped so that there is a slight gap between the case and the screen. It’s not an iPad safety issue but I’m going to have to be wary of random dirt or dust.The soft black backing is a dust/fur magnet but it doesn’t bother me too much because it’s easy to just swipe clean. I am a tiny bit surprised that the hard material is against the iPad and the soft material is on the outside…but I do still like the case.All of the buttons line up correctly and they are easy to press. The Apple Pencil (2nd) is easy to place and remove from the case and most importantly it can still charge. The kickstand works well and it rotates along with the hand strap so that it can face all four directions. There is no screen protection provided so I bought my own separately.I’m fairly satisfied with this case because the perks outweigh the downfalls by a good margin.
3,It’s a nice case that is durable but doesn’t properly fit the cheap plastic at the top won’t stay snapped together and I’m constantly having to put it back together daily
4,I had plans to attach it to the headrest for passengers in the back. Is is okay for just carrying the tablet. I found it easier to watch installation video. It is okay.
5,These are great. I buy these all the time.
3,Fragile and cheaply made
5,I haven't had any issues with this cover at all. It seems to work very well although I have not dropped my I pad pro. It looks good though. I think I'd buy it again. Perhaps I'll come back to update my review if I change my mind about it at some point. But So far so good.
4,Probably my favorite rubber on a case so far but it's not as tight and form fitting as it should be they should just adhere the rubber to the main backing imo.
5,
5,Got this because I was looking for a case with a handle and a built-in stand. This satisfies both. And it's got some protection from dropping. The only con is that it's a bit heavier than I wanted but it's as light as it can be for the protection you get in my opinion. Would definitely buy again!
5,I’ve had the case for a couple of weeks and it appears to be pretty sturdy. The rotating strap on the back makes it so comfortable to work just about anywhere.
4,Easy to install and use.
5,Thank you for the perfect case for my iPad.
5,Good product for the price.
5,Do the job great very comfortable
5,Falta cubrir la pantalla
5,Excelente para proteger el iPad. De buena calidad.
5,Really happy to have this cover on my iPad.  Glad I found it.  I find myself constantly using the handle on the back the kickstand and of course the pencil holder.  It came with a shoulder/neck strap which I have yet to use but I saw it featured on “Upload” streaming on Amazon.  Season two I think episode 6.
5,I love the handle that allows you to move the iPad without moving your hand!
4,Hard to close apps and swipe however great
5,Now this is very sturdy. Even if you drop the tablet this will protect it. Just don’t intentionally drop it. Joking aside this is like an armor. Very bulky sturdy if you use the tablet frequestly for work while on the go this is the best I found. Very durable convenient to use.
5,I like the strap on the back!
5,Easy to hold.
5,The best case I've ever had  and perfect if you're using your iPad for drawing.  It is so easy to hold and I love that the handle rotates so you don't have to reposition your hand as your turning the iPad.
5,The design made this easy to hold while at the game using the game day app.
3,Doesn’t come with a screen protector i thought It did but the case seems pretty good
5,Lo compre en diciembre y ahora mismo es mayo y el continúa como el primer día. Lo recomiendo al 100%
5,The case seems secure and well padded. The installation video in the product description above is very helpful. It installed in nothing flat and works with the Apple Pencil 2. Shows it is charging and percent charged. I actually like that there is NO screen protector build in. I use ESR's tempered glass and it works great. I had a built in screen protector with Otterbox Defender for Air 3 and it felt like cheap plastic.I am replacing an ESR iPad Pro Case with this case because I really didn't like the flap cover it had. This iPad is used outdoors a lot and using it with a cover flopping around seemed annoying and dangerous.All and all I really like this case. The insert showed that the case with have optional colors. That would be nice too.My iPad Pro 11 2021 is Model A2301  Wi-Fi + Cellular
4,Product was great but I ordered the wrong size.  It was fast and easy to return
4,Almost but not quite the snug fit I expected.  Good product for the price.  Certainly does the job.
5,Excelente calidad lo recomiendo perfectamente
5,It has worked out great for my business iPad I am in the whole industry and I am in and out of my truck all day long and I do drop my iPad every now and then. The case has really held up.
5,I love that it’s easy to hold and durability!!
4,It’s easy to hold and seems durable.
5,got this for my grandson it really work for him  he still have his table cause baby  it would be broke by nie
5,Love this case. It’s not too much bigger than the iPad itself. I like the carrying strap and the handle on the back.
4,Very good
5,Si nunca tienen que sacarlo de la funda es genial pero si son como yo que tienen que estarlo cambiando del estuche al teclado hay una pieza que es muy delicada y fácilmente se puede quebrar.
2,Case works overall frustrated that the back clip is broken. Have to prop it up on things now. Was a five star case til the back broke.
3,Easy to hold one handed but broke. I never ended up using the strap.
5,This very sturdy and easy to hold.....The pop out stand is a nice plus...
5,Easy to install and excellent comfortable shape its protected i pad more than i expected it's i pad perfectly and also comes with pencil holder perfect for kids.
4,Great case..I would rather it have a place for Pen that didn't charge all the time and maybe a more sturdy kick stand
5,This is a great case my daughter plays in the iPad all day and I live that it have that strap too awesome
2,The case cutouts do not align with the IPad Pro 11.  Received yesterday and returning tomorrow
5,The media could not be loaded.                                                                                 I have total control of the position of my tablet. Love it!!!. Never had any other case that works so well.
