rating,review
4,This stand is amazing for any home or office space it holds up very nicely and in terms of assembly it took a minor curve when coming to the strange screws that aren’t easily explained within the instructions but other than that the stand comes together very nicely!The only issue I’m faced with when it comes to the stand is simply the drawers being the biggest drawback being very finicky sometimes giving a hard time to pull out! And in terms of the dividers they aren’t the most sturdy and stable but they get the job done so don’t plan on put to much in them unless you want to yank the whole stand forward when pulling the drawer out!In total this stand does an amazing job for my setup! Putting together my room very nicely and helping create extra storage space and coming from a college student who lives in a box any extra space is great space and this stand does a create job brining together my study area!
5,Very nice for the price much sturdier than I anticipated. Just too tall for my desk. Only quirk or dislike is that the drawers get stuck on the screw tops when pulling them out. Not a huge ordeal but made the stand slide on my desk. Could probably put some non skid on the bottom but I’ll be using this at home as opposed to work instead. Top of my right screen gets cut off by my hutch and the left doesn’t fit at all. Should’ve measured first! Lesson learned lol. Great stand for the price! Very easy to put together and came with spare parts. Buying a different height from the same manufacturer.
5,I was looking for a different riser so my monitor did not sit so high.  Based on the height and length I thought this would be a good option.  It was easy to put together as long as you paid attention to the pics (which could be a little larger).  I was hoping laptop could sit underneath but forgot to take into consideration the cords.  Even so I like the look the height is much better it’s very sturdy and the storage helped clean up my desk area.  Would recommend.
5,I am so glad I found this gem on here. It’s easy to assemble and it’s very sturdy. I have two monitors on the stand for work and the bases are large. They fit comfortably with plenty of space to add another monitor if needed. I like the slot to hold a tablet or phone. It’s easy to place small electronics there if you lose devices like me! The drawers are an added bonus to put things in like your pens post it notes or any little Knick knacks. Highly recommend this dual monitor stand.
5,Boards didn't match pictures in assembly manual; supposed to have 3 holes but only had 2. I gave up & let my fiancé do it. Definitely helped organize my desk looks nice & it's great to have a little elevation to my monitors.
5,Product super easy to assemblelittle flimsy in the center between the drawersall in all really good quality for the price and it looks good with the set-up
5,I was using a standup desk to put my monitors up higher but it was bulky and took up too much disk space. This is perfect it raises my monitors to the right height makes my desk look nice and neat it doesn’t take up a lot of room.
5,Easy to assemble seems pretty durable. I liked this had two separate parts for storage. Looks great on the desk than a standard metal riser.
5,Very sturdy; pieces are well made and numbered with stickers to aid in assembly predrilled holes are accurate aligned and smoothly finished screws and pegs easy to identify.  All parts fit together perfectly.  I'm super impressed and recommend this product.
4,Gave me back precious desk space and small drawers for gadgets
5,Nice addition to my desk. Exactly what I was looking for. Now I have room to actually work on my desk. Nice elevation for the monitors as well.
4,It looks very nice on my desk I loved there are color options and I found one that is almost exact.
5,It looks good and works great!  Even dropped on floor and didn’t break.  The amount of hardware was amazing… more than I’ve gotten to put together a large bookcase!  But just follow the steps.
5,Color matches well with my ikea counter top desk. Easy to assemble. The drawers get stuck and does not come out smoothly  but it does what I need it to and organizes my desk.
5,Very beautiful product!
5,I purchased this monitor stand as part of a home office setup for my new job. It's large enough to hold two large monitors and my laptop without any issue. The drawers are helpful and cut down on desk clutter. Overall very satisfied with my purchase.
4,I love the easy assemblyi do have a worry since i didnt have a wall to really station it at. yes the snug fit draws does make the stand move slightly was there any way to make it more grounded on the desk? that would make it better to have instead of worrying if something will make it tumble over…
5,Love the drawers and it’s sturdy. I’ve put two 24” monitors on it and it’s holding up fine. Also easy to assemble. Highly recommended.
5,Looks like the picture! Beautiful and sturdy. I'm not the best at building and putting things together but I was able to follow the directions provided and put it together just fine. Highly recommend this Monitor stand it even fits both of my work monitors on it not just one. :)
5,good value for the money I like it.
3,I have done hundreds these flat packed stuff still found the assembly is a bit tedious the tiny screw driver doesn't have much torque so you better off using your own bigger one to start with before your hand start to hurt.  The worst part was the instruction of one part was wrong (the orientation of the metal brackets with the notch was drawn and illustrated exactly the opposite as they should go on the panel) so you need to redo it which is a major annoyance.  There is no instruction for the internal dividers for the cloth drawer you figure out; the turn-lock screws are not flat top flush with the surface (1-2 mm bulge) which makes the movement of the cloth drawers not smooth and getting snagged on by these screws.  Otherwise once they were put together they are good looking sturdy and good value for the money as always for these Chinese made small things for office and household.  They are so close to make the almost perfect products but always fell short for the last inch they don't pay attention to user experience as much why couldn't they work just a bit on making a little clearer instruction or pay more attention to these little details if the designer or CEO tried to put together and use his own product just once he would find out exactly the same issues the consumers went through.  USER experience including assembly could make and break you.
5,it WORKS
5,Love the unit. Took me about 45 minutes to put together as I had to change the positioning of two pieces. The photos and descriptions did not match and I went on the wrong path. The unit is incredibly sturdy and I have it replacing a 24" wide unit. The drawers are also nice and deep. I only wish the opening below was about 2" wider. The other bonus was that the finished matched my desk. I would highly recommend the unit.
5,This was so easy to put together. This stand frees up alot of space on Mt desk so I can have a nice size keyboard and mouse pad. I have recommended this already.
4,The directions seemed to be off however I was able to assemble it and it looks good on my desk.
