rating,review
5,A lot of people are review bombing graphics cards right now and don't understand that prices are only high because of current chip shortages and a whole slue of different factors. So ignore those reviews where they only whine about the price those aren't relevant or helpful.I was fortunate to grab this while it was on sale for $869 (31% off its original price). That's my recommendation for buying a graphics card these days wait for something to go on sale and buy it (anything that is more than 15% off is generally a great deal).I've been running this card for about 2 weeks now and it has been performing amazing. I have this card running with an AMD Ryzen 7 3800x 8 core processor and it handles it very well. I've been playing games like GTA and Rainbow Six Siege on max settings and it only uses about 8 GB/ 12 GB and gives me a constant 144 frames per second on my 144 hz monitor. It's normal operating temp for me is about 63° C and bumps up some when playing graphic intense games. I've seen other reviews here that said their card was running overheated but that could largely be their own fault if they don't have good air flow through the case or various other things.If you do purchase this card you can register it on EVGA's website so if it does malfunction or break within 3 years of purchasing you can ship it to them and they will fix it for you.So far so good with this graphics card hopefully wont need to upgrade for a while now.
4,Let's all be honest.  You're not buying a GTX 3080ti because you want to get the "best bang for the buck."  This card is NOT a good value; it's severe diminishing returns.  This is one of the most expensive cards available and its performance shows.3D card prices have been skyrocketing ever since Web3 and crypto became a thing.  Finally prices dropped down to a bearable level and I made the purchase for a nice upgrade from my 1080ti.This particular card seated perfectly for me no trouble with adding the extra power cables that 3D cards require.  Card is nearly the same dimensions as the old evga gxt 1080ti so zero space issues either.  For smaller cases be VERY cognizant of card dimensions this card is a BEAST.Card at 80% use (locked 144 fps in Cyberpunk max settings at 1080 no drops? NICE) fans are still quiet through my case. I never noticed a difference.Had issues in Win10 with drivers had to do some finicky nonsense in safe mode uninstalling all nvidia software and then reinstalling reference drivers.  I had serious massive FPS gains but ymmv.All in all very happy.  Was it worth it?  Probably not.  It's a 1000$ toy.  But you're not reading this because your scared of the price you want to know if this card will help your FPS and it will; if you already have the specs to take advantage of this card's greater power.
5,This card is a welcome upgrade from my EVGA GTX 1080. Handles MSFS22 at 4K Ultra with a visibly smooth framerate. 3DMark score of 16800 on a Ryzen 7 5800X with 128 GB of DDR4 @ 3600. For the price it's comfortably within the standard range of performance for this hardware despite being slighly below average for the 3080 Ti chip. You will probably get better results with the FTW3 variant of this card but it will cost you a bit more. I'm happy with the price/performance of the XC3 and it smokes my GTX 1080. It does bench hot it gets up to 86C under 3DMark bench. Hopefully this does not harm the longevity of the card. My EVGA GTX 1080 SC still works great after 5 years of moderate use so I have high hopes for my new RTX 3080 Ti XC3. I can recommend this card to the casual PC gamer. I am not an overclocker I just want fly fake planes in 4K.
5,Card runs amazingly well! It absolutely crushes games at 1440p and probably does a bang-up job at 4k. Certainly overkill for gaming at 1080p unless you're shooting for 300+ fps.The cooler could be a bit beefier. I wouldn't say the card is under-cooled but having gotten used to the oversized FTW3 Vapor-X and Strix coolers from previous cards this one falls a bit behind. In a 73F environment with fans at 100% the card will sit at 78C or 79C while in Unigen Heaven. I fully intend to water block for the card in the future (my biggest reason for getting an EVGA 3080 ti over a cheaper MSI Ventus or Zotac card) so the cooler being mediocre for now isn't a big issue.Feels like a pretty good value at the price point of $900 in Aug '22 but with 40 series around the corned we'll see if 4070 steals it's thunder for a few hundred dollars less or not.
5,I'm using an older motherboard and this GPU doubles my old GTX970 benchmark without overclocking and using a PCIe 2.0 interface when it is PCIe 4.0. I am extremely happy with this card however just after buying Amazon sent an advertisement for an RTX 3090 for the same price (around $1K with tax and shipping). With the RTX 4000s coming out soon (currently Sep 10 2022) you may be able to get this for significantly less but I think it's a good value in the $800- $999 or below price range.
5,I purchase this GPU because EVGA is no longer making GPUs. RIP EVGA and I love your product so much keep up the good work.
5,Full hash KR RTX card EVGA quality and finest support very reasonable price. Why XC3 and not FTW3? XC3 takes less slots and has the same real performance and as my gaming workstations are stuffed with different expansion cards and NVMe adapters there will be more space inside and better cooling as well.
5,I'm coming from a gigabte aorus 2080 I know i'm late the the 3080 party with the 40 series coming up and what not.Love it it fits much nicer is much cleaner of a look with no gpu droop because of it being smaller and lighter and it performs how I was expecting a 3080 ti too with 1440p gaming and rtx on. No regret with buying before the 40 series came out. Was gonna wait happy I didn't.
5,It easily handles any game I've played just fine so far (as a lay gamer). I'm outputting dual-4k with no issue whatsoever.
5,Pairs well with an EK waterblock. The air cooler is bulky like most other 30series cards so you may want a support. I’ve been running games at max graphics setting and have hit a max of 75% card utilization. Running with a Ryzen 7 5700x in a custom loop.
