rating,review
4,Love how it grips to the phone
5,I absolutely LOVE this detachable pop socket! It’s nice looking and I like that when I don’t want the pop socket I can just detach it.
5,I was getting arm and wrist cramps from using my phone. This is so helpful to relieve the tension!
5,I have a dark blue phone with a dark blue case and this pop socket looks beautiful with the blue. It also holds very well while still being fairly easy to remove for charging with my MagSafe car charger/holder. My phone goes into a pocket easily thanks to the slight recess in the design. Very happy with this purchase.
5,Sturdy. Looks nice. Easy to get on and off.
4,I've tried to look for other off brand magnetic pop sockets due to the price. I would say the price is a bit steep. Considering there aren't many off brand pop sockets out there on the market this deserve 5 stars. I am only giving 4 stars due to the pricing. Something like this should not cost this much ever. Besides that you will be satisfied with the magnetic base. It's easily taken off by the hand the magnet is extremely strong. My phone hasn't fallen out due to the magnet like others. I would highly recommend.
5,I love changing cases weekly. I am obsessed with pop sockets I cannot handle a phone without a pop socket it was the best thing they came up with but since I changed cases so much I spent hundred of dollars buying a pop socket for each case until this one came out. I can change cases as often as I want and I can use the mag safe for charging. Its super strong and holds the phone very tight 100% recommend!!
5,This is a fabulous popsocket
5,I was so reluctant to get a magsafe case because I didn't want to lose my pop socket. This is the greatest invention ever. A magnetic pop socket that can be removed to easily charge your phone using your magsafe. So easy to use. This truly made me so happy. Very much worth the money.
5,I love the MagSafe pop sockets so much. I love the ability to just remove it whenever especially for wireless charging.You do need a MagSafe compatible phone case which adds an extra magnetic layer for a stronger connection.
5,Got for wife. We were scared it would come off when you dont want it to but been using a month now and sticks pretty strong never had an issue. And pops off when charging at night.
5,Ive had this for a while now. The magnet seems  to get weaker over time. Still holds I just have to be more careful that it doesn’t pop off during too much motion. I also had the removable one that expands over the sides of the phone and this one is sooo much better. I bought a bumper so I can I tercia get my socket and apple battery pack.
5,I was skeptical but it’s been holding!
5,Love it!! Stays on well but able to slide off without damaging the case!!! So easy!
5,Works as expected.
5,This is a wonderful product. I love how you may switch back and forth with just a snap. I’m very pleased. Two thumbs up approved.👍👍
