rating,review
5,This thing is probably my best investment to date. The Blue tooth is easy to use but the name of the device is NOT the same as in the instructions book. Only reason I knew it was the right device is because my phone showed a new printer. The app is pretty straight fwd but I ALWAYS have to turn the image density up to around 12 for shipping labels. Otherwise it's worked perfectly
3,I went through the instructions many times and could not get it to hook up to my computer which I guess is fine since I print shipping labels from my phone.With that said I actually dislike the process in which it takes to print one label. Printing more than one doesn’t work.There are SO many steps to print one label from pirateship AFTER having their “shipping printer” app downloaded:1. Download label from pirateship website 2. Save to a folder in your phone files 3. Open the shipping printer app 4. Connect phone to the label printer (every time if it’s not used back to back). 5. Click “choose file” in the app 6. Locate the folder in files you saved the label to on your phone. 7. Open one label (again you can only print one at a time) 8. Rotate the label so that it’s in portrait mode 9. Crop to the size of the label every single time 10. Send to printer 11. Send to printer.. again after verifying you really wanted that size of label print out.  (If you didn’t link the printer in step 4 you can connect here too).See what I mean about steps?! NOT time efficient.If you have more than one label to print you get to do it all over again but can skip step 4.See what I mean about steps? I’ve tried to select more than one label to print crop them and it prints two on one label. I tried not cropping to the label size- that didn’t print properly either. I’ve done trials of different ways but sheesh.. shouldn’t be this many steps to print a single label. Especially for a small business.The process was easier when I used printing labels on an ink printer. Hope this helps.
5,Update 2 -July 302022…once you get saving your labels from eBay down printing is super easy. No cropping or rotating. Works well. Haven’t had any issues with shipping with the labels. Great value for a Bluetooth 4x6 printer on sale.Update: I used the labels today and had them scanned in to make sure the USPS could read them. No issues. Your printout will only be as good as your source. If you are using a low quality jpeg it will be low quality print out. With eBay I take the pdf they send me save it to files on iOS then print it and crop just the label. Be sure to rotate it so it is in portrait. 5 stars.Original review: I’m giving 5 stars because it works and was pretty simple to set up. I would give it 4 but that’s only because the iOS app is kind of junky but it gets the job done. Connects quickly via Bluetooth.  Loading paper and feeding it thru is simple and the auto sensing works fine (only used 4x6 so far)  USPS labels from eBay app work fine but you do need to crop them and save as a file just the label part. Again works great and a good value at 150 minus the coupon if you wait till it’s on sale. If the post office rejects my label I’ll update this review.I used their included labels at a density of 8 and speed of 4. Nice and clear. Should work.Buy it. You’ll be happy.
4,Very easy to print a shipping label it’s perfect for small business
5,Makes label printing a much easier chore
4,This device harkens back to the 90s in some ways. I haven't had to touch com ports in ages. It's fairly easy to configure the device but you have to configure it over USB before you can get it working over Bluetooth and then you have to manually change the com port to match the Bluetooth com port.Aside from the install being a bit daft once it's setup I can now print labels for various tasks besides just ups/FedEx.  A worthy purchase imo.
5,I mail a lot of things this made doing that much easier!
4,Once you figure out that you need to download their printing app and pair through bluetooth it works great.There is updated connection that makes some of the set up directions in booklet wrong  but this is noted on an included note so don't lose it lol. At first it seemed I needed to have a connected connote to use this  but realized when I skipped the pages to the 1 page about bluetooth info and found the app info which once installed was able to print on its own from my phone or tablet. The app is simple and works with ebay pirateship and other shipping label websites. It prints in only a few seconds.  I have had to reprint a couple of times due to missing ink on the tracking barcode. But rare. The printer did come with a small roll of 4x6 paper. I used my UPS free roll and it works great. I love the ease of bluetooth/wifi printing!
5,I love my new label printer!!
4,Yhis seemed to be a nice printer. The test print looked nice. However this did not work for our church Check-in system with a tablet.
