rating,review
4,Like the product. Sound quality is great. However good thing it comes in a two pack. Used this one for around 1 1/2 months and piece snapped in my phone.
4,Just in case anyone stumbles upon the same thing I did:  When I first tried these I had horrible high pitched feedback with headphones - just make sure all your connections are definitely clicked into place b/c that made me think these were defective. After my own user error (lol) they've been fine and do seem alright overall .. especially given the fact it's a very inexpensive product.
3,I have an iPhone X. The adapter does sort of work. Before I can even get any sound I have to plug and unplug the adapter into my iPhone several times. The lightning connection of the adapter does not plug in tightly into my iPhone (it is kind of loose). Any subtle movement causes the lightning connection to wiggle out of place (no more audio). Then I have to plug and unplug the adapter (and try not to move a lot) to make it work again.
5,Great quality and works perfect.
5,They work great for what I need. I will definitely purchase these again.
4,Great for listening to music on iPhone through connected 3.5 mm earbuds. However for some reason you cannot hear a phone conversation on your earbuds through this connector
3,They work. Not the best quality and not very durable at all. I wouldn’t recommend them for long term use and they were not super compatible with my iPad.
4,Great
3,One didn’t last but a few days. The connector to cell phone broke off / came apart from the rest of the connector and I had to remove it from in the cell phone. The second one is still working!
3,The part that plugs into my phone broke off into my phone and I had to use tweezers to get it out. Be careful with them
4,The adapter fits perfectly for my iPhone X & 8th generation iPad.  The sound quality is great. It doesn’t work for phone calls but I didn’t buy it for that.
5,I’m now able to plug my older headphones to my phone. I’m old school and like wire to my phone.
5,This happened a few days after it arrived when I went to plug it in to the jack and the other one produce no sound.
3,Even though it was the right size for my headphones i had to struggle to plug them into the adapter almost force it in. You can’t control the volume with the headphones but the sound was good.
5,Worked perfectly on what I needed. Always nice to have an extra one.
3,It kept pausing my phone when it was hooked up to my karaoke machine but works fine with no problem on my car aux.
4,No reduction in sound quality from headphones (with slim connector) to my new iPhone.  Just hate having to attach this extra cable. It’s extra bulk but I blame apple for needing to buy this.
3,Static sound one one
3,Bought a two pack.  One worked fine the other could not keep a connection.
5,I purchased these for my sons headphones. They are pretty durable and have lasted against my son pulling and playing with the cords
5,Perfect for playing my music from my iPhone SE
5,No complaints.
3,Works ok sometimes no sound need to disconnect and reconnect couple of times to work
5,The product works great for its intended use. I’m glad I can listen to my Apple Music in the car now.
5,Use it to watch Netflix on my phone. Only think else I wish it had was a place to plug in a phone charger at the same time as well. Still happy with the product itself
2,Not a good adapter. I can’t make a call with my headphones connected with this adapter. The call won’t come through my headphones so I have to use speaker instead. The adapter works only for listening music and I can’t control volume with my earphones with this adapter it will only let me control pause or play.
5,They have arrived faster than they say when I bought them. I liked them.
5,I tried using it with my square and all it would say is please plug in. It was plugged in??  I wish I would have checked it sooner so I could return it but past my return window.
3,One works...the other one doesn't...
2,They broke after 2 weeks. Very cheaply made. If you’re looking for something quick and cheap it perfect but if you’re looking for something to last…Beware 🙅🏾‍♀️
5,As advertised
2,For both adapters the end of the adapter broke off in the "lightening" slot. Neither one lasted more than 3 to 4 weeks.  The previous Apple-made adapter I had lasted over three years before I lost it and bought these. I would not get these adapters again.
3,Sound good used earbuds to listen to my music in my iPhone
2,Only used it a few times and one of the jacks stopped working
2,I was so excited when I saw this product and got it.  I do not like ear buds and thought this perfect for my regular ear phones. I hate giving bad reviews!  I do gave to be honest though. Worked great until the plug that went into my iPhone broke off the first time I used it.  I am going to see if I can return.
4,Sometimes switches back to I phone speaker though
5,Economical and they work
4,It’s fine for just playing Apple Music or Spotify but on one app I used frequently no sound is transferred to my headphones
5,Worth it for the cost
4,arrived today and they broke the same day while i was working.
1,I ordered these two times thinking the first batch was a fluke.  I use headphones to talk on my Iphone and have been using the one supplied by Apple.  I decided to order some backup adaptors since I tend to lose stuff.  All four of the adaptors I was shipped allow you to listen to music on your phone but do NOT allow you to have a phone conversation.  I kept thinking it must be a problem with my phone or my headsets. but the original Apple adaptor always works.  I will keep the second pair for music but this is not the reason for purchasing this item.  I guess there is a reason to buy genuine Apple products.
2,Stopped working and broke within a few uses
5,Great quality great audio transfer.Worth every penny!
2,This product is too large to use with my phone case on.  Very saddened by this
4,They start out working but quit after about a week.  Been through a few and not buying anymore.
5,No issues
2,bought obviously as an adapter for my apple headphones upon plugging them in and trying to listen to music they distorted my music and made it sound like my phone was being held underwater. 🤨 i tried to see if it wasn’t plugged in all the way but i was… horrible sound quality and just a knockoff of apples adapter honestly.
5,My old one broke. This one feels sturdier. Been using for a few months with no issues so far. Definitely recommend.
2,I don't even like that I have to use these; Apple dropped the earphone jack on their newer iPhones and iPads and so I have to use an adapter like this. Anyway my Bose headset has a volume control and pause button that worked when plugging directly into the older iPhone but the volume control does not through this adapter with a newer iPhone (the Pause button DOES work). Same result when using an Apple corded earbud set. This product is fine if you are simply plugging into your car's audio plug or otherwise don't need the control capability.
2,This product is not for receiving or making phone calls. I tried to connect it with my aux cord and it did not support my calls. I then connected it with my headphones and it did not not work as well. I currently have an iPhone 13/ios15. It works okay for music.
2,Would have been helpful if it were more prominently described that this does audio out but not mic in. Still actually unsure if that was spelled out in product description.
2,Both of them broke pretty quickly
3,I was excited about buying these and I did but less than a month in and it just stopped working. Very bummed out
1,I didn't expect much for the price but these are horrible. My phone didn't always recognize the adaptor and I couldn't use the microphone nor the volume switches on my apple earbuds when using this adaptor. I had to keep my phone on the lowest sound setting and even that was sometimes too loud. After one month one of the adaptors broke after being a little bit bent and after two months the other adaptor broke completely in two pieces. I used the adaptors like normal so they shouldn't have broken.
2,Lasted about a month before it stopped working. Buy the official Apple adapter and save your money on this piece of junk.
