rating,review
5,I was specifically looking for a sub-$300 projector to meet the budget for my basement. The projector had to be 1080p and have the ability to ceiling mount with an inverted view.  My main use is TV shows and the occasional movie.  I previously had a mid-level BenQ projector so my level of standards are fairly high but I kept my expectations in check.Shipping was fast and the projector arrived without damage.The packaging is simple yet protective. Unboxing the projector I found the projector itself the power cable a 3.5mm audio to RCA adapter remote (you’ll need two AAA batteries not included) and the user manual. I was able to find a copy of the manual in PDF format online so I familiarized myself with the operation before the projector got to me.  I found the power cable to be a bit short for my setup. The included power cable is around 6 feet long. I would have liked a 10-12 foot power cable.The build quality of the projector is good for the money. The design is simple and the controls and inputs are intuitive. I particularly like the remote. It is simple with no frills. It gets the job done without being overly complicated.Setup is super simple. Select your language and you’re good to go.The focus is set through the menu. Using the remote fine tuning the focus is very easy. This is where I fell in love with it. Even before sending a video to it. The menu images are sharp and crisp even without a proper screen.There are plenty of inputs available to meet all of the devices currently on the market. The projector also has the ability for screen mirroring which was also easy to setup.My basement is long and narrow. But at 8.5 feet I was able to get a very clear 75” screen on the opposite wall. Quite the improvement from my 43” 4K TV which was several years old and giving out.Compared to my previous BenQ projector which was in the $700 range this NexiGo PJ20 is a strong competitor. Without having them side by side there are few differences that I am picking up on. For under $300 I have zero complaints at all.The first night I watched a few episodes of the Big Bang Theory and Star Wars Rogue One. They looked fantastic with clear and crisp images. The colors are rich and bright!  The last few days my kids have watched several Disney movies. The Pixar films look great on this!Fan noise is reasonable for this price range. You wouldn’t want to sit directly next to it but few would have it set up that way. With my ceiling mount the fan noise is a non-issue.The speakers are okay in a pinch but I would recommend some sort of external speaker. Bluetooth speakers would do fine. I’m using an Apple TV with two HomePod Minis. Paired with the PJ20 I have the ultimate budget setup.If you’re looking for a budget projector you can stop here. I highly recommend the PJ20. You won’t be disappointed.The projector has a standard one year warranty. Registering gets you a second year for free.
5,The Nexigo PJ20 is an awesome product for the price range. Having never owned a projector before I was expecting a difficult set up process and to spend lots of time getting things focused. NOPE!  This one was super easy to setup. The focus controls on the remote mean no manual adjusting and takes a matter of seconds to help you find a clear picture while the keystone knob knob on the unit itself makes finding the right “tilt” a breeze. It comes with a small height adjuster under the front of the unit which I feel leaves a little bit to be desired. I think it would be better to have 2 adjustable legs one on each side to provide a bit more stability and the ability do any lateral adjusting as needed independent of each other.Fan: The fan noise is really quiet. I watched a full football game and never once noted hearing the unit at all.Brightness: I have found it’s definitely shines in a dark environment. With any lights on it seems to get washed out a bit but this could also be down to the quality of the screen as well. In the end I think if you’ve got a good screen and the right conditions the brightness is not an issue.Remote: the remote is incredibly intuitive if not basic. Doesn’t come with batteries so buy your own.Sound: this is probably the biggest weakness in the unit itself. Using the unit on its own is OK but is difficult to get full rich theater sounding feel so you’ll definitely want to connect it to some external speakers. It has Bluetooth but I found an incredible lag between the video I was watching and the sound I was hearing which makes it basically unbearable to watch anything so you’d probably be better off hardwiring to something.All in all this is a great unit. I would definitely recommend it’s purchase if you want something quick and easy to set up. Perfect for outdoor movie nights.  It’s really intuitive to use and easy to move. You can have it up and running in under 5 mins. The nexigo customer service is top notch as well. I had a small issue with my first unit reached out to the customer service folks and had a new one delivered in 2 days.
4,I was excited to try this projector.  I was looking for a way to show movies outside and this projector seemed to have all the right specs.I'll start with the best feature - picture quality.  It was bright (compared to other projectors) crisp and clear. The keystone adjustment and built in kickstands were useful and effective.  It showed well both inside my house during the day with the blinds closed and on the outside surface of my house at night.Hardwired connectivity worked well. I was able to connect the lightning port from my iPhone and iPad to the USB port on the projector.  There was a slight delay between the iPad screen and the projector but minor (less than half a second.)  The picture was crisp.  I then connected a laptop to the HDMI port on the projector.  In both cases the projector worked as designed.  It would serve well for a movie night with a hardwired source.Wireless connectivity was a challenge.  The setup was simple - from the settings menu select your wireless network and type in the password.  I did so then the remote stopped showing letters. Further exploration revealed that the projector allowed a maximum of 17 characters for the network password.  Mine is longer than 17 characters so I could not add it to my home network.  Disappointing but I had a work around.  I created a guest network with a shorter password.  My eero network app showed it was added to the new guest network I just created.  However when I went to the screen mirror settings on my iPhone (after connecting it to the new guest network) the projector did not appear in the list of devices. I tried changing the name of the guest network restarting the phones and the projector all to no avail.  I had the same results on my iPad.I did not change the password of my main network; I've got three teen-aged children using their devices on my network and my wife in grad school working on an assignment. I was not about to tell them to reconnect with a different password this afternoon.  All that said I could not test any network streaming functionality.Additionally there are two modifications that I would have preferred to see.  First the remote did not come with the two AAA batteries required.  It would have been nice to have those in the package.  Also it would be nice to have a white line on the keystone dial to show it in the neutral position at 0 degrees.So to sum up:- The projector has a nice bright crisp and clear picture- The USB and HDMI input sources worked well- The network connectivity was challenging.  Perhaps a firmware upgrade could allow for longer wireless network passwords.- I would recommend this projector if you are able to plug in the source directly via HDMI or USB.  Until a firmware upgrade is made available to allow for a wireless network password of approximately 30 characters I cannot recommend it due to issues with network connectivity.
5,The projector came well-packaged in foam with power cord remote and a few extras like cleaning cloth and cotton swabs and a basic composite cable to 3.5mm adapter if you happen to have a device that might work on. I don't but I only planned on using a Chromecast or Roku plugged into one of the HDMI ports anyway so I didn't need anything extra.Setup was easy enough. Just plug it in and push the power button on the back which doubles as a basic vertical keystone correction knob. There's no horizontal one so you'll have to just center the projector to the screen well enough that it won't matter. There's a small foot that raises and lowers with a button push that helps to give you a little bit of adjustment physically to the height though two would have been nice to keep it balanced and level it as needed. There doesn't seem to be a manual focus option either so you'll have to set it up at a distance that you can see what's on the screen clearly enough to use the menu initially. Focus is in digital increments but it's fine tuned enough that a few of the levels looked good to me. Once in the menu along with the focus you can set up things like selecting your inputs resolution picture controls and set up WiFi and Bluetooth connections as needed.I chose HDMI1 and plugged in a Chromecast also using one of the USB ports available on the back to power it up. It started right up and I was able to start streaming. The speakers sound good enough for my use on a patio though I'll probably end up connecting an external speaker to it anyway. You don't really buy a projector based on the audio quality so I wasn't expecting much anyway but it's nice to know it'll work just fine without an external one. Fan noise is low enough that I don't think anyone will notice it over the movie playing. The brightness and clarity on the screen in a fairly well-lit room on an off-white wall was really good for such a low priced projector and the 1080p definitely was welcome and needed vs a 720p one. I plan on using this outdoors for movie nights with the family and friends so the brightness in a lit up room was my test on how it might look outside at sunset. I'm excited to try it out on the back patio soon. After first use it seems like a great projector for the price overall.
5,I am very impressed with this projector!My wife gifted me a projector for backyard movie night but knows that I like to extensively research everything so the task over to me to select a unit.  I had never even thought about buying one of these so I went in with no experience.  I strongly considered going into the $600+ area to get a laser projector because I was very concerned about the brightness level from the sub-$250 tier of projectors.  Ultimately I decided to purchase a more budget priced unit like the PJ20 and then if I really use it a lot consider upgrading in the years to come.When I got the unit hooked up I was really blown away by the quality especially at this price!  I am truly amazed that you can get such an awesome viewing experience for relatively little money.  The picture is clear and colorful with NO visible pixels at all.  The brightness is GREAT in a very dark room.  Although I haven't tested I think it would do ok with minimal lighting.  This is not a unit made to be used in a lit room.I really like the focus being controlled with motors via the remote instead of a clunky on-unit knob that almost all projectors in this price range have.  The remote is well designed and the onboard OS is very snappy and cooperative.  I hooked up a bluetooth speaker with no problem.  I later decided to use a 3.5mm aux cable to connect the speaker which also worked great.  I purchased a ROKU which works great with this product.  The USB input powers the ROKU perfectly.I have been impressed with this screen that I purchased at the same time:https://www.amazon.com/gp/product/B07VFMKJ86/ref=ppx_yo_dt_b_search_asin_title?ie=UTF8&psc=1It comes with a folding stand and very nice case.My main criticism would be that I have a bit of trouble getting 100% of the screen in perfect focus (all corners & center).  This is barely noticeable.  I suggest that users experiment with the keystone AND focus controls at the same time to get the best picture quality.  They work together.Bottom line I am very surprised that such an amazing projector can be had in this price range. I do not see a time in my future that I will want/need to upgrade into the $600+ laser style projectors because this one is so capable.
5,Using the Nexigo PJ20 has been easy and fun for a quick entertaining movie night. The PJ20 has multiple connectivity options so you can decide the best way to project your video. Using a Roku streaming stick it is very helpful to have the HDMI and USB next to each other on the back so having to run multiple plugs for power was not necessary.We started watching shows outside at dusk and the projector was still bright enough to be seen as it got darker outside the clarity of the picture really came to focus. I have a 100inch screen and at that size the picture still looked sharp for a 1080 projector.The fan is quiet and the speakers put out a clear sound. Having a solid speaker built in is nice because I don't have to bring another sound device outside. But it is still nice to have the option to use the headphone out connection if needed.I only had one issue where there is a shadow in the center middle of the screen when the size was larger than 100 inch screen unfortunate but I had not noticed it until breaking down the screen at the end of the movie when I was up close.This projector has been great fun for the family and makes for a fun outdoor activity.
4,The NexiGo PJ20 Outdoor Projector was delivered on time and the packaged was secure with no damage to the projector. Inside the box includes: the projector an audio/video adaptor a power cable a remote control and the user manual.The projector has a matte black finish the touch controls are on top air vents on the side and all ports (HDMI USB headphone jacks power button and keystone adjustment) on the back. The lens and removable lens cover is located on the front and hard rubber feet with height adjuster on the bottom.The projector is easy to turn on/off and setup was just as easy using the QR code which leads to the company’s YouTube video. The home screen is easy to read with the simple user interface. Features include Wi-Fi connectivity screen mirroring Bluetooth connections to headphones and portable speakers and casting through MS Windows iOS and Android devices. Adjustments such as viewing settings language settings software updates lighting and focus and sleep timer can also be made.The HD Projection is crystal clear with the LED light source. Focus can be adjusted through the electronic Focus adjustment on the remote control. The sound is decent through the connected 5W speakers but with the addition of Bluetooth speakers the viewing experience can be enhanced. The built-in fan dissipates heat well and is very quiet.A star is deducted as the remote control does not have a backlight; and since the projector will be used in dark areas use of the remote control will be limited. A carrying case would also be helpful for transport and storage. Overall the NexiGo PJ20 Outdoor Projector has a great value to cost ratio.
4,So overall this is a great budget projector. For the money it produces a pretty good picture. For movies it performs great and surprisingly is even passable for doing PC stuff - web browsing text editing etc. It's also nice and bright!My only complaint would be that they need to release a firmware update which makes the "focus picture" optional. I would like to use whatever my computer has on the screen as the basis for checking focus uniformity but that's impossible since when you adjust the focus the projector automatically casts a blue focusing picture on the screen. That's nice if you want to use their picture to focus but for those of us who would prefer to use whatever is on the screen (web page photo etc) to check focus it just makes it impossible. Projectors of this price range are bound to have focus uniformity issues which means that the user will spend a few minutes each session adjusting the focus especially if you have to move the projector around often.
4,We got this projector recently and have been using it for two weeks now. It was easy to setup almost plug and play. We could quickly use the screencast and play movies for a good family time.Pro's:1. Easy to setup and configure2. Picture quality is great3. Easy to carry anywhere you go4. Quick pairing with mobile phone external speakers etc.Con's:1. The quality of the remote build could have been better. Almost feels it can crack if you press any of the buttons hard.2. The projector cant store and remember the last wifi and bluetooth settings. You will need to pair every time to your wifi3. I wish there was a mobile app to configure all the settings easily. The remote makes it hard to navigate thru the various settings and especially when you have to type a long wifi password.4. The sound quality and volume could have been a little better. We still use a small portable bluetooth speaker.Overall we are happy with the product for the price and we hope to use it with family and friends.
4,It's a $200-ish projector.As long as your expectations are in keeping with that price you probably won't be disappointed.I was able to get a pretty good picture with my pull-up projector screen and gaming even FPS is responsive enough to not ruin the game. Speaker is not loud enough to be sufficient particularly with the fan noise so plan on some sort of external speaker or headphones.Biggest downside of this projector for me is that it uses a hinged fresnel lens to handle keystone adjustment and the more adjustment you use the more difficult it becomes to keep the entire screen in focus (at more extreme keystone adjustments the top or bottom of the screen tends to go out of focus). In the end I settled for leaving some slight keystoning in the image in favor of better focus.Again given the price I don't really expect better but if you want a perfect picture you're going to need to look at something in a higher price range.Pros: - Nice picture (again for the price) - Bright enough for my needs (dark room / basement) - CheapCons: - Difficult to focus and nearly impossible to get all areas of the screen focused particularly if you're using the keystone adjustment - LOUD! - Gets washed out quickly by just about any ambient light - Remote is very basic and on-screen menus are usable but not great
