rating,review
5,This item is awesome.Fabric is soft and sturdy .It has so many pockets in different sizes for more than a normal laptop.it is very stylish too.
5,The look is sharp and clean it’s lightweight yet holds a generous amount of items. I easily carried my home laptop and my work laptop at the same time plus two notebooks several books my notary stamp and seal a wallet a makeup bag both computer chargers a phone charger and multiple pens and highlighters. It still zipped up easily and kept its sleek look. Love this bag!
4,It's hard to find a bag that's not leather. This is a good option. Cute with lots of compartments and a comfortable strap. I only wish it had a water bottle pocket.
5,A lot roomier than I thought it would be.  Looks really nice.  I don't think it will withstand rough handling as it is cloth but it is a really nice bag.  Would recommend.
4,I can only rate the bag for the short time I have used it. Durability and sturdiness will ne know over time.  It fits the 17 inch co outer. I Roy good storage spots for cords and other accessories.  Hold iPad with laptop nicely.  Attaches to rolling bag well.  But if carrying on shoulder adding more than laptop and iPad would be more tweight than  I would want to carry.
5,this is everything it says it is and is great quality and has so much room for everything.  Love this bag.
5,On my last trip I lost my ear buds because the velcro didn't hold the front pocket closed well enough. That's why I purchased this one. All the pockets have large secure zipper. I'm very happy with it.
5,Very pretty bag at a very good price!  I love the two small zipper pockets on the outside for quick easy grab of my keys blue tooth lip balm etc.  There is another large zippered pocket on the outside.  Inside are 6 divider pockets of various sizes and a thin pad for computer protection. I LOVE lots of pockets in my purses or bags so this is PERFECT for me!!
5,Lots of room and compartments
5,My employer recently gave me a new-to-me laptop to use when I travel or work from home.  This thing harkens back to my Big 6 accounting days when we use to have to haul an actual PC complete with CPU unit to the client.This bag holds the monstrosity of a laptop along with other necessities.  The strap is comfortable even when it’s holding the weight similar to that of a large child.  The color is lovely and the quilting is a nice feminine touch.  I highly recommend the bag.  I still plan on using it even after I ditch the old laptop.
4,This is a great bag for the money! Has lots of storage spaces
5,Love the looks and it has so many compartments. Definitely not waterproof and if you have your laptop in it  and it falls from a good distance  good luck. But I use it for to and from work.
5,There is lots of room for extra items like the charger book magazines.
5,It offers a large enough pocket for my laptop. Many pockets and compartments to keep everything organized. Over the shoulder strap which I have yet to use due to the heavy load I carry. It is made of cloth so it is not weather proof. So far its been durable. Its only a temporary use anyway. I've already outgrown it and will be getting a rolling bag. I do love it. Will find another use for at. Possibly take it to listing appointments which only certain forms are needed.
5,Daughters laptop
4,This bag is definitely worth the inexpensive purchase but don’t expect durability. It is a quilted cloth bag so it does not retain shape very well but it gets the job done.
5,Bueno
5,I love that so much fits in this bag organized and easy to get to! The large zip pockets  and the separate section in the front is a triple win.  Inside my personal 17 inch and work smaller laptop sit in their own compartments plus the iPad! All the cords headset and adapters fit easily. I use front for purse items. The big win is because it’s super light weight it’s not heavy when packed with devices and needed items. Love this bag!!!
5,Quality is good; however the straps should feel a little more secure and supportive for heavy laptops. Nice pockets for other things and fits up to a  17.5 laptop.
5,I carry A LOT of stuff to work and the cafe and I was a little apprehensive about purchasing this item though surprisingly this has been a major convenience for me. It holds my laptop books chargers makeup and stuff and though the material looks and feels cheap it honestly does the job.
5,It holds everything
5,So glad I purchased this bag really like the color as well.  It is very comfortable to carry in my hand or on the shoulder.  Love the strap that allows for it to be attached to the handle of my roller bag...awesome!The amount of room is really impressive!  I also have received a lot of compliments on the bag.
5,A 17 inch laptopFits well.  It has lots ofRoom for storage.  It’s a very durable bag and attractive.
5,really cute and elegant love it
5,I got this bag for a business trip and I’m glad I did it was perfect for my laptop a few cables and personal items that I would usually carry in my purs. It fits under the airplane seat with no problem.
5,This is exactly what I needed for my laptop. Great purchase. Sturdy and strong. Great price.
4,I like this bag it is very stylish with losts of pockets the only issue I have with it is that it doesn't have enough padding but other than that it is a nice bag.
5,Holds all my this I need.
