rating,review
5,Nice affordable headphones. I bought these headphones because my twins needed it for class. So I figured for the price why not buy bulk and gift some away to my granddaughters and their classmates. These have not given up as they are still being used. I do plan on buying more to gift for Christmas and for extras to carry in the car! If you know what I mean!! My kids are picky but they have yet to complain about  comfort. And they loved the colors!!
5,I teach remedial reading and my middle school students needed headphones with a microphone and to also not be disturbed by others while they were reading aloud.  The students loved getting to pick their color.  I put each student's name on the wide headband.  I had to purchase them with my own funds so I appreciated that they were also affordable.
5,We are really pleased with how well these headphones work for all of our students grades K-12.  They are quite good quality fun colors and a fair price.  The seller is quick to ship and packages everything very carefully.  It has been a pleasure to do business with them! We will be using this seller again and highly recommend their product.
5,The product is loved by teachers as it makes a huge difference in the classroom when children struggle with auditory issues . They help to calm and relax the children so they are not so easily distracted . A much needed product !!! Works works works !!
5,I gave these as a gift to my daughter’s friend who is a teacher. It was on her wish list. I just contacted her and she said they were great quality! No complaints and no issues from her students are using them. They’re holding up really well!
5,I originally ordered these expecting them to be bulk throw away items but was very happy to see I was wrong. The units are good quality headphones that work well and stand up to repeated use.
5,I bought these headphones for my 2nd grade classroom and they have been amazing. They fit the students heads well and have been working just fine with our Chromebooks. I like that  the cord is thicker so it is harder to split and so far they been able to withstand the everyday use in our classroom. Would definitely recommend.
5,Got these originally for state testing back in April.  My students like the style colors and most of all the comfort of how they fit.  They are way ahead of the cheap uncomfortable ones provided by the school.  Would definitely recommend for any teacher looking for something above average for their students.  These headphones will NOT disappoint!
5,My kids were going through headphones like crazy so we decided to het this 10 pack. They are holding up better than other headphones in this price range and we are very happy with the purchase!
4,So far so good... I have had them about 4 weeks. My students seem to like them as there have been no complaints!
5,I received a grant to purchase something for my classroom and I chose these. I was NOT disappointed! I am an English teacher and many of my students require audiobooks or noise cancellation. They are also durable unlike others I have bought before. These were perfect. I am so happy with this purchase and will buy again.
5,These headphones work well. I bought 2 boxes and then split them by colors into seperate classrooms. That way we knew which room they belonged to. They work well for our chromebook use.
5,These worked great for classroom use.
4,These headphones are a great inexpensive pair of headphones that have a jack for your computer and other electronics that need a jack. I use these for making phone calls on my computer and the sound is great and I can hear the person on the other end very clearly. Music is clear and crisp. These are great headphones for the price.
5,The quality for the price is amazing. We use headphones every day. The different colored ears allow us to know whose is whose. These are comfortable great sound love the microphone for when using with phone and a call comes in mic quality is great. We are constantly on the move from place to place having the ears turn to lie flat allows us to store them in our backpacks. Very happy with our purchase choice.
5,Great for the price
4,My students have actually mentioned how nice and comfortable they were…very good product 😃👏🏻👏🏻👏🏻✅👏🏻👏🏻👏🏻😃
5,Used for classroom and the quality is great! Very happy with this purchase.
5,So far these headsets have worked well for students and they like the fold-in swivel ear muffs for easy storage. The bright colors is a nice change from the normal gray or black.
5,We purchased these for our grandkids before traveling on a long trip and we passed them out so everyone could be independent and watch or play on their tablets without complaints. This was the best idea ever! We would purchase them again. Well worth the money.A. Leach
5,As a homeschooling mom with multiple kids on laptops these work great. My son used to go thru headphone like crazy the life span of one pair has been amazing!! I would definitely purchase again
5,Bought this set for my classroom.  They’re perfect for my students to work on video projects!
5,We purchased 40 of these for a donation to a backpack program. They are gorgeous ! The company is very responsive with communication . We were so thankful for such a great price for quality headphones !
5,These headphones are colorful and durable for use by children in a classroom. It helps keep your students arranged by groups or centers easily. It is great for watching videos or listening to audiobooks or for testing when the text can be read. The clear bags they came in did not hold up because they barely fit but I switched them out for gallon-sized ziploc bags instead to keep them organized. Many thanks to Donorschoose and the Oklahoma State Department of Education for providing these for my students!!!
4,Updating this review to add two stars. The company reached out and asked how many headphones were damaged. They quickly dispatched headphones to replace all that have been faulty so far. Feeling more confident that my investment is protected as the company stands by their product.Headphones are not holding up two months later. Ordered thirty pairs for my class of first graders and many pairs have a developed a faulty connection at the plug in causing the sound to go in and out when the plug is bumped. Not reliable really regretting the investment I made. Hoped these would last a couple of years but afraid I’ll have to invest in another set from a different brand for next year.
5,I purchased 30 of these headphones for my classroom. I'm a music teacher and we had tablets and laptops that the students can use in class. My students all love these headphones. The sound quality is great! The ability to cancel out noise around you is great! And the comfort is great! They seem pretty durable because I've used them for a half a school year with about 380 kids and they are holding up great. I purchased the ones with a microphone but have not used them for any projects this year. I will write another review when we have tested the headphones. I will add pictures soon too. I will be buying these again for next school year. Love love love this product.
5,Bought a 10 pack - I haven't tried all of them but the ones I have used are holding up well
5,Purchased for classroom use.  Arrived on time and exactly as described.
4,We are an elementary school and we have purchased these headphones many time.  So far they have worked good for us.  The thing that we like best is that there isn't any buttons or dials for kids to play with.
5,I purchased these headphones for computer use with my 7th-grade students.  These headphones proved to be a very good product at a great price.  They held up to the wear and tear of 13-year-olds so they are a win in my book!
5,20 Black Headsets were purchased for a classroom of adults. There were no issues reported. These headsets will seldom get used so only time will tell but so far so good!
5,These Sonitum headphones are phenomenal and they have lasted in my 3rd Grade classroom all year.  I purchased two sets of 10 headphones and all 20 of them are working at the end of the year.  Highly recommended for any classroom teacher!  These are the most durable and easily adjustable headphones I've come across in 27 years of teaching.
5,These headphones are a wonderful addition to my middle school classroom. Many of my students did not have earbuds or headphones. Students can borrow them as needed and they are easy to sanitize for each of my 6 classes. Highly recommended!
