rating,review
5,This product is great and please please please: read the instructions. they are simple and clear. all the things you need to install the screen cover and the lens cover are included and they work really well. The screen is about 1mm smaller around on the 13mini but I don't use those edges anyway. I am impressed with the touch sensitivity of this product (better than the last one I had on my SE)The lens cover will interfere with using this phone in a rigid case - if you are going to install the lens cover after you put the phone in the case (the lens cover extends past the lens just enough). I am using a silicone case so this isn't going to be a problem.
5,This was very easy to add to my phone. I love the fact that it came with a camera lens protector also. The price was a good deal.
5,It’s worth the money.
4,Lasted 3-4 months before my first crack. You get whT you pay for
5,Fits IPhone 13 mini perfectly.  Good product.
5,They really worked. Glad it came with two.
5,The product was on my phone when I dropped it. The protector cracked but my phone was intact. Will definitely buy again and recommend to users.
5,I dropped my phone twice same day! I know one of those days. This screen protector kept my iPhone 13 mini intact. The camera protector are the best! I recommend 100%!
5,I drop my phone constantly not to mention my kids’ playing with it and the damage that ensues with that activity...this screen protector saved my phone. It cracked after several drops but I pulled it off and my actual screen was good as new!
5,I like these easy to install fits perfectly and durable. Great product especially for the price.
5,having only had screen protector for about 2 weeks. can't speak to durability
5,This screen protector comes with the camera lens cover as well. That one is really useful and easy to install.The screen guard is good durable and easy to install as well. Took be less than 5 mins to stick the protector..!
5,Had this for a few months. Survived multiple drops including one face down onto the edge of a brick. That impact cracked the screen protector but did not affect the actual phone screen. Camera protector also works well. To remove the “damaged” protector you need a razor blade and patience but came off pretty easy with the right tool. Just popped the second protector on so glad it came with two.
5,Easy to install durability and value for money!
5,Love these things. Have always worked perfectly for my phone screens and smash them at one point or another but my actual screens always stay intact.
4,So far so good. A little tricky to put on.
5,I have use this same brand for all my iPhones and works great the protector has saved my screen and cámara great value when I ran from protectors I just order again and get it right away
5,Easy install and nice cover for back camera too
5,Applies well with no bubbles. Looks very nice and protects my phone. I’m very clumsy and I drop my phone a lit. I have cracked the protector piece many times but my phone always stays together. Before I used these I cracked my screen when I dropped my phone. So I believe this product really does help protect the screen.
5,For the money it’s fine!
5,The glass was easy to install and had the correct size. I had to remove the back glass though since it was a bit thick for the case I was putting my phone in. Overall a good product.
5,This was very easy to install. Now our phone screens and cameras are protected.
5,Easy to install and work great
4,Does the job in protecting the screen.
5,I phone screen and lens protector
5,If you've never put on your own screen protector before this product may leave you frustrated because the instructions are minimal. The camera cover in particular can go on 2 different ways but only one is right -- they don't give you a heads-up on that at all.However if this isn't your first time this kit is perfect. You get EXACTLY what you need to install the two sets of protectors nothing more nothing less. For each of the protectors the glass has just one peel-off sheet on the sticky side - other side doesn't have one because it doesn't need it. Two "handling" stickers one "dust collector" sticker and one set of wet/dry wipes. No extra wipes or stickers or other junk that you don't need.Putting one of these things on makes a lot of trash but this kit minimizes that waste about as much as I can imagine is possible and I really appreciate that.As for fit -- yes there is about a 1mm margin all the way around. I'm using a burly case (RokForm) and it matches up *perfectly* with this screen protector. If you use a more minimal case -- or no case -- you'll probably be happier with a different product that covers up to the edges of the screen.
5,Es muy facil de instalar
5,Follow the easy instructions and install this screen protector in minutes. Forget soft plastic protectors you have to clean constantly this one is glass. It feels exactly like your phone's screen while protecting it from scratches and dirt.
5,Used for my Grand daughters iphone
5,Perfect size for my mini and great privacy
3,2 months in I've already used both protectors. These seem more fragile then they should be. They're a pain to install but the instructions are good. I'll look for a better alternative eventually.
4,When I dropped it once it shattered the screen
5,I like it
5,Does what it’s intended to do easy to install no complaints
5,My iPhone  mini 13
5,This product goes on really easy and fully covers my screen and my camera lenses. I recommend it and have bought more to have on hand.
5,I love these - SUPER easy to put on lasts long time  works REALLY well. These have saved my phone quite a few times from drops scratches and even the claws of my giant 180 lbs dog. Highly recommend
5,Over the years I have realized that the number feature to look for in a screen protector is to look for one that is easy to install.  This one checks that box for sure.
3,I have more confidence in other products but it’s a good price
3,Product install was easy- typical glass shield- took a few times to get square and even (there’s no plastic guide you put over phone like others) but got it. Once done noticed there was dust and lent on bottom. Installed second because I don’t want dirt or dust under glass. Second had it too. Installed in clean area - no fans- Little disappointed but it fits flush with silicone case. Same for lens cover.
5,fit pretty well....still have control on touch screen...seems to be steady on the screen
5,This screen protector was very easy to install and it didn't have any bubbles! Yay!
3,This product is decent but it collects lots of dust
4,Flimsy  and I got a spec of dust under it
3,The camera covers crack too easily to be any kind of useful
5,Works great. I only wish it had a way to like stabilize the phone while putting the protector on
4,Applied easily and looked perfect but when I reinstalled my Otterbox Defender Case bubbles showed up on the bottom of screen. Tried to smooth these out and they came right back. Apparently the case contacts the edge of the protector causing the bubbles.
3,The camera protector is not for the mini 13 iPhone
3,Great product however....... why in the heck is there no Screen assist guide ( plastic piece to help align screen correctly ) included? thats the only down side to this.
5,Front Screen protector protected camera lens alsoExcellent
4,good
3,The lens covers change the quality of the photos
5,this screen protector kit has everything you need. In the past I always had the people in the store install the screen protectors because it is not something I am good at but this kit made it easy.
5,Protect phone screen and camera lense
4,Not sure why there is 2 in a pack. They are durable and easy to install.
3,So I bought this because it had good reviews. Also had camera protection glass. However I was disappointed that this does not cover the entire screen of your iphone mini. It has several areas where your glass screen is exposed. In event you hit the wrong side if phone falls then you basically on a huge loss. I am disappointed here as they should make screen protectors cover the entire screen.
3,Unfortunately it only came with one lens protector. Over all it’s a good quality
4,decent screen protector easy to install not fool-proof. Its nice that they have 1 set of wet/dry wipes per glass in the box.Where the product loses 2 stars:The camera glass still introduces lots of glare when trying to take pictures. This is true for both sides of cameras but it is more obvious with the rear cameras. The rear glass also introduces a weird haziness to all pictures from rear cameras.
5,This screen protector was very easy to install. Everything need was included in the kit. Installed first try with no bubbles or lint. Seems very durable & perfect fit with my iPhone case.
5,Great inexpensive screen protectors! Phone has been dropped. Protector cracked but screen did not! Well worth it!
5,Perfect fit and so easy to install.  I've had it on my phone for 3 months and there are no scratches on it and no signs of coming loose or peeling up.  Lots of these screen protectors perform in a similar way but there's something special about the quality being more "robust" or something with this.  It seems thicker smoother and just...better.  No problem with it picking up the most sensitive touches.
5,These are great. They really figured out the glue. Be super careful with dust and peel off the sticker banking with it facing downward to maker sure you don't get any flakes in the screen.
5,We each recently upgraded to an iPhone 13 mini. I was impressed not only by the screen protector but the camera guard as well. I like the phone but the lenses are hanging out in the breeze. In the month we've had our new phones this screen protector has "saved our bacon" three times. On the last drop the screen protector died but the phone survived so we ordered another set. Definitely cheap insurance that I highly recommend.
4,Would be great if there was some sort of alignment tool to apply the glass. Had to re-do it so now I don’t have an extra piece. Affordable so not a big deal
4,Easy to install fits well. Will find out how durable it is when I drop my phone hopefully later than sooner!
5,Followed the easy installation guide. The screen protector had no bubbles which surprised me as with other products I was continually smoothing out the bubbles . I would highly recommend this product.
