rating,review
4,Sometimes these things are tricky to install but so far this one works.  For the price i will buy it again.
5,I've always used these for my phones and they're amazing! Holds up fantastic!!! I've never had a cracked phone screen under this temperd glass! Phone flew out of my jeep even and still no Crack lol
5,Easy to put on and provides good screen protection without impairing phone usage.
4,Durable. Long lasting. Properties just as described.
4,Not worth the hassle. Get tempered glass
5,Had this screen protector on for a while now it just saved my phone. Dropped it face down and thankfully only the protector shattered screen isn’t damaged. Only thing is I wish it also covered the front camera since i sustained minor cosmetic scratches (prior to the fall). Other than that awesome cheap investment.
5,I just now replaced my screen protector after installing the first one 9 months ago!! Something I touch and use every single day…and you get 3. Definitely worth the price and by far the best screen protector on the market!! Had to come back and leave a review I’m so impressed.
5,The screen protector for the iPhone mini 13 was super easy to install. I installed the protector on a brand new phone that wasn't setup and had not been touched at all. I removed the factory display protector wiped it with a microfiber dust cloth just to make sure nothing was on the device. I then placed the installation guide on top of the phone. Removed the adhesive side of the protector film and placed it on the phone lining it up easily. It went on very smoothly without any issues. I smoothed out the few bubbles on the device with the cloth and a bubble tool which I already had and it was ready to use.Simple cheap pain free installation and it appears to be a high quality tempered glass screen protector thus far.
4,The frame provided goes around the phone and makes these very easy to place precisely
5,I’ve had this for a couple weeks now and it feels great and has held up well. It was also very easy to install. The only thing is it can be a bit difficult to read the screen when wearing polarized sunglasses as it has quite a bit of glare in this situation. That is a nitpick though and other than that they are great!
3,Product was easy to get on by following the instructions. 2 of them would not adhere in the top right of the screen for some reason.
5,I've only had the current protector on for a few weeks but I've already taken it to the beach on hikes and all kinds of places that probably would have scratched the softer screen material. It's holding up very well. AND it's super easy to install. Mine is slightly crooked which was my own fault but because of the plastic guide it covers the actual screen itself despite my error.I'd highly recommend.
5,I suck at installing screen protectors so I always end up with dust particles in there but it saves my phone screen every time and that’s what matters!
5,I was really surprised how easy it was putting the screen on. Took less than 5 minutes and with no bubbles. Pack came with 3 screens 3 wipes and plastic  cover guide. Glad I brought these.
5,I've always opted to not use screen protectors or cases because I like the way my phone feels without them. I decided to give this one a try and I barely notice it on the screen. It was easy to install I just wish I hadn't allowed myself to be pulled away in the middle of installation. I had cleaned the screen got pulled away and then I installed the screen protector a minute later and there was already dust underneath. Installing the screen protector immediately after cleaning the screen prevents that from happening but oh well. Fortunately there are three protectors so I am still able to have a dust free screen.
5,The screen protector is pretty great. I’m constantly dropping my phone but this plus my otter box over it total protection. Every 4-6 months I’ll notice a crack normally a large one and at that point I just switch out the protector. The application is super easy and takes about 10 minutes to do it properly. No bubbles and good adhesive. Yes I have to change it out every now and then but better the protector than the screen itself! 10/10 will repurchase when I use my 3rd.
5,Easy to put use. Love it
5,Feels sturdy and similar to all other tempered glass screen protectors I’ve used. Cut out is perfectly aligned but does leave quite an unprotected gap over the front facing camera. However I don’t see it being a big issue and love this product.What sets this product apart is the price and the application. It’s a fantastic design and value. It has 3 sets of screen protectors. It comes with a little plastic applicator. You put it on top of your phone and it acts like a bumper so that you can install the screen protector in exactly the right place in just one try. Each protector also comes with cleaning supplies to prevent dust during application. Will only be buying this brand from now on for this feature.
5,Love it
5,Had phone on bike mount & while riding it fell off & hit ground face down. Protector was completely cracked but once I peeled it off glass was still perfect. See photo. The case I have is a wallet case.
4,The media could not be loaded.                                                                                 See videothe protector is on my phone and installation was easy thanks to the alignment tray AmFilm includes. they also include so much packaging and so many screen wipes it’s nigh impossible to tell where the screen protector itself is inside their packaging. In a market so concerned with user experience this seems odd.Will update if the protector is anything other than standard. It has rounded edges extends to but not underneath my Apple leather case whe has no bubbles so far.There is some misalignment around the camera/sensor cutout but screen is protector led and cameras are uncovered.
5,Good thank you
4,The case is attractive and easy to install. It did not include a cover to protect the glass front of the phone so I purchased that separately. I was able to attach a pocket to the back so I can store my drivers license and charge cards.
4,Product came in a timely manner and was exactly what was advertised. Very durable!
5,I have used several different sizes of amFilm screen protectors on family phones over many years. They always provide good functional protection and last (for me) for years. Installation of these things is always tricky but the directions provided and method used for installation make it about as easy as it can be. Recommended.
5,Installation was easy and the fit was perfect. The quality is right up there. No complaints! Great value!
5,Very good
