rating,review
4,I've bought a more expensive wrap band in Hawaii and although beautiful workmanship the watch always lifts up and away from my wrist so that it locks.  Makes the watch fairly useless.  When I saw that this watch has the straps mounted to prevent this I was very excited to try it.  So far it has lasted wearing many times.  I do switch it to a sports strap most often since I want to wash up without damaging the band.  At first I couldn't unclasp the links to downsize but when I found I had to remove the whole thing it happened to be an easy lift.  At this length however it is just a tad small and I have to be careful not to pinch my skin.  It isn't easy for me to reclasp since its so tight but it works great once on.  I'll be looking to buy more though.  Good price for a nice look.
4,The band is Gorgeous!!!!BUT….. it does run big which I was expecting honestly because ALL Apple Watch bands that I have purchased in the past that do not have a “Pull to Tighten” closure like a watch or magnetic band are big on meeven after removing all the extra links…Unfortunately it comes with the territory. Which is having a child sized bone structure🤷‍♀️.So if like me everything is big on you expect this to be as well.It’s not near loose enough to fall off so I’m still going to use it on occasion but it’s loose enough that it won’t register HR or o2.I haven’t worn it long enough to assess durability.**I am wearing a 40mm sized watch **
5,I removed all of the links and it fits perfectly. I think my wrist is small usually any watches with links can never go small enough to fit how I want them to. I like it to be snug and not move around at all. I am in love with how this looks and how well it fits. It doesn’t feel cheap but I just got it today so I’m not sure if the durability yet. It’s a little bit difficult to clasp on and off but just the same as any watch with a clasp.
4,No dig but had to return it due to the clasp. I did not want to play around with getting another one so just returned it. The clasp kept opening and it fell off my wrist several times. It may have been a one off and the company was easy to return to with no difficulty. The band was very pretty and again the clasp may have just been an issue on mine.
4,These straps are nice. They have adjustable links if you have a nonexistent wrist like myself.  The little “diamonds” look cheap but far away you slay girl!  I think these are cute and get you away from the silicone bands that everyone judges you for wearing in pics with nice clothes.
4,Overall I really like the band! I get a ton of compliments on it and it’s comfortable! The only thing negative to say is the clasp looks like it’s a bit tarnished. (As seen in the photo) I never wear it in the water and don’t sleep with it on so this is just normal wear on the clasp. It still holds tight just isn’t very pretty anymore. I’ve had it about 2 months.
4,It’s quite cute however if you have smaller wrists removing all of the extra bits makes it fit snuggly. This not easy to remove.  I still like it and would recommend.  Just be aware.
4,This watch band is a cute Boho style. I like wearing multiple bracelets and this fits that style nicely. I chose the band in rose gold to match the Apple Watch face.Pros: The links are removable so it’s easy to adjust for fitThe multi colored straps are fashionable and have just enough bling.It’s durable I’ve had small children pulling  at my watch and it hasn’t come loose.Cons: It’s price point is obvious. It’s fast fashion because it’s inexpensive.
4,I love how cute this watch band is but I’m not able to use it. With an additional link it’s too big but without any it’s too small. They watch moves around and loses contact with my skin. Got tired of having to constantly unlock my watch.
5,Loved this! Made well. Looks like the pics. Easy to adjust the size. I have a 44 mm apple watch and the smallest adjustment was too tight. The next size up was too big to keep contact. Sad to have to return it. 😤
5,I wanted a bracelet look with my watch. Love this…it was easy to attach to my watch and it is very well made. Will be getting another one in a different color. I also like that you just need to remove a link to shorten it.
5,It comes with multiple links so you can adjust the size. I’m kind of in between sizes but it’s still comfortable. I really love it. It’s dressy but not too gaudy. It goes well with my business casual or my professional attire
5,Update the one I had was defective. The littlest touch would make the clasp open. They sent me a new one and it works perfectly. I get comments on the band all the time. I love it!While this is the prettiest band ever the clasp that holds it on your wrist won’t stay shut and falls open at the slightest bump. I have it a couple tries because it’s so pretty but it’s not worth the gamble of losing my watch because of the cheap clasp.
4,I have received a bunch of compliments on this piece.  It is prettier in person.  Unfortunately I had to remove all of the links and it is still too big for my small wrist.
4,One of the best purchases; however it’s not made for every day use. If you wash your hands multiple times a day the band will only last you a few months if you wear it on occasion it’s perfect for you.
