rating,review
4,I purchased this item for my 2013 Toyota Prius.  I was able to attach the hook to the vertical vents behind the first horizontal vent.  However the horizontal vent was too thick to fit into the opening on the phone mount.  It could not be secured well enough to use for my phone.  I was disappointed because it seems like a very nice phone mount.  Fortunately it fits my friend's 2018 Honda CR-V and works well.
4,At first I tried to put the phone holder on the top of my vent which my vents rotate up and down so it started to fall but the lower I placed it on the vent the more secured it was. The holder also has the ability to change angles slightly to make it easier to view. The clip that also locks onto the vent works very well as I’ve had a vent clip before that just had two prongs and held onto the vent that fell off constantly where this one actually hooks and hugs the vent keeping it on. The holder is also good that the side arms extend pretty wide so both my phone which is an iPhone 13 pro in a slim case and my mom’s iPhone 8 Plus in a 2 layered chunky otter box both fit in the phone holder. The button release also works well but in order to have it extend fully you might need to repress the button or hold it down. Also a heads up if your vent has directional tabs make sure you angle the vent how you normally like it then put the holder between so you can still feel the air from the vent. Overall pretty good product especially if you can get it on sale and with the coupon. This holder is also a good option if you don’t want to stick anything on your dash. Hope this helps :)
5,I recently purchased a new vehicle and needed a new phone mount. My previous device had was a cup holder mount but doesn't work in my Honda odyssey. This one was easy to install and very sturdy. I like that it grips the vent clip and rotates. I have a pretty bulky phone and was happy that I didn't have to remove my case or popsocket. The mechanism to open and close were very smooth.
5,This little phone holder is flexible enough to hold 2 different size phones and it swivels without the phone popping out. It's easy to install and it does not require you to stick something on the back of your phone. Go for it.
5,This cellphone holder clips on easily to my ac vent. It's stable and easy to adjust to exactly where I need it to be. I can easily view this from driver's seat and easily adjust this for passenger to view my phone. Just make sure it's compatible with size of your cars ac vent
4,Really really liked this product.. have not gotten a chance to use them as I await delivery of my car.. just somehow I feel product may not last long… and I really hope that I am wrong because u really liked this product..
5,Great product especially for the price. The dashboard stick on my last holder melted in the heat so using the vent is a better idea. My daughter installed it for me without having to refer to the directions. The arms that hold the phone snap apart with just a push of a button. So far so good!
4,This phone holder is a bit hard to figure out to set up.
4,Me encantó este artículo. Muy resistente.
5,I got this for my boyfriend and now he uses it more often because his last phone mount was in the cupholder now he has an easier time with it.
5,Like this product  the price is good and it’s purpose works for what I need to hold my phone on in my car .
5,I’ve always had trouble with car phone mounts. They always lose grip or break. I decided to give this one a go and so far absolutely no problems. Seems sturdy. I’m hopeful it will outlive my previous ones.
4,Need more stability
5,It’s way better than the one she had before so that’s a plus and I ordered one for her friend as well the following week.. so far so good I guess
5,I’m impressed with the quality of this phone holder. It is holding and working well and easy to adjust.
5,Very good quality. Definitely recommend.
5,Awesome! Replaced my old one and this one is much better. It pivots. It's adjustable and it's durable. Great buy.
5,Really good for the price. It seems very stable.
5,Easy to install
5,-
4,Wish this actually held my phone up after the first week but instead it has to be readjusted nearly every couple miles
4,The photos show various vents this does not fit but there are others. The spacing between VERTICAL vent panes (Slats? The devices directing air side-to-side.) is also important. In the CENTER dash vents of a 2017 Chrysler 300C for example the spacing is not compatible with this holder. Bummer... That is where I want this! (I tried suction devices; they do not hold for long.) Works fin on a 2016 Subaru Outback.The good news is this is fine with the side vents - except I want it in the center!I do like that the clips have a mechanism other than pressure to lock into the vent. The instructions make it look a bit easier than it is (especially for a side vent with limited access to turn the mechanism). But once installed it works like a charm. As I am right-handed operation and removal of the phone is a bit awkward but I am learning! (Registering a left thumb fingerprint helped.)I thought about returning this but decided to keep it while continuing my search for something that will work WHERE I want it. Eventually this may end up in the Subaru or a grandkid's car! It really is well made and quite sturdy. And it does NOT pull out!
