rating,review
5,You can run every single game in 1080p with ultra settings at 60+ fps. The only game i've had some issues with is warzone but it's very likely to be a processor problem because it hits 100% processor usage. If you are thinking on this graphics card to play warzone check some processor configuration on youtube to be sure it's gonna work just fine because with my i7 7700 it runs +60 fps but has a lot of stuttering issues.
5,I honestly think its a lil more powerful than i need! But i was shopping for a new graphics card bc i thought mine was wearing down(it turned out to be an hdmi issue instead. Embarrassing.) Figured if i was gonna need a new one i mind as well upgrade it.
4,Resulta que el precio es uno de los más accesibles en cuanto a rendimiento en juegos se refiere. El chip gráfico es excelente para 1080 e incluso para 1440. La presentación que hace MSI en cambio deja una impresión algo ambigua. Si bien la gráfica luce muy bien cuando está montada en el gabinete la sensación de los materiales hace entender el por qué del precio. Esto no es culpa de AMD sino de las ensambladoras (MSI PowerColor Gigabyte). Por el rendimiento es un buen precio pero la parte estética deja mucho que desear. Barato no puede significar feo. Otra cosa puede hacer algo de ruido cuando los ventiladores empiezan a funcionar.
4,I use this for my gaming pc. As a college student money is a bit tight but I spent a bit of my college relief fund on one of these. Overall I definitely don't regret it. My only issue is during install windows did not detect it so we had to go into the bios of the computer inform it was there and that allowed us to upload the drivers necessary.
5,I have had it for a month and it has handled everything I have thrown at it. No problems running Saints Row. Drivers were a little troublesome when I was first setting up but now it is stable and running well.
4,This card will run 1080p Maxed settings well over 100 fps in most games and keep power consumption below 100w. 1440p is somewhat do-able in lower demanding titles but I wouldn't expect more than 100fps in most cases unless you turn down a bunch of settings. The card is somewhat noisy in general once the fans go around 50 percent so adjust the fan curve to your liking in the radeon software. I use the RSR/FSR 2.0 to really get the most out of this card and personally it's working out pretty well.However the Rx 6600 line of cards should have only been $250 MSRP at most; with the 6600XT being $280-300 like the previous 5600XT was. The performance improvements are not worth another $50 from what the 5600XT was offering and that card was already a disaster at launch from how AMD scrambled to get that one released. No such case here luckily for someone like me who is not the most proficient pc enthusiast.
5,Bought it a month ago and works perfectly. Very happy with the purchase :)
5,Great Card for the money.  Yes it's not an XT but for the price I have no complaints. Do yourself a favor and look at this you won't be disappointed.
4,Got a free pocket knife with it
4,EVERY ONCE IN A WHILE I HAVE TO RESET BUT OTHERWISE GREAT HARDWARE ANBD SOFTWARE AND PRGRAMS TO DOWNLOAD FROM MSI TO MAKE TUNING EASY. PLAYING GTA 5 OVER 60FPD 4K AND OTHER GREAT TITLES
4,Cumple con lo indicado pero para su segmento esperaba un poco más del ray tracing.Sin embargo para el precio vale la pena completamente.
5,Pros: It was readily available when I wanted to upgrade my 1050ti. It doubles performance on every game I have (except GTA IV it does worse for some reason). Fans are off most of the time unless I’m playing a newer game maxed out.Cons: It’s kind of loud when under heavy load and the fans kick into high gear.I paired this with a Ryzen 5 5600g and 32gb 3200mhz ram. Overall I just decided to build my first pc at a time when the graphics card market is in shambles so I can’t complain too much about price because idk how prices used to be. But for the $60 above msrp I paid it’s an amazing 1080p60 max settings card. I came from only having consoles for almost 20 years and I play mostly rpgs or racing games so a locked 60fps isn’t a deal breaker. DOOM BL3 Sekiro Far Cry 4 MGSV Forza Horizon 4 and 5 all run max graphics with no stutters or lag.
5,Cheap low power gpu with great value for performance with a healthy amount of Vram. Get further performance by pairing with a ryzen 3000/5000 series cpu and 500 series AM4 motherboard with gen4 pciex16 gpu slot then enabling Smart access memory 😀
5,Ejecuta fluidamente los juegos que tengo instalados (Warzone Prey Far Cry Primal Warframe) a una tasa de FPS superior a la promedio.
5,It's a damn good card for the price when you think about the times we are coming out of.I was tired of gaming on an iGPU and for 320 bucks I just bit the bullet. It serves the 1080p purpose real well and even 1440p 60fps is achievable if you pull those ultra settings down a notch.IMPORTANT: If you're an overclocker don't get this MSI model. It's wattage is limited to the stock 100 watts unlike most other 6600s in the market. I don't mind and if you aren't an overclocking kinda guy you really shouldn't care too much either. It will still let you undervolt and overclock it you just won't be able to make it pull more power which will limit how much you can push it.
5,I was actually really happy with the spike buy caught it on sale make sure you buy a mounting bracket or a stand for it it’s very heavy.
3,One of my all time favorite games Doom has run on every Nvidia graphics Bd for years. I had just bought the latest version on Steam and has worked great. Since I installed the AMD 6600 Bd every time I launch the game it's starts loading and stops. My computer is locked up and must do a cold reset.  This problem has happened three times. I plugged my HDMI cable into the built in graphics port on my motherboard and it played just fine.
4,Handles modern games well (60 fps from Elden Ring on High setting. 1080p as an example) Can go up to 2k resolution without serious performance issues. Really good card with low power consumption.Fan can be noisy
5,Cumple con lo que dice la grafica llego en buenas condiciones excelente servicio
5,Promedio 100fps en la mayoria de los juegos AAA a 1440p con Ray Tracing y 200fps a 1080p (Ryzen 5600 usando Smart Access Memory con un motherboard B550 y 32 gb de RAM DDR4 3600mhz (4x8)). Permite hacer streaming y grabaciones hasta a 4k fps sin ningun tipo de lag o sobrecarga en el renderizado los ventiladores son configurables via software de Radeon Adrenalin (AMD) en mi caso los uso a un máximo de 70% de velocidad y funciona muy silencioso y a una temperatura promedio de 60°c. Recomendaría? si.
3,I need a better cpu tryna buy me one ?
3,It’s very good for the buck. I bought it when it was around 279. It performs well. The noise that it produces is not even noticeable. One thing I can critique about this gpu is that that cooling is not that great
