rating,review
4,I like that they work I dont like the ugly colors.
5,My daughter has to have a darn iPhone and she was going through charger cords weekly so I ordered these just to save some money and one lasted her a month!Thank you!She just got her second one.Very pleased!
4,Typically if a product isn’t great I just won’t purchase again; however I feel this one needs to be known. I guess the durability and sturdiness is fine as none of them broke physically. The problem with this item is ALL 5 of them quit charging within 5 months of the time that I bought them!!! I don’t expect them to last forever but for each of them to stop working between 2-5 months is a bit ridiculous in my opinion. Perhaps I just received “duds” but won’t be taking any chances buying again to find out.
4,Product came earlier than scheduled and the cords came in great condition. Good quality for the price and how many you get but they seem like they can break if used too rough. Overall a great purchase.
5,I liked everything about the item.
3,Honestly I would do 3.5 stars if that was an option mostly b/c I don't have any issues with this particular charger due to me rarely using it. I only use it when I need to charge access my old iphone for some reason or may need it for my ipad.However I gave my best friend 1 and the 1st one barely even lasted 2 months. Honestly idk if using a power strip has any affect on this or not but hopefully that doesn't factor into that. My best friend only has 1 other item plugged into their power strip and they've tried diff. cubes for the USB port. I gave her an extra 1 that I had on hand and that charger Broke too barely even lasting 1 month. I thought the cube where you plug the usb part into on their part could have possibly been dead but nope that's not the case at all one bit. For the 1st charger that broke I did attempt to charge my iphone/ipad with it and worked very minimally but then it completely stopped and would literally NOT charge anything at all. And it has Nothing to do w/the outlet cubes either.Some cords barely even last a month.
5,I like the fact that they are different colors and the length is really nice; I recommend these phone chargers
5,These super long cords allow you to walk around pace do laundry - all while plugged in!  A must for the task master of the house!
5,For another member of family in nursing facility
4,The media could not be loaded.                                                                                 Work well so far. Just got them
5,For my kids
4,The chargers are great if you've perpetually got 4 kids and 2 locatable chargers. Having these on hand as spares / replacements / peace keepers may be the greatest sanity saver I have ever purchased on Amazon. Are the chargers durable? The only complaints I've gotten is that the chargers have gone missing. Nobody has complained about them being broken. I have not further investigated because well...we let sleeping dogs lie. All in all these are great. I'll be ordering more I'm sure.
3,They do the job but stop working fairly quick. You get what you pay for here. The colors are very nice and length is fabulous just wish they lasted longer.
5,Good for the price
3,Love the length of these cords but all of them only charge with the plug a specific way not like normal charger where no matter which way you place it into your phone it will charge
4,They are long enough but some of them only worked for a short time at four out of the five that came worked great and are still working
5,That the charger do not last and want my money back
5,My grandkids go through chargers like crazy.These ones have held up really good for them and their iPads. Worth the money because it’s less than in stores. Cord is long enough to charge while they are playing if needed. And with the bundle of colors I don’t have to guess which cord goes to which iPad or phone. Plus it gives me extra to have around in case one breaks.  Will be ordering again
3,Half of them did not work
5,I have no complaints since I purchased these charges.
