rating,review
5,At first I thought these looked a bit ridiculously long. But I’ve come to really appreciate the length. My original iPhone chargers have short cords. These long cords make it possible to use the phone while it is charging and to be able to charge it pretty much anywhere.
5,perfectly described
5,This charger is very good for ipone you want to charge through an outlet.  Very pleased with the purchase so far.  Do not know durability yet because I haven't had it long but the price is cheaper than the regular store.
5,it works
5,Love the long cords.
5,Compatible with the iPhone original charger no issues and charges the iPhone just as quickly. I normally don’t do reviews but let me tell you it’s worth investing your money with these charges instead of paying for more for one. Quality is 100% the same as the original one. I’ve had mine for a while and no issues.
5,Was something I needed and it got shipped to me quickly.
5,I needed new plug in chargers and cords and these are exactly what I wanted!
5,Great cord
4,I bought these because they claim to be lightening charges but they are regular long time charges.
5,The length of the cord is so versatile that you never care about needing a recharge
5,Nothing
3,These cords have a difficult time staying in my iPhone. Multiple times I’ve woken up to a dead phone since the charger slips out in the night.
5,Like the length
5,The items were exactly as depicted. The cord length gives me the flexibilty to be able to sit at my table and charge my device while being able to use my computer!
5,I liked the fact it was a perfect fit for my I-Phone
5,Love how far it reaches it doesn’t break easily I’ve done a lot that I thought would break it and it didn’t
4,It’s what I need.
5,Best Charger and cord I have used
5,long and strong
2,I thought I was ordering the Fast Charger that is Apple MFi Certified. When searching for Apple iPhone Fast Charger this particular one popped up within a group. Apparently I was not diligently strategic in reviewing the product. Not only is it NOT the charger I was seeking and searching for  (Fast Charger/Rapid Charger and Apple Product) the cord and charger is a precious dated model but worst of all the charger itself gets very hot after being plugged in for a very very short time.I’ll may use the cord with the old charger I wanted to replace but I sure wish I hadn’t purchased the item at all. I ordered cords just a short time ago and still have 3 left!!!
5,The cords are really long. Great value.  Better than Apple.
5,I like it when is fast and easy
5,Minimal packaging (great for the environment); sturdy; great addition to increasing the number of places my phone and iPad can be charged in my home without having to move the charger to different locations.
5,Perfect length
5,Cord is long enough to charge my phone.
5,El tamaño
5,I have a charger in every room now.
5,Good price easy to store good quality
5,Great length and value
5,I liked the length of the cord and it charges really faast
5,Ised by a patient in a rehabilitation center.  The extra long cord was a blessing.
5,I have placed one in several locations. We have multiple items to charge each night.
5,They were as advertised
3,I like the length of this charger however it charges my phone very slowly. I guess if you use this as an overnight charger it isn’t bad but if you’re looking for a fast charger this isn’t it
5,To charge iPhone
5,Very very useful
5,Built with excellent durable materials
5,Like the extra length. It is just the size I need.
3,Doesn’t stay plugged into iPhone
5,Cord length works well. Haven't broke yet. My kids have been using them for awhile.
5,Good product
5,Great value
5,Charges fast & so much easier to use  w/extra cord length
5,I am happy with this charger.  The longer cord is wonderful and the price wa
5,These chargers are as described. They seem to be rugged and durable.
5,Just what I needed so that cord stayed in the socket and out of the way.
3,You have to turn the plug into the iphone back and forth to get it to come on.
5,I like the length of the cord and durability also it charges super fast. Very satisfied.
5,👍
5,This works great.
2,I don’t think it’s a lightning charger- very often get a message that it’s going to take 5 or 6 hours to charge. It’s definitely not like the really fast charger that comes with newer iPhones.
5,Nothing
5,10 ft length helping me a lot
5,it’s charges fast and great length too
5,I use to charge my iPad and my iPhone
2,One broke already only had a few days. Not sure it’s worth returning.
2,Cord length is great but they are unreliable. Overnight charging often fails.
3,The cord length is awesome but it doesn’t charge very fast!!!
5,Longer cord reason for buying
3,Slow charger doesn’t increase just stays the same
5,I love it is quite long
3,Cords are long but charger itself is slooow!
5,Works great
5,No
5,Greatcharger
