rating,review
5,At least I hope so. While ASUS does source some production to China ASUS is a Taiwanese company and the sticker on the router states “Made in Vietnam”. I’m inclined to believe that. The product origin on this page states “China” but I doubt and hope that’s not true. You may not think it matters but it does more than you might know.Most consumers only care about speed and affordability when it comes to routers but it should be security at the top of the list. All your data flows through your router including personal and financial data. Security flaws in your network can also affect neighboring networks around you. If you buy a cheap router based on speed capability alone with huge intentional security flaws built in you’re basically paying hackers to hack you or your neighbors or possibly funding attacks on your entire country. It has happened it’s still happening and will continue to happen being partially funded by the victims themselves.Most routers today are produced in China. Even companies based in the US produce there and it’s very hard to find one that’s not made there. The problem with routers made in China is that businesses there are controlled by the CCP government and their stance on hacking seems to be “do it as much as possible when ever possible”. It’s why some of their tech companies like Huawei have been banned in numerous countries. Aside from that routers made in China from brands like Wavlink which are sold in big retail stores like Walmart and even here on Amazon have been found to contain hidden back doors and intentional security holes and vulnerabilities to malware like Mirai. Basically open doors for hackers. Some of these back doors have been used in the past to launch cyber attacks (Mirai botnet) on the US which caused major network outages as well as in other countries. From a cybersecurity perspective these look a lot like “trial runs” to me on a weapon being installed into our very homes. But speculation and paranoia aside why take the chance on inviting that kind of tech into your home? It wasn’t an isolated one time event when these back doors were discovered and it was with various routers and companies out of China.I have tried some routers made in China those from Shenzhen being the most suspect. I could tell they had horrible security just by using the app or during setup. One was capable of remote access yet the option to turn it on or off was non existent. It didn’t even ask during set up and the option was nowhere in the app. Remote access should always be turned off unless you need to access your router from outside your home which is rarely needed for the average user. If it’s on it’s just an unnecessary access point open for hackers to attempt access. It might have been possible to check by connecting directly to it using a browser but instead I just returned it and went on the hunt for non Chinese routers. It took a lot of research since there aren’t many but finally landed on this one.I am much much happier with this ASUS router and it seems very security focused! There are numerous security options available in the app and also asks you about remote access during set up. It has AI Protection by Trend Micro built in (included free of charge) which constantly monitors your network for viruses and intrusions and even blocks harmful websites. You can also monitor all connections and traffic through the app. There are even additional apps you can download for more functionalities. Just awesome.Whether some components of this router are produced in China there’s no way to be sure. But Taiwan is a free and Democratic country and ally to the US. It’s businesses are not controlled by the Communist Party. I’d rather trust ASUS than the Chinese companies any day especially since there’s so much proof of China’s shady tech and ethics.As for speed wifi 6 is awesome. This thing is lightning fast to my previous ISP provided router and much more stable. If you’re not familiar with wifi 6 it’s not really a speed booster. It provides a more stable connection though even in very signal-congested areas such as apartments or offices where there’s numerous routers and networks overlapping and causing interference. This more stable connection will often times yield higher speeds. Your PC and various hardware must be wifi 6 capable to utilize it but there are cheap and affordable USB adapters available to enable it on your PC if it’s not already capable. Aside from that the 5G signal is stable and fast even without wifi 6. There are options in the app to monitor what’s connected at all times and you can even limit bandwidth to certain devices or ban them from connecting completely if you want to streamline your connections.You can also reset the router from the app instead of the monthly power cycling one should do to clear the cache and restore the fastest speeds capable. By that I mean unplugging the router for one minute to clear the cache then plugging it back in. I am not sure if it’s the same but it seems to work the same as far as restoring the fastest speed possible. If so it’s so much more convenient. You can also update the firmware on the router from the app.There are a lot more features to this router which are easily accessed from the app which appears extremely robust compared to the rinky dink apps I used with the Chinese routers. Those seemed like toys compared to this.Completely happy with this router based on speed stability capabilities and most of all security!
4,See update at the bottom of the reviewThe Asus AC66u b1 and Netgear R6700 V3 are the two best under $100 routers you can buy.  I own both and will review them against one another (go to the bottom of the review for quick recap).  Quick history on bothHardwareNetgear R6700 v1 was basically the R7000 minus one USB port and the inability to connect at 600mbps in the 2.4ghz radio channel (pointless unless you have an AC 1900 client).  Netgear then switched factories and used a Mediatek CPU chip instead of the broadcom found in the v1 version this version was labeled the 6700 v2 (also has a sticker on the package stating "dual core CU" rather than "1GHZ dual core" on the V1 & 3) and is often sold in Amazon Warehouse so be careful about purchasing a used R6700 router.  The Mediatek chip is subpar in performance compared to Broadcom.  Netgear switched factories again and the current new V3 version uses a BCM4708C0 CPU chip along with Broadcom radio chips BCM4360 & 4331.The Asus AC66U (no B1) was originally a draft AC router using the same CPU chip and plastic housing as the Asus RT-N66U just with an additional AC radio.  Asus then upgraded the router by using the exact same hardware as in the Asus AC68U 1900 AC router and placed it in the new AC66U B1 router while still using the old plastic housing.  So yes the AC66U B1 is a 1900ac router not a 1750 router.  I know this as I have a 1900AC wifi card in my PC and it will in fact connect at 600mbps on the 2.4 wifi signal.  If you don't have a 1900 client then the point is moot and remember most clients are 2x1 or 2x2 even modern cell phones and laptops.  The Asus AC66u B1 uses the same BCM4708C0 CPU as the Netgear R6700 v3 with the broadcom BCM4360 radio chip.Both routers also use 128mb and 256mb of memory and offer beam forming (you also need a client to support beam forming for it to work)Optional firmware (if interested)both will run ddwrt & tomato the Asus also gets Merlin's version of Asus Firmware.ReviewPros - Netgear R6700Fantastic range on the 2.4ghz and 5ghz signal & Fantastic throughput on the 5ghz signal.  My router is on the main floor; standing in a far corner bedroom upstairs from the router (about 30ft from the router plus floor/walls) I receive 80-85mbps down on 5ghz while standing next to the router I would get 110mbps down on 5ghz.  Signal strength comes in "good" as per my 2x2 AC client laptop.  Upload speeds were also excellent on the 5ghz signal.Stable router and firmware once i set the SSID I've had no issue with the router with no need to reset it.  Setting up the router was about a 4 out of 5.  The software is OK and firmware took a while to update. Setting up network names and passwords was fairly easy through the web page.Router runs cool thanks to its large plastic housing.Cons- Netgear R6700Mediocre throughput on the 2.4ghz signal.  While the signal is strong I received 65-70mbps down regardless if I stood next to the router or in a far of bedroom.  Upload speeds were also mediocre.The router is large compared to the Asus.Netgear seems to have several phone apps and all seem ok or useless.  I would not recommend the Genia app for setup use your PC web browser.Just one USB port (if you are wondering what the point of a USB port is this is a none issue for you)Pros Asus AC66u B1Very good range and throughput on the 2.4ghz and 5ghz signal.  Where the Netgear router was giving me 80-85 mbps down in far corners of the house on 5ghz the Asus was giving me 70-75 mbps down on the 5ghz and 2.4ghz with my latop stating connection as good to fair.  Standing next to the router i received 100-110mbps down on both radio signals.  The range on the Asus is slightly shorter than the netgear but the router does offer better 2.4ghz throughput than Netgear.The firmware offers far more features than netgear and is easier to "play around with".The Asus app is fantastic and can easily be used to set up the router.Offers 600mbps on the 2.4ghz signal if you have a 1900ac client.Smaller housing than the R6700 v3.Two USB ports on the Aus vs just one on the Netgear.Cons Asus AC66u B1small housing means the Asus will get warm to the touch (not hot) but it needs solid ventilationAfter 18 months of no issues I had to start resetting the router I think to help cool it off as we don't have cable and stream constantly (from 7a to 11p non stop) with up to eight different client connections between phones PCs laptops tablets and smart TVs.RecapGet the Netgear router if you just want to set up your router and forget while having most of your clients on the 5ghz signal.  While the range of the 2.4ghz signal is excellent the throughput is mediocre.Get the Asus if you use the 2.4gh signal more than the 5ghz or have and plan to use a AC1900 client.  Range on the Asus is a small step back from the netgear as is throughput on the 5ghz.  The Asus also offers one more USB port (USB 2.0) as well as a better app user software and the ability to run Merlin.  The Asus is also smaller than the Nighthawk housing but will also run warmer.Update; I posted this review two years ago and it has gained a lot of traction especially with the current covid 19 lock down and I appreciate all the votes.  I still recommend both routers but for the money there are better options out there especially for the Netgear 6700 as it was down to $65 two holiday seasons ago and is now at an all time high price.  The asus ac66u has remained steady in price since two years ago.  Investing your money in dated tech that has not dropped in price (or increased in price) is not a wise investment.So what are the best routers for under $100?Note- Avoid AX routers (AKA Wi-fi 6) for now they are all draft AX routers meaning the AX standard is not finalized.  While AX routers are the future these current routers offer A) features that may not be active yet (OFDMA a key AX feature) and may never be active if new firmware is not released and/or updated by the user.  B) many have issues with older 2.4ghz N clients C) are rather expensive for real world use currently the main benefit of an AX router is for 2x more throughput in 2.4Ghz for AX clients (if you don't know if your mobile device is an AX client than most likely it's not). D) Forthcoming 6Ghz will require new hardware in another year or two's time making the current AX routers nothing more then expensive beta testing.For your money I recommend Wave 2 Qualcomm based routers.  The modern Qualcomm SoC perform as well or better than the broadcom equivalent from a few years ago run cool and are offer stability with most mobile clients.  The negative side I find broadcom plays better with older wi-fi clients so something to take note of and stay with Netgaer/Asus if that is the situation.1 - TP-Link A9 1900 ('Ive recently tested this router and was impressed enough to swap it out with my home netgear router)Pros -Uses a Qualcomm QCN5502 SoC (modified IPQ4018)a few bucks less than the netgear 6700 or Asus AC66Ueasy to use mobile app and desktop UI (see youtube video for set up) that is better than any netgear offeringslightly faster 5ghz performance than the netgear 6700almost as fast 2.4ghz performance as the Asus AC66Usmaller housing than the netgear router (equal to the Asus but runs cooler)you can combine the 2.4 & 5ghz radio signals into one SSID name allowing the clients to choose the best signal (AKA smart connect) or have two separate namescan be controlled by Alexa (you can turn this on or off in the UI)guest network for both 2.4 and 5ghzhas four antenna (one internal and three external)consdoes not support third party firmwareUI is limited in optionscan be controlled by Alexa (you can turn this on or off in the UI)some older clients may stick to the slower 2.4ghz signal in smart connect rather than the faster 5ghzone USB port and it's 2.0 (this will be a non-factor for most people)2 - ASUS RT-ACRH17 AC1700 (the update to the ACRH13)Pros -Qualcomm Atheros IPQ4019 SoCAsus AC66U B1 performance for around $20 lessGreat Asus UI firmware and mobile clientUSB 3.0 portfour antennauses same small housing as the AC66U but runs coolerconsfour antenna can be uglyone USB port (if you need more than one)does not support Asus Airmeshdoes not support merlin firmware
4,<<TROUBLESHOOTING TIPS AFTER REVIEW -- TL;DR: MODEL NEEDS FIRMWARE UPGRADE TO MESH>>I give it a bit lower value-for-money rating because I got this on Prime Day and I thought it was the exact same as my other 3 AX55's but it is not. The fact it ran sub-$70 was less of a bargain given that this model is a slightly lower-specced one.Still with all the other Amazon points I got it for free (at least practically so).Unfortunately having read some of the reviews I was led to believe this model will NOT support AiMesh (nice thing to worry about while out-of-state and can't test for 2 weeks) but it does -- however you MUST UPGRADE IT FIRST! The practical upshot of this is that it WILL cover your deadzone or extend your coverage BUT you need to set it up twice: once to get it set up as a regular router connected to Web and then install the firmware upgrade; the SECOND time to change the op mode to AiMesh Node wait for it to blank itself and then add it from your master gateway.I will leave my TS tip because it was NOT straightforward:1) wire it to a PC or laptop2) do the initial setup upgrade and mode switch3) once it completes resetting KEEP IT PLUGGED INTO YOUR DEVICE but activate a SECOND connection over WiFi to your existing mesh. **This MAY not be necessary but since I had the option I chose not to physically disconnect from the AX1800S just in case. You can try without doing that but this DID work for me. YMMV.**4) give it like 3-5 minutes to add and then I recommend rebooting the whole mesh once you are certain it connected.Either way for a theoretically free mesh router I could stick on a side wall upstairs to cover some... roaming IoT devices... can't complain. Does what is advertised. But ASUS may want to clean up their website for its specs and the AiMesh list. Like just say "AiMesh: YES (needs newest firmware first)". Done.So hopefully this will have been helpful to the disgruntled AX1800/RT-AX55 vs AX1800S customers elsewhere in the reviews.> pics related: you can see it is online AND shows up in my node list
5,Edit: I changed the rating to 5 stars from 3 because the router itself is really nice and quite effective in spite of some woeful errors and misleading information in the manual and quick start guide that made it frustrating to get it setup. See added comments below.Wow. Yes so far after spending some hours trying to connect and configure this router--it works well it seems. No I'm not completely set up but things are working for some devices now. What's my quibble? Very little about the "quick startup" and the manual "quick start" instructions matched the actual router well enough to get off the ground. Astonishingly tech support was totally unaware of what was not working and I had to stumble around while they were escalating to get into the setup menu by alternate means.1. The URL for getting into the router's setup failed in Linux with two browsers. The browsers (chrome and firefox) changed the typed URL I gave it to a generic asus url. I could not get them to trigger the router's internal ddns to give me the setup software.2. Chat help gave me a standard baseline IP to login: 192.168.1.1--didn't work. They couldn't understand why. It turned out that the router's internal initial IP was 192.168.1.50. Wow. Heads were spinning at Asus Help Chat.I eventually got into the router's setup (while waiting for the "escalation agent" to arrive on the end of the line. Then the setup menus were not as shown in the pdf manual on the disc that came with the router. It would be really nice if the folks that update the software would update the manuals before releasing it all to the world at large. Really bush league for a first rate hardware company like Asus. I have super Asus products that I think are first rate. I am shocked at how poor the instructions that came with this router were in spite of how good the router seems to be.edit: it continues. There was a one sentence statement in a menu that implied that router login authentication could be more secure by making it via "https" so I clicked on it. Nope locked me out until we agreed to reset to factory status by putting something in the pin-hole reset button. Bingo 4 hours of setup disappeared but I was in again. Grrr. Totally inadequate documentation of what that would do and the inference that it was going to make logging in more secure. Grrr. The documentation of this device is well-intended but grossly out of date and also it seems woefully inaccurate in some places where things get really important.edit 2: I made this 5 stars because the router is really nice now that I've had 2 weeks to use it and tweak things. I should say that I have been dealing with multiple routers as technology has advanced for over 20 years. Overall the menu system is good and reasonably well-documented within the router. The idea that the Quick Start Guide and the manual both failed to give me information that got me logged into the router from Chrome and Firefox within Linux is quite dismaying and a first for me. The idea that even Customer Support did not have the correct IP for logging into the router is astonishing. Logging in from Windows (which I almost never use) worked for the login url and I was then able to change the base IP to a value that fit the static IPs in my system.Customer Support was earnest and polite. I was passed from a first line tech to a supervisor and the latter suggested a couple of things to get past the "https" lockout and then said I'd have to do the "pinhole reset." I assumed all along that I'd have to do that but was hoping not need to start over with setup which I had spent a while doing. However the reset did not affect the firmware upgrade I had performed and I had notes for all the manually defined IPs and their corresponding MAC addresses and so redoing the setup went pretty quickly.Performance: I had purchased the router because it was recommended by Nvidia support that getting a router with MU-MIMO capability was a good idea for enhancing streaming as well as one that was dual band. This router is 3x3 MU-MIMO and in addition it provides stronger signals from the other side of the house to my livingroom where the important wifi devices are located. Greater range would be overkill that only exposed my LAN to more of my neighborhood. Speed is great for streaming to my streaming box and Smart 4K TV. Three walls and about 40 feet of distance between the router and devices is no problem. I am still tinkering with the QoS settings to see how that affects things. I have yet to use the internal VPN and it was suggested by my VPN provider that for maximum speed with VPN I should stick with clients on my computers and individual devices since encryption and decryption may be demanding for router processors.So....I can recommend the router strongly for those who can get past the hiccups imposed by the faulty documentation. I still have not explored what exactly was being suggested in the menu system about using https for better security in accessing the router menus and I doubt I check that box again any time soon. Changing the login username and passwords should be safe enough in my somewhat isolated location and moderately low tech neighborhood.
5,We were having buffering issues with a Sorry router. I saw this at $69.99 and thought I would give it a try because it has Aimesh as a feature.  I plugged it into the Spectrum modem and with 10 minutes it updated it's firmware and set up the entire network. It does not inxrease the network speed but provides excellent network management.  We have no more buffering problems.  It also has parental management options which appear to work excellent.  The app software has a sophisticated futuristic look and if you simply follow the directions it works flawlessly.  Signing into the Asus router web site with a computer is a real pain.  But all you need is the app.  I purchased a second one of these and set up a node for a downstairs weak spot..  The key is to activate it and update the second unit firmware.  Then reset the unit.  Do not hook it up with the Ethernet cable.  Hit the plus button in the upper right corner and the software does the rest.  This is a real and active network management system and is easy to use.  Would highly recommend.
4,The guy who claimed a .25mi range is lying through his teeth ignore his review.The range is ok not bad but not good.  It's processor is generally weak adding 3-4ms to your ping.  The wizard adds requirements that are not requirements just skip it an manually tweak your settings.  The fact that the router configuration redirects to a subdomain of asus generates some security worries for me.aside from that last bit about what I would expect for $60.I dont like the fact that the antennae connect on the back rather than the top or sides so hanging it where the cables are not kinking around the router means the antennae point downwards which feels... just wrong.
5,I was worried that I would be disappointed because it wasn't the AX55 model.  The installation with the app was easy and straight forward no issues. After installation I went back in and set up guest networks and changed the security settings.  I'm happy with the coverage the router is providing I'm getting better signals at the fringes of my house. I am upgrading from an outdated Airport and am getting much faster speeds with the ASUS router. I will update this if my opinion changes due to performance degradation.
5,Use this as an access hub in a separate office at my house. Covers the 1500sqft out building with ease. In fact all my neighbors for a few houses probably know my network name. Fast speeds even faster than my Orbi mesh inside my house. Phone ap is very helpful once you learn the navigation.
5,This is great.  The only thing that was not great was that to use some of the security features you have to agree that Trend Micro can collect all of your internet usage data and it was unclear to me if that data was secure or how it would be used.  Something to think about or at least research.  You can use it without the Ai security features enabled. It has all the typical security features otherwise.
5,Used it to extend my ASUS AX6000 WiFi 6 Gaming Router (RT-AX89X) using the AiMESH feature.  Its not easy out of the box.  Had to follow the Asus Youtube video to setup but here is the quick 1-2-3 to use as AiMESH.1.  Boot router and get it on the internet.  I plugged a switch port out on my main Asus Router to the WAN port on this one.2. Setup the AX1800 just enough to update with the latest firmware.3. After update log back in then on or around the firmware page click preform factory reset.4. While it is reseting unplug everything BUT power.5. Login to your main ASUS router and run the AiMESH wizard.Do not use the phone app I never got it to find the XAX1800 but the wizard on the router did in seconds. after the firmware and factory reset per ASUS's YT video. Was up and running about 10 more seconds after that.
