rating,review
5,Charging my phone at night has never been an issue with me. I have a cord next to the bed.  But the watch was another issue. It would sit on my dresser across the room and my earbuds would charge on my nightstand during the day with a different cord. So I would have two wires on the night stand one Apple Cord and one USB-C cord And the phone charger across the room.So you get the picture three different cubes three different wires at two locations. Now with one unit I charge all three at once on my night stand. The watch portion is great because it acts as a stand. All I have to do is reach out and touch the night stand and the watch lights up revealing the time. Great when traveling for many reasons but the night stand is very convenient when away from home and you wake up looking around for a clock.And speaking of travel everything in one package one cube and one wire. Slight down side at first. There are three led lights on the back of the unit. They will light when a corresponding charging surface is in use. And I think when a full charge was detected the corresponding light may flash (for whatever reason).  Anyway simple fix.  One and a half inch of black tape over the lights cured the issue.Going to buy a second unit for my wife who has the same gadgets I do.Update: since the ear buds case does not need to be charged everyday you simply fold the end used for charging the earbuds under and the space on the table is reduced by 1/3 and looks a lot cleaner
5,My new go-to travel adapter and it saves substantially on the number of cables in my bag. I was concerned at first about durability but the system feels well built and was not damaged after a bit of rough use on my last trip. The airpods charging side is a standard qi charger which can work with any wireless charging headphones (I am using Galaxy Buds) and the phone charging side has a magsafe-like magnet which aligns the phone and holds it in place for better charging.I like to pair it with this Anker power adapter (https://www.amazon.com/gp/product/B07VSMK849/ref=ppx_yo_dt_b_search_asin_title?ie=UTF8&psc=1) to charge my phone watch headphones (on this wireless charger) two laptops and portable power bank with just one cable.
5,I have an iPhone Airpods and and apple watch and have bought various stands and chargers to easily charge and organize my devices on my nightstand and this is by far one of the best. It charges pretty quickly it doesn't take up too much space and the best part is the easiness in traveling with it. As a guy that travels a lot this definitely comes in handy as it's a lot easier than traveling with a bunch of different cables for each of my devices.In conclusion this is an amazing product and it is exactly what you are looking for if looking for a travel-friendly easy to use and efficient charging station for all of your apple devices
5,I ordered one of these for my wife and as soon as we traveled together I was envious b/c she had one charging cord and I had 3 or 4 of them so when I went on my next trip I ordered one for myself.  It charges quickly and efficiently.  It takes up very little space b/c it folds up which is another great reason for travel.  You do need to make sure your phone is sitting correctly in order for it to charge.  Overall super awesome and practical for more than just travel use.  Great for the office or an extra charging spot!
5,I haven’t been using it for very long but so far it seems to work as described. The charger squares seem to be a little bigger than in the pictures but that’s not really a problem for me. It still folds up very compactly and I think it’s going to be great for all the traveling I do for work. I’m excited there’s a product like this on the market!
5,I bought this product to replace a bulky charging stand that I would lug around on travel trips for business and personal... this easily folds up and has a small footprint! on top of that it now only takes one USB-C chord to power it instead of 3 so it saves space now too! I would suggest to invest in a USB-C to USB-C power block and new chord which should speed up the charging (look into Anker).
5,I’ve bought a lot of chargers for apple products. Most of them seem to have a real problem with being able to charge the watch. I’ve only really found success with the original Apple Watch charger. This 3-n-1 actually charges my phone my watch and my AirPods at the same time and much quicker than my other wireless charger for my phone.I bought this for travel and not having to bring a bunch of chargers and such but I might just use it as my bedside charger as well. The magnets for the phone part makes it so I don’t get up in the morning and realize I was just a tiny bit off with the placement of my phone and it didn’t charge overnight. The charging indicators are a bit bright for the nightstand though. I might have to put some tape over that but I really like this charger. It’s a keeper!
4,This charger set came in an attractive package and timely delivery. I was impressed with the quality. All three items charged without a case. The iPhone will not charge with my Spigen and card slot cover on so I do need to remove it before charging. Otherwise handy item and compact great for traveling.
5,Really great product. Very compact and folds into sections of 3 so that is also convenient suppose you only need 1 of the 3 charger. Feels solid and not cheap like others. There’s also nice light indicator of that product is charging and what is not. Overall 5 stars.
5,This is a life saver for me I don’t need to pack all three chargers every day when going to the office this is perfect and it does not take too much space. Just put it in my mini bag with one cube and that’s it off I go. I bought one for my boss he is the one that travels the most. It comes in handy it charges perfect.
