rating,review
5,nothing to dislike about the shipment of product and will be using the laptop a lot for sports and other activities
5,I haven't had this charger long enough to make a statement about its durability. I had this for a week and it seems to be working as it states. I have purhased other chargers from Amazon and they got hot quickly and/or didn'tlast long due to quality. This one hasn't displayed anything poorly. I am optimistic about this one.
5,Great price and on time delivery
5,Needed another cord as my daughter lost my original. Haven’t had any issues with it.
4,fast delivery effective charger.
5,Excellent
5,I ordered this charger because my kid lost his Chromebook charger. It works great!
4,Got this in March to replace my laptop cord that had died here we are 3 months later and this one has now stopped working! Was good while it lasted.
3,Only lasted about 3 months before it stopped charging. Charged fast when it was working.
5,Not much to say; does what it should with no issues. If you need a replacement this is it. 😊
3,This charger didn't even last me three months. I'm going to try to return it. Today it just STOPPED charging. I almost lost critical work. Fortunately I was working in Chrome and Google Docs and all saved automatically. Whew.
5,I made sure to pick out the right charger for my chrome book. It works fine. No issues. Make sure you check for the model number. Could’ve been a few dollars cheaper but no real complaints.
5,I like that I bought it and now my laptop turns on.
5,It was perfect
5,The cable arrived quickly and worked perfectly. This is my second cable. I was so happy with the first one that I bought a second one to keep for travel.
5,Very pleased that it works with both devices and it's great to have longer cords.
5,Had to buy for my sons laptop at school he lost his and it works great
5,Old charger stopped because of a bad plug.  Found this one which met all my requirements.  Priced right ordered  and now the Chromebook works.
2,I liked that it charged my Chromebook fast I used it for what I was supposed to use it for but it stopped working on the first month of using it
5,Product exactly as described
5,charge laptop in a short time
5,I love it and it works perfectly on my computer.  Thank you very much!!!
5,Non
2,Stopped working after 3 months
5,My laptop it's perfect
2,This product only last my daughters laptop 3 months… now I have to order another cord
2,Have to jiggle the cord and sit it at different angles to get it to work
2,Worked fine at first but after two months the charger suddenly stopped working and no longer charges or lights up to imitate a charge.
1,I've used this charger for a few hours every other day and tonight it decided to stop working. Less than 3 months after purchasing it. I dont recommend this item.
1,These chargers don’t last. Went to return charger and yesterday was the last day to return. It has only been 1 month. That sucks.
1,I bought 2 chargers and within 5 weeks both are not working anymore. Don't buy from this vendor
1,Unfortunately this charger stopped working about a week after I received it. Very very disappointing. I was worried it wouldn't last long though after opening the box and seeing how cheaply made and light weight it is. Please don't waste your money on this one.
1,These do not seem to last more than a month and I've tried to return one and ups never came by to pick it up.These are very badly made
1,Purchased in May 2022 and stopped working by July 2022. Do not recommend purchase.
1,It randomly stopped charging
1,It worked only 2 months
1,Mine lasted a little over 3 months wouldnt want another
1,This charger has already stopped working.  Not even 2 months.Should get my money back
1,I bought in june it is only the first week of July and it does not work
1,I don't know about these things but something happened when this was in my computer....and now my charging port doesn't work.  Sorry the picture isn't better but trust me....don't buy this.
1,Worked great at first but quit working all together after about a month.
1,Less than two weeks cord no longer charges.
1,Cord arrived quickly but did not charged at all.
1,Not worth the money I'd you have a Family
1,i dont even travel with it and its still stopped working. barely had it a month..
1,I had to May3rd to return it and it stop working on May 5th
1,Bought 2 chargers and they both lasted less the a month!!
5,For the price -it was worth buying - delivery was fast and placed safely at the requested area. The  cords are long -its a plus!
5,This was a replacement charger for my niece. It works great and was a good value.
