rating,review
4,I was NOT HAPPY my new phone lacked a headphone jack but in hindsight I'm just resistant to change.These make me feel better about my impact on the environment bc I was constantly breaking my old (wired) headphones and re-buying them. So yeah this is more expensive than $7 headphones from Rite Aid but I also have yet to replace them.My main gripes are minor - it doesn't always sit in my ear 100% so I've had them fall out numerous times. It can also be annoying to adjust the ear things - of course you'll need to if they don't quite sit in your ear right but doing so will pause the music unintentionally.They didn't break when I tried using them in the shower but they also stopped functioning right so I took them out. Maybe the waterproof claim was more about just dunking them in stuff. I took the included imagery too literally and was curious.I have yet to figure out how to "go forward" or go back etc by tapping - maybe it was explained in a manual I forgot about though? I wish they would list the instructions here.
4,Almost the best not the worst. Definitely a decent price I've bought several earbuds before and since purchasing these (haven't found the best for me yet unfortunately) and I think these are on par with the top-notch pricey ones. There's really only a few issues that are either fixable or not serious enough to be concerned. The case and the earbuds are white they're more likely to stain with fingerprints or ear wax or whatever but it's nothing too serious. Every now and then it's difficult to tell when the case needs charging. If the buds immediately reconnect after putting them in the case that's usually the cue to put them to charge. Lastly if they're connected improperly they tend to cut out every so often. Not sure if I need to reconnect them or charge them more just something that's good to know.But for the price and what they offer this is a pretty good choice.
5,I bought these headphones because they were cheap and i didn't want to shell out for fancy ones. They're actually my first Bluetooth headphones. That said i really like them. They get good range; i was able to leave my phone on one end of the house and still listen to music while in the other end. I haven't tested the microphone aspect much but it seems usable at least. The only downside is the touch controls. They're pretty sensitive. I find myself accidentally playing music as in putting the headphones away. Some of the advanced controls are totally lost on me like changing volume or skipping songs. The basic play/pause is the only one i use. All in all given these are line a tenth of the price as the brand name ones they're very good.
4,Getting any bluetooth earbud for $12 is astonishing. That said...FOR MUSIC these are quite decent. Like all cheap earbuds you really need to use an equalizer app if you want good sound but out of the box they aren't bad.FOR PHONE the microphone is terrible (unusable) so if you need it for that keep looking.My bias: I am a musician with high-end hearing loss so I already use an equalizer to boost the highs.But even without equalization these are very acceptable.Pros-- Round ear plug (not oval) which I like. Can be worn a couple hours before hurting.-- Reasonable sound quality.-- Three sizes of inserts included to accommodate different ear sizes.Cons-- If they have any active noise cancelling I can't notice it.-- Noise reduction seems entirely accomplished with snug fit though that does work somewhat.-- Microphones really suck for phone calls - have to speak very loudly or just give up.-- Controls are touch-sensitive (not real pushbuttons) but they work.-- When returning to the charger they often fail to make contact and therefore don't charge.  So you have to press them in and make sure the blue light blinks.Did not test...-- Usage-time on single charge
5,I love this set of earbuds!! The sound quality is great they paired easily and connect easily when resuming.My favorite part? The twist and lock feature. Most earbuds even when they fit well...have a tendency of falling out in my sleep or when bending over etc.With these you twist and they create a secure fit..they don't come out until I want them to! And they are comfy..they don't leave my inner ear sore like other brands.  Combine that with a (so far) impressive battery life....and I am in love with them. They are as good if not better than my Galaxy earbuds.
4,I found these earbuds to be very good for the price. They won't beat expensive earbuds but they provide good quality sound with fairly good Noise Cancelling. For me I they get loud enough. The bass is fine but you can always use more. I use them to listen to music TV and audio books. I had a problem with one of my earbuds and I contacted Moistar customer support. They responded within 6 hours and got a replacement set shipped out to me. You can't ask for better customer service.
5,I bought these for my son after he lost his last pair. Since he loses them so frequently I made him pick a pair that was inexpensive enough that I would not get mad when he lost them again. These were his choice. He loved the color and though I thought that was a silly thing to base your choice on I did let him choose after all. When they arrived I looked them over. These are very well made he likes the way they fit and says they are very comfortable. The sound quality is exceptional for budget-friendly earbuds and I know they are doing their noise-canceling feature well because he absolutely cannot hear when I call him and he has them in. We had no issues pairing them all the touch features are nicely intuitive and the battery life is decent too.
5,Honestly I have never heard of this company before but I decided to give it a shot. I am very glad that I did. They were VERY economical and I received them ahead of the scheduled time.They are easy to connect the sound quality is pretty good and I love the fact that they stay in my ears while I run and jump rope and all that good stuff. They do not feel cheap. I like the lights that keep track of the charging. They charge pretty quick and last a pretty good while. I love that they have complete controls (play pause next previous and volume too).The only thing that I would improve on is the call quality. The mic to be exact. I can hear perfect but I can't really speak softly with them. I don't really have to scream but no whispering. But come on . . . I got mine for $13 so I am not complaining at all whatsoever.I also really liked the touch of the seller reaching out to me to see how I was feeling with my purchase and to see if I had received them. Never once did they try to sway me for a good review or anything like that. It was just a pleasant touch that I have never experienced in all my time ordering stuff from Amazon. I've had good experiences before but never this level of attention. It was a little touch that has left a good impression on me and greatly appreciated. Reminded me of actually going into a department store and being taken care of by an actual person.I recommend this product and this seller.Actually . . . I have to all my friends and family. They can get their own though. They're so nicely priced (regularly $14.99 + tax).Take a chance and try these earbuds out. I imagine that the seller would be willing to help if you aren't satisfied.
5,I've had a few cheapie Bluetooth earbuds. This is by far the best set. I haven't used the for talking.However they pair easily sound good  have a decent battery life and don't drop out like others.My only gripe is the touch is so sensitive. I wear a beanie and time I touch my head I accidentally pause my music. Meh not terrible issue
5,I wasn't expecting much from these earbuds but these are the best wireless headphones I've ever bought. I've been using them for 2 days now and still not had to charge them. The sound quality is Great! I work in a really loud kitchen in have no trouble hearing the music even when it's turned down low. Also very comfortable and they stay secure. My ears usually get irritated after having buds in for a while but I haven't had that issue with these so far. For 10 dollars I'd definitely recommend them
4,They were great for about three days and then the right earbud started to get really quiet. And now it bothers me. It still has a little sound but it’s not very strong.
4,The earbuds work great paired easily and the sound is fantastic. The only issue I've had is they sometimes fall out of my ear even with the smallest tips. They're still great though.
4,They are cheap ear buds not noise canceling at all but I love the sound quality
4,What I REALLY like is the price after my puppy chewed 2 more expensive sets.  🐶😮😲There is very little noise cancelled as I can hear really well someone talking in the room.  2 pairs ago this was not true & I had to remove them when conversing.Sound quality is adequate nothing to complain about.I’d wish the battery life to be like the expensive ones but I understand I get what I paid for.Looking for cheap adequate ear buds?  Get these.
4,That they don't last long and they don't take charge very well or it's slow. Great sound. Wish they lasted at least 6 hours as my last ones did. Great for working out. A run or jog walk with the dog. Great sound its clear cancels noise which is great. Another problem is you can't be far from your phone too far or the connection will go bad. They just need more improvement. I love the design and bass on them. Just need more improvement. So I give it a 4 star. They ship on time not bad.
4,I couldn't get the right earbud to even come on. The company does care about customer feedback they are very interested in keeping the buyer happy
4,Basic headphones...sensitive to touch ...hangs up on calls easily
