rating,review
3,I believe that this cooling stand will work quite well for some and so I urge you to know what you are purchasing and read both specs and reviews to determine whether you fall into that category.  That being said I see both positives and negatives to this design and I'll give my impressions based on having tested several laptop coolers over the years.  To begin with I almost always use a cooling stand when doing any real work as I am running a high end graphics laptop that runs on the warmer side (with a high end graphics and two HDD's) and is housed in an aluminum case.Pros:The stand is relatively sturdy.  It is a mixture of some type of metal and plastic.  It is heavy enough not to feel cheap and light enough not to be off-putting.  The fans are fairly large and for the most part cover each of the corners to the middle of the stand giving it a large area of coverage (for fan effectiveness please continue reading below).The stand comes with a standalone braided usb cable (which should help with wear and tear) which gives plenty of reach from the back of the stand where the USB inputs are to any USB input on your laptop.  You will also find the fan controls on the back of the stand near the USB inputs.  There is cord management on the bottom center of the stand which is convenient as the USB used to power the stand is not connected permanently on one side and could get lost otherwise.There are two retractable kickstand-like feet on the bottom of the stand that are meant to keep the fans off whatever surface the stand is resting on.  This is a great feature as it increases air flow around the fans on the bottom of the stand which is especially important if you're using this for example on your bed on top of a comforter which would leave no space between the bottom of the stand and the material.  These "feet" are plastic and while they seem sturdy I wonder how well they would do with a larger and heavier laptop over the long run. There are also two feet on the top of the laptop (the side that the laptop sits on) which are smaller and also made of plastic.  There is no documentation with the stand to explain what these two smaller feet are for and I can only assume it's to counter the slant that is created by the feet on the bottom of the stand (basically it helps the laptop to sit more flat relative to the surface the cooling stand is on).  I've not seen this feature on any of the cooling stands I've used before and I think that it is a smart idea as I do not always want a significant slant when typing as it can cause discomfort in one's wrists (see more on this below).Finally the 12-month warranty the AMNIE offers is a very nice feature and I appreciate a company standing behind their products.  Could it be longer?  Any warranty could always be longer but I believe at this price point $25-$30 a one-year warranty is absolutely appropriate and one could even argue it's more than appropriate when many electronic components come with 90-day warranties.Cons:I found the dimensions of this product to be less than 16" x 11" (and the dimensions are actually listed as slightly bigger than that online).  I wish that I had taken a picture of this before returning the product but I was more concerned with getting a product that would work for my needs as soon as possible.  This was a significant issue for me as the description states that it supports a 17" laptop which I have (I actually pulled out a measuring tape and measured the length and width prior to ordering for this very reason).  Had the measurements been spot on it would have fit perfectly however it does not.  The irregular shape of the stand also adds to issue because a slight overhand is compounded in the areas where the shape angles in towards the center of the stand (in the middle of each side).With regards to the two retractable kickstand-like feet on the bottom of the stand as I mention above I wonder how well they would do with a larger and heavier laptop over time.  With regards to the two smaller feet on the top of the stand I quickly found a design fault.  Being that they are smooth plastic and most bottoms on laptop are metal or some other smooth surface there is absolutely no traction/friction and a laptop could easily side off of these feet if for example it was accidentally bumped or while you are moving the stand and laptop.  It would have been a simple addition to add a rubber-like pad or some other material/coating on the end of those feet which would create friction.  This is a real surprising oversight on the designer's part.  Unfortunately I did not take note of whether this issue exists on the bottom set of feet.  However I feel that this would be less of an issue due to the fact that the feet are larger and therefore have a larger surface area and also have the weight of the stand and the laptop bearing down on them which would impact their stability in this area.This is personal preference of course and I will explain why but I feel that the stand-alone USB power cable is less than ideal.  I truly disliked the fact that the cable used to power the stand a USB cable is not connected permanently to the cooling stand.  You might conclude that not being permanently connection makes it easier to pack up and store and not worry about damaging the connection but if it were permanently attached there is no need to have such a vulnerable connection.  The connection could be made internally and the only thing protruding would be a malleable cable with one usb connection.  This is a design choice of course but it could become problematic because it makes the cable easier to lose.  How many times have you lost or forgotten a cable?  But "what about the included cable management" you ask?  How many times have you packed up for the night and didn't put everything away because you were in a hurry or [insert any number of excuses here]. Sure you can replace this cable but it is one more expense and it would be a definite inconvenience.  Also again there is the increased chance of damaging the male and female USB components at the stand connection point where there is normally only one (if that cable was internally connected as it is on my current time tested laptop cooler).Finally perhaps most important (aside from the size issue because if it doesn't fit what's the point?) is the effectiveness of the fans.  As I mentioned previously I have a laptop that runs warm and sometimes downright hot.  If you have a laptop that runs warm-hot I do not believe this will work for you.  I found the fan output to be very week when leaving my hand next to them.  That being said it appeared to keep the surface of the stand (which I believe if I remember correctly was some sort of metal) a relatively neutral temperature.  So it's not entirely ineffective but I can say with certainty that it is not equipped to deal with a laptop that runs quite warm.  In case there are any naysayers who will try to make the argument that a laptop shouldn't run that warm/hot and that is a bigger issue that's really neither here nor there.  Some laptops run like that and have since the day they were first powered up.  As I said this cooler isn't ineffective it's just not going to be effective enough for certain laptops.  Also my GPU is located in the upper left corner of my laptop (under the Escape key essentially) and so I need more cooling in that area than anywhere else.  In fact the rest of my laptop is almost always room temperature.  So I was taking a leap of faith with this cooler stand hoping that the decent fan coverage in the corners would be enough to do the job...Unfortunately it wasn't.  Since the lighting that accompanies the fan operation is completely unnecessary I would only make sense to cut out the fancy unnecessary blue lighting and use the extra power to amp up the fan output.Conclusion:The AMNIE AE-CP1501 appears to be well built for its price.  If you have a laptop less than 16" you should be fine with regards to product dimensions and for the average laptop (not build for serious graphics work or gaming) it will likely do a decent job cooling your machine.  In that case I'd say that if you like the way this looks and the price is right give it a shot.  If you have a 17"+ laptop I believe that you'll find it runs a bit short which makes managing both the laptop and the cooling stand a bit much and as it is an irregular shape (not a rectangle but with several additional angles added in for show as opposed to increase air flow) it makes that even more cumbersome.  I ended up returning the product and ordering the newest version of the cooling stand I had purchased twice over the last 5 years   Cooler Master NotePal U3 PLUS - Gaming Laptop Cooling Pad with 3 Moveable High Performance Fans (Black)        ).  The only reason I purchased something else (the AMNIE cooler) was because I was looking for an alternative that did not come with a fixed incline but I suppose I learned not to mess with what isn't broken as everything else on it perfectly for my needs and also came with an extended warranty.
4,The keyboard and mouse arrived in great condition. I work at a desk all day long with lots of OT so I needed something that could handle that. So far they keyboard is at 100%. Great battery life no issues with sticky keys or anything. However after about a month of using it the scroll wheel in the mouse came unattached so that doesn't work anymore. Unfortunately that is something I NEED to use throughout the day so it is big downside for me. It's past my replacement time frame so I use my cute keyboard and went back to my ugly wired mouse. For the price I'd expected the quality to last much longer than it did for the mouse. But honestly they keyboard on its own is great.
5,I saw this on someone else's desk at work and loved it's look.  It was hard to choose a color but I settled on blue. Everything seems to work well. It is different than a standard keyboard and I have a new desk. I gave ergonomics a 4 star because I am still trying to adjust to it but I that's the operator not the keyboard. The mouse is very comfortable in my hand. I may have to buy another one because I liked another color too!
5,Overall great purchase! Is pinker than expected and I wish the keyboard could be connected without the mouse but it’s not that big of a deal. No issues at all. Mouse sleep mode catches me off guard some times and key shape makes it easy to make typing mistakes but I’m not the best at typing anyway lol
5,I’ve been looking for a typewriter style keyboard since they went viral around a year ago. I wanted the compact style because I have a smaller desk and didn’t want to take up to much room. The only thing I had slight trouble with was that the description says it’s compatible with Mac OS so I assumed it was a USB-C cord because I saw no windows compatibility yet it came with a USB cord. Nonetheless it was nothing that couldn’t be fixed with a simple USB to USB-C cord!For the product itself the sound it produces is SO pleasing. You either love it or hate it and I love it very much. I couldn’t tell by the photos but you can change the lighting and one setting is specifically fixated on the WASD and Arrow buttons for gaming. Really appreciate that. Overall for the quality what I bought it for how easy it was to setup and how much it matches my aesthetic; I give it a 11/10. Definitely recommend this one!!
4,I enjoy the color and sound the buttons make while typing. Mouse is ok a little over sensitive. Will update in week or so and let you know how it holds up for a office worker who spends most of their days typing.
4,the only thing Im having trouble with is those 3 little white nobs on the top right of the keyboard. they are supposed to I guess light up to indicate if you have caps or number lock on but they don't light up at all and I can not for the life of me figure out how to make them work or if they're just broken
5,From the design to the color down to the sound of the keys when you click against them with your nails 🤤…I absolutely love everything about how this keyboard  set looks and feels! Definitely ASMR and ergonomically approved. Very easy to set up with its plug and play design. Already got compliments on how cool it looks and sounds from my cube-mates.
5,I love this keyboard and the sleek mouse. Durable well made. Going forward will get more from this company.
5,I got this keyboard and mouse for my at home office and it has been absolutely perfect! These paired really well together and connected to my computer. It’s super easy to just plug them in and they automatically connect to work together. I personally love the foldable stands those are what I use the most but I love that there is also silicone nonslip grips on the bottom of the keyboard. I also really like that I can keep my area clean and how I like it. This is really easy to do it considering the Key caps are detachable so I can clean very easily. The size of this all is fantastic I love the way that the keycaps feel and the overall quality of everything is very good. I’m really impressed with the price I paid for these it was a really reasonable price. I’ve gotten so many compliments on these from people that have been into my office. They complement the colors and how nice they look together. The mouse fits right into my hand perfectly and works really well it never lags. Overall I’m really impressed with the quality of these and I just really love the way these look so much they really make me excited to do my work and type. I would highly recommend!
