rating,review
5,Great value for the money. Runs a little loud but other than that it looks awesome and runs modern games smoothly on high settings in high definition. Adding a touch of graphic detail to the base (which is what is seen when installed in most systems with a glass window) is a nice addition. Adds visual appeal. This was an upgrade to a top of the line AM3+ build running an 8 core processor. The only thing that gets hot when gaming is my processor.
4,This GPU has a lot of flaws like many of you know but for its value under $300 is quite good. I managed to fully overclock this card to its topmost limit and its completely stable and cool but since the fans ramp up quite aggressively you MUST modify the fan curve so that it never gets over 80%. With fans at 80% the GPU reaches 60C and the Hotspot reached 85C which is extremely cool for its specs. With this card I can play Cyberpunk 2077 1080p at medium setting at 60 fps with a slight tweak to the settings and Forza Horizon 5 1080p at High settings at over 60 fps. The biggest advice or new owners is: NEVER ENABLE RAY TRACING this card will not be able to play even minecraft at 720p on the lowest setting with ray tracing enabled. This card will be useful for around 2 more years so take that in mind when purchasing it truthfully I wanted an RX 6600 XT but my previous GPU died and needed a decent replacement quickly.
5,Excelente compra realmente estoy muy feliz con mi nueva gráfica  excelente desempeño en juegos y más si tienes pci 4.0  ya que de esta manera si le logras sacar todo el jugo y rendimiento a esta belleza.
5,This is a great budget GPU built an entirely new pc with this for a starting GPU and absolutely love it great for 1080P-2K and overlocked maintained over 100FPS in Call of Duty Vanguard on max settings with a Ryzen 7 cpu and a MSI MPG X570 motherboard and a Coolermaster Hyperfan for cpu cooling. The 6500XT has gotten a lot of hate recently but as I see it this is a budget card for the average pc gamer. Every game I have played with it has over 100 FPS and some ranging to 200fps all in all good card for the price and 4.0 PCIE version is an absolute must.
5,Super a 1080 y juegos mainsteam en qhd va muy bien sin mencionar lo silenciosa.
5,He quedado completamente satisfecho con la compra de la tarjeta de video Gigabyte Radeon RX 6500 XT. Rinde bastante bien con los videojuegos que tengo instalados.
5,Muy buen rendimiento por el precio incluso algunos juegos funcionan a resolución 2K a 50-60 fps.
5,Llegó antes de tiempo y en buen estado a Colombia es magnífica para el gaming corre todos los juegos a 1080 60 fps
5,A pesar que sus especificaciones son de una gráfica de gama baja por el precio y el estado del mercado es una buena inversión.Pero al fallar en codecs de video solo sirve para jugar no para stermear o codificación de video.Pero para lo que es funciona perfectamente para el precio que tiene.
5,me sorprendió para bien el empaque se que se le presto atención. la disipación es excelente casi no se oye debido a que es bastante sobre dimensionada para la tarjeta.creo que vale la pena pagar un poco mas por esta que por una mas barata ya que no es mucha la diferencia y en cuanto a calidad creo que esta es bastante mejor
