rating,review
5,My computer is a few years old but this GPU has easily extended it's life for a couple of more years. The 3050 uses less power than it's other RTX siblings so it's perfect for older systems with smaller power supplies. I'm constantly amazed at how much better games look when I replay them on this new GPU. It's almost like having a new computer.
5,Make sure too download proper drivers for nvidia. Otherwise pair it with a intel 7 to prevent throttling.
5,Thank you very much
5,not the highest priced video card but it is great for gaming and frame rates.  Works for other applications easy install and using simple HDMI cables to connect to monitor.
4,It's working fine quality of built is not there.
5,This card performs very good for a midrange offering.  I don't use this for gaming but in an engineering workstation setup.  Never have any issues.
5,its a great graphics card for entry level graphic design. This card is very quite and has worked well for me.
5,Funciona muy bien
5,Vivo en Chile el producto llegó 5 días antes de lo solicitado y el rendimiento para un jugador promedio es buenísimo supero mis expectativas.Warzone en alto (80 fps mínimo)Gta en alto (120 fps)Lo único que me causó ruido al momento de recibirla es que no venía con un empaque viene solo la caja de la grafica.
5,si son de Colombia super recomendado este y demás componentes comprados en la plataforma las tiendas físicas no bajan precios y se hacen de oro. súper recomendado armar un pc comprado por partes al menos hasta que bajen los precios de las cosas en las tiendas.
