rating,review
5,Got this laptop to take to school so I wouldn't have to take my Asus z g14. I was looking for something that wouldn't break the bank and something that is reasonable in price-to-spec ratio. For $300 this is no doubt the best laptop you could buy.Pros:- Comes in S mode but can easily be switched out(I've seen quite a bit of negative reviews about the laptop being in s mode and some individuals are unaware it can be removed. Instructions on how to switch out of s mode can be found on the Microsoft Support site)**- Runs off an m.2 sdd- Can add a 2.5" SSD or HDD (+1 Upgradability)- 4GB of ram is soldered onto the motherboard and there is an additional slot to add 1 ram module(+1 Upgradability)- Great specs for the price- Amazing for school light gaming and productivity- Very sturdy build quality- Has a fingerprint sensor- The fingerprint sensor unlocks the laptop very fast. In comparison to my other laptop(Asus z g14) the vivobook laptop reads my finger almost instantly- Backlit keyboard- Good keyboard that's satisfying to type on- Bright screen with nice colors- 720p webcam- Surprisingly good microphone for the price- The charger is small making it very portable- Very responsive trackpad- lightweightCons:- doesn’t charge by type c :(- In order to add a 2.5" SSD or HDD a SATA HDD FCC is not included(a bit inconvenient but for the price of the laptop I'm not complaining it's just worth noting)- Speaker sound quality isn't the best by default the format was at 24bit48000Hz(sounded like a tin can) I changed it to 16bit 192000Hz and it sounded a bit better- Battery life isn't the best- The air the fan produces kind of just flows through the laptop and isn't link physical linked to the CPU with a heat sink making it not as effective in cooling(this shouldn't really be a concern if you don't plan on running heavy software)Overall for the price of $300 you really can't go wrong this is an amazing laptop.
5,This laptop is top notch! It's no power house but it doesnt need to be (for me). Size and battery life for this laptop are my most important options and this device doesn't disappoint.The keyboard fits my typing style well and the keys feel great. The keys are not squishy nor clicky. They lean more stiff but not  clicky at all.  Comfortable come to mind.The backlit keyboard - white LEDs - really allows this keyboard to be used in low light conditions. I didnt expect a backlit keyboard at this sub-$300 price point. I'm very pleased with this device!The screen is very easy to read and brightness isn't an issue. I've not experienced glare with this screen either.I wouldn't attempt serious gaming with this device but cards and turn-based low-res games are probably ok.The OS (win 11 Home) loads incredibly fast with the M.2 drive which is another bonus at this price point.The only negatives I see are the minimum 4GB memory and the 128 GB M.2 drive. But these can be upgraded so are small issues.Overall I'm incredibly pleased with this laptop!
5,This is a nice laptop for the money. The first thing I did was upgrade the SSD and added a memory stick. So counting the upgrades I got a very snappy PC with plenty of room. I was out the door for well less than $350. I had to consider that most of my computer usage is surfing the web and email. Add some very light music production. For things like this and your basic office type documents this is a very capable computer. Windows 11 is actually pretty good too. Much better than 10. As long as it stays around the $300~$350 mark you won't go wrong. Very nice basic computer.
5,Initial reaction - expect a $300 laptop to do $300 laptop things. It's not powerful. It can run kind of slow simply because the specs of the hardware aren't great. Wouldn't recommend this for your main computer and you shouldn't expect to run any modern games on it.However my intention on buying this was to allow myself to have mobility to play my Xbox around the house without having to disconnect a bunch of wires. I can say that this laptop absolutely fills that need. In addition it seems like it would be great for some light office work or for a child to have for schoolwork. If you're looking for something to fill any of those needs you can't go wrong with this.
5,I love the size. It's exactly what I needed for my small business and personal needs. The fingerprint scanner is awesome and so convenient. My only complaint is that I didn't realize it didn't have a built in webcam. It makes it difficult for zoom or anything like that but I'm managing. I have not tried adding my own webcam extension at this time.
4,I bought this on Prime Day for $270. This laptop comes with 4 GB RAM soldered on board. It is very easy and inexpensive ($35) to add an 8 GB RAM module. With 12 GB of RAM this laptop runs noticeably faster and smoother.The SSD drive that came with this laptop is 128 GB and very slow. I upgraded the drive to a much faster WD 500 GB Gen3 drive for $45.So for $80 ($350 total) i upgraded this Vivobook to 12GB RAM and 500 GB SSD.The display in stock setting looks washed out. Changing the screen mode (in the MyASUS app) to Vivid (from Balanced) and increasing the brightness helps quite a bit. When you are running on battery the screen mode changes back to Balanced.
5,I purchased this laptop during recent Amazon prime day and have been very satisfied up to this point especially for the price and savings. It has more than met my expectations from easy setup all the way to battery life. The fingerprint security feature is definitely a plus. Almost sure my awesome purchase satisfaction will continue through usage.
4,It's overall good but battery life is kinda short compared to other laptops at similar (or a bit more expensive) price. Also the cpu is fine for regular works but I can't recommend it for playing games or some other graphical works. Audio quality is also not so good (but it doesn't really matter cause I use headphones). The biggest problem in my opinion is the heating. The laptop heats up fast.
4,Muy buen precio laptop moderna ideal para lo básico y tamaño ideal para llevarla a todos lados para estudiantes es muy buena. Recomiendo agregarle memoria RAM extra.
5,We have had this for about 6 weeks and so far so good. It seems like a really nice quality laptop.My son is able to play games on it too!He uses it daily for online streaming homeschool.I recommend it!
