rating,review
4,It’s overall agree camera the only thing that’s wrong with that is once you have deleted everything off the pictures or the main screen then you have to reset everything back up that was the only thing I didn’t like accidentally deleted it and then I had to reset everything back up because the camera was post and I don’t know how to get out of it and get back into instead I deleted the picture screen
5,I like mostly everything that no one would suspect is a camera. It has a few minor things I don't like example i cannot go forward in a video but overall is a great choice for so many high end products.
5,The instructions are "unique " as I assume they were translated into English. If the red fails to come on do the reset while it's still plugged in. And don't waste your time on a cheap SD card  I tried to use a no-name card and it was a mistake. I bought a San Disk as recommended and it worked right away. The picture is good and the app is surprisingly fast. I give it 5 stars.
4,Camera’s set up even with the manual was a little tricky but manageable. I got this for couple months away from home.The most  reason to choose this camera  doesn’t need battery change for life .Simple and good enough screen-view from away. Hopefully it will work along.Good buy so far.
4,I bought this to be able to check on a loved ones safety it fits into the eoom without causing any doubt or taising any questions.It was easy to use and the viewing quality was good which for me is what was important. An absolute Must buy.
5,Great product. Would never guess it’s a camera. So believable and gives good range on camera view. You purchased two may get one more
4,I haven't tried all the different features yet but the 24 hour recording and "alert" recording both work well. Very to easy to connect while away to see what's happening. So far the only issue I've noticed is the push notification isn't working for me. So it still records when the device detects motion but it doesn't notify me about the motion.
5,In beginning I didn't expect much from this camera according to the price. But I was very surprised from the quality when I installed. Was easy instalation. The quality of camera is very good. I'm very satisfied with it. I may buy another one for different location.
5,Everything works great with no problems or hassles super simple to set up. Just download the app and setup the whole process takes less than 5 mins.Disclaimer: I’ve only used the live stream/record function I have not tried recording to a memory card. So I can only speak speak for the live stream option.
5,I wanted a simple little camera that I could use to check in on our dogs when we were not home. This is perfect. We can watch our pups from our phone. The picture quality is GREAT super clear picture. It is clear though you can't see anything in the dark you will need to leave lights on to view at night which is fine with us. I will definitely be getting more of these.
5,Great quality for price love it
4,Needed to learn why some things mysteriously vanish in my home so I ordered an (inexpensive) GooSpy USB/WIFI camera and got it the next day. Set up took only a few minutes and it was really simple. The camera has a great clear image and linked to my home WIFI easily. It can also be relocated around the house as needed. I can sleep better knowing my valuables are protected and who the magician is while I'm away.
5,I bought it for my home. It took only 2-3 minutes to install on my phone and then working very well. Very much responsive. Sends notification in seconds when capture any movement. I like it.
5,I like the quality picture and sound
5,Nice little nanny cam. Easy setup easy to configure great customer service. I would recommend
5,This spy cam is very handy and the app is easy to use. I was able to set it all up in just minutes. I recommend highly!
5,This spy cam is just awesome easy to setup and great quality.
5,Good quality and easy to set up.
5,Better than I expected. Easy setup great picture quality wide angle of view works great. If you don't want to pay for cloud storage this is the ticket. No one will ever know that it's a camera. You cannot see the lens at all even if you pick it up and look real close. I'm thinking about ordering a few more to put in other rooms.
5,Great product
5,Arrived on time and works as it should.
5,I bought this product thinking that it would be a simple charger-camera gimmick but after seeing the resolution quality this thing is amazing! It's also really easy to set up!
5,Camera is very well hidden!  "Trust but verify"  This product will give you peace of mind.  Is easy to set up and effective!
5,This Camera is so well hidden that no one will know it’s there they would think it’s a charger. The best thing I like is you can watch everything from your phone. quality is good for what I’m paying for. Very easy to set up and connect.
5,Set up instructions and app are very easy to install and the camera work perfectly
4,My apologies my previous review was meant for the Arebi HDVCAM.That said the GooSpy USB cam is pretty good. AND it has ADJUSTABLE sound.  Video quality is pretty good.
5,I like my product & would recommend
5,Very easy to set up. User friendly. Good quality.
5,I love this product because it is small and has great video quality.  Also it can charge your cell phoneWhat more can you ask forBest product i have purchased on Amazon
5,Can't ask for anything more. Great product
4,Very easy to set up! Works like a charm... thank you
5,Es aceptable el funcionamiento y de facil instalación y uso.
5,Fast shipping. Easy to install
5,Exactly what I’ve been looking for. Nice clear recording and audio.  Very discreet and unnoticeable. Worth the buy. Loving it so far.
5,Great product easy to use and good value
5,The app at first was a little tough to figure out but if your read the instructions and follow the steps you'll get it all figured out. Once I understand how everything works it was a breese. Picture quality is great 👍 and app is user friendly.
5,This product is very easy to start and use. It has the quality of a popular camera and any other device on your mind. Trust me you will be so impressed that you will spread the word like me. Make the purchase and put It to use to protect your family business belonings etc.
5,Super fast to install and have a great video quality
5,This is a great camera which is small simple and can be used as a phone charger.  I actually connect the USB port to my Nest Home camera which watch over the living room area and this is by the door to watch over my ragdoll kittens.There are several ways to connect the camera.  2 simplest ways are you either just plug in to wall outlet and add it to the HomeEye app and it is there.  Really simple.  Or just add it to your home network and open the app again it is there.However the best part of the camera is the clarity of the pictures and recordings and I believe the camera has wide angle lens I would say it may be 130 degrees because the coverage is very wide so I can see everything that kittens are moving to.Great product!  Definitely recommended!
5,Very satisfied with the Goo spy camera. I have tried the same product from other manufacturers and Goo is a much better choice.
5,Bought 2 previous cams with no audio. This works great. Does the job!
5,So far so good thumbs up for me. Seems to do the job
5,I would highly recommend this product
5,Works and looks as described
5,Nifty mini spy camera. It has great quality video and audio. The SD memory slot is good for extended recording. The only issue I had was my outlets were all to low to the floor so the furniture got in the way.
3,Not the easiest to set as it took multiple time disconnects easy and have to go through the process again. Pictures are good. Not able to adjust camera so if using a low plug in you get the mid section now a person Not face.
