rating,review
5,I’ve has this machine 10 days. It’s been used enough the sound signature has changed. It’s become a little more “open” with a broader soundstage. Bearing in mind I’m using the sennheiser hd600; a wonderful headphone but not a crazy big soundstage but accurate and sensitive. This headphone reveals flaws in sources source material and amplification. I have used this amplifier and headphone set up with two different dacs an emotiva xda-1 and an smsl Sanskrit 6 the analog outputs of a NAD compact disc player on the output of an X3 mk II docked Fiio k5 and with a schiit mani phono stage. It all sound terrific. This is my first exposure to tube sound since my childhood when the family held on to an old console television way too long. I was too young to understand what that meant at the time and I don’t believe that set ever sounded like the darkvoice. The DV reveals the music every bit as well as my Asgard 2 and a few times the sound was a little more highly resolved. The euphonic distortion of the tubes doesn’t hide anything. The sound was clear and without the echo I thought it would have. With both dacs the imaging was tight and with just a breath between instruments inversely connected to the NAD CD player and the Schiit mani phonostage with at3600 cartridge the sound was more expansive with more air between the instruments. This is perhaps my preferred way to listen to headphones anyway; nothing in between the source and the amplifier. Using the analog outputs on the k5 with the docked X3 mk II yields to my ears the most “compressed” sound. Still fantastic mind you just not as broad as the standalone dacs and nowhere near the sound of the NAD and the phonostage. That said I do think that combination does sacrifice a little tiny bit of accuracy for sound quality. The two dacs; to me sounded drier but just a little more detailed but the difference is slight at best.A note on power output. I own a pair of Koss pro4aa’s. These are 250 ohm resistance and are comparatively inefficient and I don’t have to take the volume pot past 10 o’clock for really loud sound. The darkvoice doesn’t fix what’s wrong about the pro4aa not that these are terrible headphones just not on the same level as the Sennheiser or even the Sony MDR-V6 (one of my personal favorites) but the darkvoice does add something. Some kind of tube sound voodoo to the way Koss presents. The DV pushes the mids further forward in what is kind of a v-shaped sound signature. Smooths out the treble and the bass while still forward isn’t as. Considering how old this design is they may have been designed to work with tube circuitry. They sound better to me being driven by the darkvoice versus my solid state options. And; with plenty of power. This makes me want to try other kind of older closed studio type designs that maybe have a recessed mid range as well with that higher resistance in the 250-600 ohm range. The beyerdynamics and the older AKG’s such as the 600 ohm 141 and 249 sextets that can still be had on eBay used for much less than the hd600. A used CD player Darkvoice and some used hard to drive vintage cans could be a great way to unwind.A few notes regarding build. It’s noted in other reviews that this is a heavy piece of equipment. My Asgard 2 is a hulk and hold one in each hand simultaneously: the DV is heavier. I haven’t dedicated large amounts of time to scrutinize the chassis but I’m betting it’s steel. Those clean sharp edges have almost got to be steel. The transformer cover is almost certainly steel as well and weight distribution front to back being my indication that transformer is big. There is no external hum to that transformer though and no audible “POP” externally or in the headphones when you throw the very positive power switch. The volume pot is smooth with just the right amount of resistance this pot won’t get twisted over without meaning to. On that subject the channel balance is spot on with this unit.The DV has a lot of proponents and detractors even those who love it talk about the tube causing an audible hum in the left channel. I don’t hear this. Not on the first listen and not now. I bought a “better” tube on purchase because of this and haven’t used it as these tubes actually sound pretty good. The sound signature is of course different from my Asgard 2 but it’s every bit as pleasant. Maybe more so in my humble opinion and I absolutely love the Asgard all the schiit products I’ve used have been top notch. I have to put the DV up there next to them in sound quality. I will be rolling other tubes as I see no reason not to. Trying out tubes has literally put new life into my music collection. I’m hearing everything sound just a little bit different than my SS gear and it’s a sound I find myself really liking. That said the tubes that came stock sound really good and if I didn’t have a way to procure other tubes I could be satisfied with the sound.Okay; time for a minor beef. The trim ring around the volume pot. I hate to even mention this because there’s all kinds of talk about the inferiority of Chinese products. The DV arrived at my house missing one of the very small and very likely proprietary hex bolts missing. One. It doesn't effect the function of the volume pot or the function of the amp. The trim ring isn’t lose and none of the other bolts are loose. After sending Shenzhen an email however I received and email in less than 8 hours (figure on the time difference I’m reasonably sure they don’t staff support 24/7; nor should they). I was asked a few questions and told they would ship a set of bolts to me. Now because the two people I received emails from were pleasant and professional and had a terrific grasp of my native tongue I have no doubt I will receive these parts as promised.There are a lot of products made of overseas that are garbage some American made products are garbage too. Anyone remember the Ford pinto? ‘Nuff said. This amplifier is not foreign made garbage. It’s a really good sounding amplifier with actually nice musical tubes of Russian and Chinese extraction from a company who’s customer support I’m already kind of impressed with. It’s a really great sounding amplifier as I said it’s different but every bit as pleasant as my Asgard 2.The price is right less than $300/shipped and can be found more inexpensive yet if one is willing to do the pay and wait on massdrop.I could really see being thrilled to own a good used CD player darkvoice amp HD 600’s and a whole bunch of compact discs as the only music system and being completely satisfied with that.Update: I'm really upset regarding this purchase. I'm upset with amazon. I won't be buying any other audio gear from here. Tonight; midtrack the darkvoice sound went kind of lifeless. I turned the volume pot ad found the pot had no influence over level switched it off with my headphones still on could still hear audio coming form it despite the tubes having stopped glowing. One minute the sound was exquisite the next it was not. I'll be returning the amp for refund having spent nearly 60 minutes on chat with an associate. The result being not as I'd like I'm told I'll be having to wait 14 days for my refund. Amazon has no problem deducting the funds immediately on shipment but getting your hard earned back for defective unit takes two weeks. I've email shenzhen and will see what they have to say and hope it's more satisfactory than Amazon's solution.***update 2: A few emails back and forth and having come to the agreement with Shenzhen to repair my amplifier and return it to me. Customs forms filled out and the Darkvoice on it’s way back to the P.R.C. having canceled my return to amazon. Shenzhen Audio customer service was accommodating professional and competent.**** The replacement Dark voice has been in my collection for a significant amount of time now. I've had multiple dealings with Shenzhen Audio for other components. All of them worth every penny. I've several other headphones amplifiers my home office looks like a shrine to them. The Darkvoice continues to be a significant amount of listening I do. Great for Classical Blues and Jazz. Solid state has it's place in my systems but the tube sound from this unit continues to move me in a way that solid state just doesn't. Shenzhen's customer service continues to impress.
4,I've been on a long hunt to essentially replicate the two piece Smart Cover case for my original iPad 2 and it has been very frustrating. With that iPad I used an Apple real leather Smart Cover with another vendor's soft gel back cover. It worked perfectly for my needs for three years. I assumed it wouldn't be difficult to get a similar solution for my brand new iPad Air but that was a wrong assumption. I really wanted genuine leather and I found that many cases that say "leather" mean PU leather which is a polyurethane coated leather derivative. Be aware of what you are buying if it matters to you.Apple no longer makes a real leather Smart Cover only a Smart Case that covers the back as well but it is $79.99 and it doesn't feel as much like real leather as I wanted. I thought I could do better. I wanted sleep/wake function with the cover I wanted the back protected with something that would keep the iPad from slipping on a desk or other surface and I wanted to be able to easily use the iPad in the lower propped up typing position as I use the virtual screen keyboard about 95% of the time. When I travel and have to do a great deal of writing I take a separate Bluetooth keyboard with me. And I wanted the case to be red preferably.This case was one I did buy but returned:CaseCrown Bold Standby Pro Case (Red) for Apple iPad Air with Sleep / Wake Hand Grip Corner Protection & Multi-Angle Viewing Stand $16.99 ASIN: B00BISWNLC. Impressive protection nicely made but same frame problem faux leather.This ended up being the the last case I bought and kept: StilGut Couverture Genuine Leather Case for Apple iPad Air with Smart-Cover Function Red ASIN: B00GXCJ8LQ It is bright red it is beautifully crafted and it securely holds the iPad Air without covering any of the edges of the iPad Air's screen what I call the "frame" around the screen.This case has a fairly stiff back cover that grips the iPad Air quite securely. The entire iPad is covered in red leather and the case is lined in black suede or suede like fabric with the StilGut name woven or stamped in. All buttons and ports are open and useable. The red color is beautiful and exactly the red color I sought. It also comes with a two year warranty and feels better made than the Apple Smart Case at the same price. My only quibble is that I would have preferred to have had smooth textured calfskin or similar not the textured leather this case is made with. But it seems I couldn't have everything I wished and this beautiful case came the closest.I've found that many cases do count on the iPad being secured by the case itself using pieces of leather or faux leather to cover the frame showing only the screen. But that type of frame prevents my thumbs from easily reaching the virtual spacebar and prevents me from typing effectively.The StilGut company is a new one to me but is apparently a highly regarded German firm long established. I feel very confident that should any issue arise during the two year warranty period they will stand behind their product. Their website shows many products for tablets and phones in many colors and styles.These are the other iPad Air cases I tried bought and returned. The AISN number is Amazon's in house stock number and you can find any of these cases by doing a search with that number.i-Blason 5th Generation i-Folio Slim Hard Shell Stand Case Cover for Apple iPad Air (iPad5-iFolio-Red) $24.99 ASIN: B00G3NDFW8 (grip holding the iPad Air was right but I didn't love the texture).Jisoncase Red Genuine Leather Smart Cover Case for iPad Air JS-ID5-01C30 $74.99 ASIN: B00GNXJK0O but ended up returning it read further to learn why.  I have nothing but high praise for the Jison's vendor TheCase's outstanding and accommodating customer service. Very personalized service. Excellent help. They bent over backwards to help me and I'm sure they would for you. However the 2 yr warranty on the StilGut case won me over however over the 180 day Jison offered.Fintie SoftGel TPU Back Case Smart Cover Partner for Apple iPad Air (iPad 5 5th Generation) Slim Fit Compatible with Smart Cover - Clear $4.99 ASIN: B00G7BKC3Q Kept the back cover although it is not clear but frosty. Excellent customer service. Very responsive.Fintie Apple iPad Air Case - Ultra Slim Leather Standing Case with Smart Cover Auto Sleep / Wake Feature for iPad Air 5 (5th Generation) - Pink $9.99 ASIN: B00IFUCQMM horrible bright color has wide frame that interferes with typingFintie Blade X1 iPad Air Keyboard Case - Ultra Slim SmartShell Stand Cover with Magnetically Detachable Wireless Bluetooth Keyboard for Apple iPad Air / iPad 5 (5th Generation) - Red $24.99 ASIN: B00J7F2XYK (amazing portable keyboard case is nice if you will always use keyboard but no way to prop up for virtual keyboard use otherwise. Keyboard is available separately as:Fintie (Black) 7 inch Ultrathin Bluetooth Wireless Keyboard for iPad mini iPad mini with Retina Display iPad 2/3/4 iPad Air (Function Keys For Apple iOS only) $19.99 ASIN: B00D85YFUKBelkin Quilted Cover / Case for iPad Air (iPad 5) (Ruby) $39.99 ASIN: B00F6A5TEG. Very nice looking despite not real leather. But the frame that holds the iPad doesn't lie flat enough for me to type on virtual keyboard The most feminine looking case. Wish the typing position was better.Snugg iPad Air (iPad 5) Case in Black Leather - Flip Cover and Stand with Automatic Wake / Sleep Elastic Hand Strap & Soft Premium Nubuck Fibre Interior to Protect Apple iPad Air (iPad 5) - Includes Lifetime Guarantee $29.99 ASIN: B00EYDTA3W (same frame issue)YOOBAO Executive Genuine Leather Case for Apple iPad Air/iPad 5 Tablet With Auto Wake / Sleep Function Rose $37.99 ASIN: B00GNU30QW nice enough leather but same frame issueAnd from Sena-my first choice:Sena Florence for iPad Air (Navy - 845192) $79.99 ASIN: B00JFI08L4I bought the red one at Sena's site. I loved it most of all and would have kept it save for the leather frame around the screen. Most beautiful leather gorgeous hand stunningly beautiful. Wish I could have kept it.I hope you will find this review helpful.
4,After having a poor experience with a hybrid tube amp I decided to try an OTL Tube with my HD 600 and DT 880 600 Ohm.It's packaged pretty sparsely with molded foam clam shell for the amp with cutouts for the stock tubes in a plain cardboard box. Also a manual and a 1/4" adapter.I actually didn't bother with the stock tubes almost immediately swapping in a GE-branded JAN Power Tube and an Electro Harmonix Pre-amp Tube from Parts Express. I later swapped in a Sovtek from Tube Depot for the Pre-amp Tube.The amp changes it's sound based on what's plugged into it. Everything changes it. The HD 600 sounded smeared but quite well pleasant with the EH tube and seemed to have more visceral bass. The Sovtek tube sounded cleaner and clearer much closer to solid state with less bass impact but more than solid state gear.If you're purchasing this you know what you're buying I hope. It's not meant for low-impedance headphones. It can drive the Beyer 600 Ohm cans at less than 12-o-clock on the volume knob with the DAC at -3dB. It's a piece of gear that just sounds noticeably different than standard (solid state) gear.However there's a few potential issues. The engineering is suspect. Like it's probably safe but I don't touch it with more than one hand at a time for safety. Beyond that the front LED is basically dead after about a week. Further still there's a hum in one of the channels if you just plug in new tubes and start playing audio. That's due to an improperly specced PSU for 120v US Mains from what I can dredge up. You can solve the issue by removing the power tube and installing the pre-amp tube and then letting the amp run like that for 24-72 hours that is unless you want to dig into the guts and start modding it. WHICH I DO NOT RECOMMEND IF YOU DON'T KNOW EXACTLY WHAT YOU'RE DOING.If you know what you're doing it might be worth going for a Bottlehead Crack +/- the Speedball Upgrade. You'll learn a lot more about how amps work and you'll be supporting an American company if that matters to you.However this is an amp that allows you to hear different sounds than solid state gear  play with different tubes of various price points and works perfectly well after some break-in. Oh and you don't have to assemble it from parts. Because of that it gets a recommendation from me with the caveat that you have high impedance headphones and know this isn't designed for ultimate cleanliness of the sound. It's designed to mess with it and it does it well.Disclaimer: My ears are not a measurement rig and I DO NOT recommend you opening this amplifier up for any reason unless you know what you're doing and how to be safe. YMMV as per usual based on your tubes headphones DAC and source files.
4,Airpods are too expensive and sound quality doesn't matter unless you're listening to music.  I'm listening to podcasts mostly and these are really good.  When I do listen to music they are still really good.  They make airpods completely not worth the money.
4,Never knew pulling in head phones could be Bluetooth buh they are lol they’re loud love it
4,Only one worked but for the price I didn't complain still a steal of a deal. Sounds normal and the child doesn't hear me when they are in so obviously work well
5,My husband uses them to listen to audio books.  He thinks they will be great when we go on vacation and are on the airplane.
4,It’s decent
3,I didn’t think these had to be bluetooth connected since its a lightning cord so keep that in mind before buying (and they love to disconnect at the slightest movement of a limb if its in a pocket
4,I bought it mainly to record some songs didn’t care much about the quality but since it’s a “bluetooth” headphone the app I use doesn’t allow in-ear monitor and there’s a delay between the track and the vocal.
