rating,review
5,I was so happy when I got this charger. I love that it's small enough for the nightstand and that the watch is held in place while charging. The watch goes into night-mode automatically when placed on the charger; you can see the time if the watch is touched or jostled.
5,I've been wanting a stand for the apple watch because as much as I like to charge my watch I'll need to bring that cord everywhere I go and I don't like that. Also what I really like about this is that it doesn't require to use your OWN cord and IT STAYS FLAT. Absolutely in LOVE with this item!
4,Returned this. I would have kept it if it didn't make my watch hot while charging.  Since the ad states it's for 7 & below I'll assume this is why it’s happening.  One star off only for the heat issue.  Otherwise great for traveling & nightstand.
5,I’m loving being able to use this for my watch. Convenient and easy. Although I would like to have gotten a electric plug in for it
5,I like this little charger.  The watch doesn't slip off the charger like the one the watch came with.  Its easy to see on the nightstand.
5,The magnet is stronger & charge is faster! The ease of use enables a less sensitive connection.
5,It does everything it says its going to do. I love how easy it is to put the watch on it. Also love that the watch faces me so its easy to read.
5,Works great easy to set up snd easy to put watch on with any band
5,I bought as gifts and I asked if it worked fine. They said yes  they use it every night.
5,I love that I can set this on the nightstand and just touch the stand in the middle of the night to see what time it is.
5,So far it’s perfect.  Great size.  Watch sits well on it despite different bands.  Very happy with purchase so far.
5,This Apple Watch charger is a perfect stand-alone charger. It’s easy to carry with me when I travel and doesn’t take up a lot of room on my nightstand.  I can check the time in the dark just by tapping my nightstand.  I love it.
4,Attractive.It is  V E R Y  S  L  O  W  To charge.
5,
5,Ordered this to fill in for my wife's vintage Mac charging cradle that she left behind. Turns out she likes this one better. Built-in charger is a big dollar saver. Very stable base. Easy to put watch on and to take it off. Reliability is the only open question.
5,This is the easiest charger to use and travel with. I will be purchasing more for Christmas gifts.
5,Didn’t purchase for travel
5,Works exactly as intended my one wish was that it was foldable as that would make more convenient but for the price it is really nice.
5,I wanted a small charging stand that would fit on my night stand this looks good and works perfectly.
5,Works like a champ.
5,This is just what I was looking for great price  compact for night stand or desk.
4,Does not work! It takes all night to charge my watch.UPDATE:The seller reached out and after my initial review once  confirmed the charger I got was defected they sent a replacement. The new one came in and it changes faster. I’m very  happy they were able to get me a new one.
5,Loved the price size and easiness to use. This is exactly as described. Recommended.
5,
5,Great watch charger with a strong magnet for holding watch in place.
5,This is small compact for travelers and does a quick charge quicker tan the charger I had
5,Easy to use. Stays on the stand.  Charges with no problems
5,Charges very quickly and will fit easily in any bag/purse.
5,Love it easy to use and convenient
5,I got this because the dock that I previously used with my watch was unreliable. It was super finicky about the exact placement of the watch. If it wasn’t in the “sweet” spot my watch wouldn’t charge. And finding that exact right spot was no trivial feat.I like this dock. It’s small and lightweight so it’s very easy to travel with. It’s visible so I can see my watch at night when I wake up and know that it is not yet time to be conscious. Or that it is time to get myself caffeinated and going. It’s a great little watch dock it has a very small footprint on my limited space nightstand.
4,While it charges without issue which is really the main purpose - it misses the mark when it comes to design.  The bottom needs to be weighted to sit firm on a desk.
5,I’ve only had it for a little over a week.  So far it’s working great.
3,It’s a great design for the bed stand but it charges slower than an Apple brand charger so you have to wait or charge overnight.
5,It was a reasonable price. It seems to work well. I don't think it would be good for traveling as it has a high profile.
5,Love the charger for my Apple Watch. Works great
5,You can definitely feel your music with these headphones not just listen but FEEL ♥️
5,Easy to use at home or away!
3,Forgive me if it was in the listing and I didn’t notice but I purchased two of these. One for my spouse and one for myself. Theirs works great. Mine refused to charge my watch out of the box. When we tried my watch on the identical product my spouse has it wouldn’t charge in it either. Spouse has no trouble with either one. It’s kind of cheaply made but a cute design. I can’t use it.  It would be helpful to have that more clearly indicated in the listing.Like I said if I missed it that’s on me; but I wanted to warn others who have 38mm Apple Watch this won’t work for our size watches.  Bigger oNES it’s fine actually seems to work well.  I was so disappointed.
