rating,review
5,This projector is very literally a plug and play projector. It is so extremely easy to operate with the smart features and the phone mirroring. I was very impressed that I didn’t even have to plug in a TV stick and all of the streaming features were functional.The picture adjustment was very simple to operate. I was able to adjust the size and customize the brightness according to the movie that we were watching. we used a portable projector screen with us and had such a great image quality even without the room being pitch dark.This projector has a built-in speaker. I was pretty impressed with the quality of the speaker and for the size room that we were using this in did not feel the need to go through the trouble of hooking up additional speakers.I love the small footprint of this projector. If it’s on a much smaller base than my older projector and is extremely easy to handle and very Portable.
5,The media could not be loaded.                                                                                 this HD projector runs off your Bluetooth and had no issues linking up with mine on my android device.  It can be used on IOS devices as well. We have tried this on both so far with no problems. This projector is 4K enabled and compatible with a TV stick or PC as well. It's overall appearance is minimal in design and will not eat up alot of space. The images display very nicely and the colors are sharp and vivid.  The fun part is customizing the display with the "image mode" and "color temp" to create the display exactly how you want it. This would of course depend on the movies or sports you watch or even gaming for that matter. The speaker itself provides some quality sound and can even be used on its own as just a speaker for music. The size of your display can even be adjustable without diminishing any of the picture quality. This home theater projector is also very easy to travel with as it has a handle and will play just about anywhere as long as your Bluetooth is connected.
5,The media could not be loaded.                                                                                 this projector was purchased for my daughters first apt as space is certainly limited there and she is already quite the minimalist. This projector is small enough to be easily stored away when not in use and the best thing is that a large screen isn't needed. It can certainly be paired with one yes but my kid has it working and displaying really nicely on a blank wall. She can view full movies and shows just like you would on a big screen TV and the image quality is really nice. The keystone dial is a very nice feature at getting the proper focus according to your preferences.  The sound quality is actually really good in the space she uses it in. I was rather impressed and seriously considering getting one for man cave downstairs. The initial set up went along rather smooth and the instructions provided were very helpful. Works best with a fire stick or HDMI. Overall a solid offering from the maker of this projector and a positive experience during its usage.
4,My only issue is the brightness you literally need to black out room to see decently
5,Works great in bedroom! Highly Recommend!! The sound is VERY good. Have not tried outdoors. For iPhone I suggest going ahead and buying a lightening cable to HDMI converter. Or you can just use a fire stick like we use. Very easy set up!
5,The media could not be loaded.                                                                                             My kiddos don't have a TV in their room but wanted something to use when gaming. This was the fraction of the cost compared to a television and works great for them. I can even hook it up to roku so they can watch shows movies Netflix and YouTube.  The screen image goes from 32”-170” projection size and I can project right on their wall. It is 1080 full HD resolution and 10000:1 contrast with 10000 Lumens brightness .I'm even finding the dual built in speakers loud enough! My kids can hook this up to their gaming system or it is equipped with multiple ports: HD USB TF VGA and AV. It’s compatible well with TV Boxes/Sticks laptops PC TV USB DVD players etc.very nice and good value !Comes with:1 * mini projector1 * HDMI cable1 * 3 in 1 AV line1 * power cord1* tripod1*drawstring backpack1 * remote control ( battery not included)1 * user manual.
5,This mini projector 1080p full HD makes it perfect for us. It is so portable and easy to use set up and has all the stuff a larger projector would have. We do not need it that often and it makes sense for the quality and use we need it for to have this size.Packs a punch with the 10000 lux. led projector for home movies supporting 1080p full hd & stereo sound.  With bright and clear projection images the dual built-in stereo speakers feature an srs sound system it provides a great auditory sense experience in your movies.This portable video projector is equipped with multiple ports including HD USB tf VGA and av interfaces so basically everything you may need and is compatible with tv boxes smartphones laptops pc etc. streaming videos like Netflix Hulu YouTube and HBO must be mirroring displayed by connecting with an HDMI adapter but works great
5,* A Mini portable projector with HD quality projection.* A quick and easy setup.* Wotk from around 4ft to 15ft distance. Adjust focus with the knob to get clear projection.* With a tripod stand it's easy to put on the floor and project on any wall.* Need a streaming device like Firestick/Chromecast/Android TVs /Smartphones etc to play anything.* It has an HDMI port to connect a streaming device. (A HDMI cable comes in the box.* Sound is OK for small rooms or for kids to watch.
5,Very nice picture quality very easy to connect to my computer so now while we are camping we can watch movies it is the perfect size very easy to use if your looking for a very nice quality projector you will not be disappointed I have been very pleased with it
5,This did not take long to set up. It has a great video quality to it and I just use the HDMI on my TV. The remote is definitely helpful and you can use this without having to buy a green screen as long as you have a wall that’s big enough. I used my back blank white wall to test this bad boy out. It was a great buy because it left me and my family with a great gift to use when we all want to have a party or date night! For the price you get what you pay for and it comes with a cute carry bag
5,This is a nice projector - I love the finish and design.  It’s got a cool pattern with it as well.It has multiple different ports which are great to plug in hdmi usb etc.  i like that a lot.It’s easy to adjust the focus as well and control overall is very standard (I’ve got a few projectors lately).This is an ice unit overall.  Will be fun for outside movie nights !
1,HDMI cable had loose connections on both ends and was never able to display any picture. I consider myself moderately tech-savvy and I couldn’t get beyond a blue screen. It is not a complicated device. You should be able to plug the HDMI into the projector and the other end into the lightning HDMI adapter then into the phone. Then select “HDMI” on the projector. Poof you should see something but it was a big nothingburger!It’s cheap Chinese garbage. Save your time and money. I sent it back to Bezos.
5,Initially I was unsure of what to expect from a projector with a price point below three digits... But it seems that I was pleasantly surprised by what I received.It's an adorable little white cube that measures 6x8x3 inches and weighs approximately 35.7oz.The input side will handle both 120 and 240vac at both 50 and 60hz line frequencies... This could be useful for those traveling abroad with it.Also it draws approximately 75 watts when running. It's quite power efficient.On to the fun stuff:It includes a little carrying bag a basic manual A tiny tripod remote A/V (composite) HDMI and power cable.It also includes a little lens cover but I'm not sure precisely why they included it since the cover is the same diameter as the lens... therefore it doesn't fit. This is not an issue though as you'll likely never use the lens cover anyway.It has both HDMI and VGA inputs as well as a traditional composite input.It also features a line output for connecting to other audio sources.One of the interesting things about this projector is that appears to have its own [proprietary] operating system. It has a UI which is likely going to be used for accessing data on a microSD card.It has a manual coarse focus control as well as a manual keystone control. The keystone control can be tricky to get perfectly leveled but it can be done with a bit of fiddling.Also it might be worth noting that this as most other projectors do become quite hot internally. Be sure not to block or cover the exhaust for the lamp's cooling system. Temperatures can reach as high as 140 degrees (Fahrenheit). Possibly slightly more if you're in a warmer climate.Temperatures were taken from an 80 degree ambient room temperature for reference.About image quality... To be fair I'm using one of my high end projectors as a control comparison.For the price point the image quality is quite crisp. There is no fine focal adjustment so you have to rely on coarse focus to tweak the image into focus properly. There again this really isn't an issue. It just takes some time to familiarize yourself with the projector to tweak it in more quickly.There is something slightly odd about the pixels being projected though. It could be some minor upscaling despite it claiming to output 1920x1080 natively. Once again though for the price point... It's a nonissue.Color reproduction is impressive though the internal lamp doesn't quite have the power to project perfectly in a bright room. There again for the price point this is to be expected. It's not going to be theater quality which is perfectly fine.Also I forgot to mention... The projector has a little threaded foot on the bottom for tilting it up. This can be handy in some situations.It also has a control panel on top with all of the buttons necessary to navigate without the need to use the remote though the remote is a nice added convenience.The buttons on both the projector and the remote are crisp and decently tactile.In summary I don't believe you'll find many projectors at this price point that perform this well.Small nitpicks like the manual keystone control aside this little projector does seem to do impressively well for what it is.I would definitely recommend this if you need something small yet capable... Especially at a price point that won't fry your wallet. I can guarantee that you won't be disappointed.
4,The picture looks decent with some fiddling and with a proper screen.The interface is fairly easy to navigate but may trip some up.It doesn't seem to get too hot which is a big plus.The sound is just plain awful.
4,The media could not be loaded.                                                                                 This is a very cool mini projector. It works very well and I didn't have any issues getting it all hooked up and running. I tested it via HDMI and USB through an adapter on my MacBook. I experienced no delay or connectivity issues at all. It's a fairly lightweight and low noise projector with great image quality. I do wish it had a bluetooth connection setting but it's helpful that it comes with the cables needed to use it. All but an adapter if you plan to use a device without the necessary ports to stream from. Sound quality is decent not excellent. I do appreciate the stand that comes with it! It's sturdy and elevates the projector from a surface. The soft case is super handy to transport it around. Overall a good projector.
4,I really like this projector for my backyard.  It was VERY easy to set up (I coupled it with a ROKU stick) and even comes with a lens cover which is highly appreciated.The downsides so far:  After about 6 minutes it shut off unexpectedly.  I made sure everything was plugged in and turned it back on and it seemed fine but I'll keep an eye out for it shutting off again.Second: The audio is not great...at all.  It is very low and when you try to turn it up it won't go any higher.  It shows on screen that it's ticking up but the actual volume stays the same.One pro that I found with this projector above others is the quality of the picture.  I was using HDMI for my ROKU and the picture didn't seem grainy or blurry.  In fact it was pretty nice.I will recommend this projector and will adjust my rating if it continues to either shut down or doesn't.
4,I have used this a couple of times. It is very easy to set up and use because the instructions laid out very clearly. Everything that you need is included in this. The picture quality can be better but for now it is really good quality. It is small and compact and it is easy to transport to any place that you might need to use this. The brightness is very good and you can see it in very dark areas. I would highly recommend this product. Anytime you have friends over you can set this up outside and do a very good movie night.
4,So please don’t laugh at my set up this is the only way that I could get it to properly be aligned I’m getting a stand for it soon. I wanted to change my aesthetic and not get a overprice TV and this product did that for me. I did have trouble connecting my phone and Wi-Fi with the projector but when I finally got it all together it did work. There’s features to mirror your iPhone or android connect with Bluetooth to play music change wallpapers and watch your shows etc. The only problem and why I gave it four stars is because whenever I go to watch a show the connection with my Wi-Fi is just not there it buffers forever. I’ll see if I can get it to work properly this time and see why my videos are not loading to watch my movies and change the rating in the future but as of right now it definitely has four stars for me.
4,Overall it's a good projector at an affordable price. 8k lumin is pretty good for the price range and the ability to tilt the lense is a nice feature. The sound is average and the lack of wireless support for Bluetooth or wifi is a bummer. It's easy to use though and fairly compact. For under 100 dollars it definitely hits the important marks being bright and 1080p.
4,If you need something for an occasional use then it could work. The quality of picture is good it works right away. Initially minimal setup. But the sound is pretty disappointing. We have tried to get it connected to our speakers but it did not work with the common cord.
4,As long as you connect this projector to a media stick (Firestick or Roku) or use the included HDMI cable to link it to your PC or laptop everything should be fine.The sound is clear but not very loud. This could be problematic if there are a lot of people in the room. Would need to attach to a secondary speaker.The focus works and the keystone correction works and you can definitely watch a movie on this and enjoy it with you and a partner... But once again especially because it only has one HDMI port the speaker thing might be a pain in the butt.This is why it's important for every projector to have two HDMI slots or already have 5.0 Bluetooth. Should be Wifi compatible as a device everytime you buy it as well.My favorite feature is about this projector is that it comes with a bag to carry your stuff in and it comes with a little portable tripod which screws into the bottom of the projector and adds some definite utility and some aesthetic value.You can definitely use this projector without much difficulty however the sound as I said will not be very loud.The instructions could be a little bit more clear as they tend to be with more expensive models. I didn't even need instructions but that's just because I know a lot about projectors.I would call this item "great" but I would hesitate to use a descriptor like "excellent."It is a "good" buy because the price is set pretty low but it isn't something a projector expert would recommend to anyone other than beginners.I would recommend this company adds a second HDMI slot or upgrade to Bluetooth 5.0 with some powerful WiFi capabilities.A projector doesn't have to come with pre-installed apps but that can be helpful as well.Like I said this is still a decent choice for a bachelor or bachelorette.
5,Easy to set up and stand it came with works great.Picture shown is at about 15ft from the wall. Have to still turn off some lights but not bad at all.Could not figure out keystone but for what we need it to do it is perfect.
5,Hello We were looking for a simple non-complicated projector to use on our backyard nights out or possibly camping and didn't want anything with a ton of wires or just simply over-complicated. This fits the bill quite well.The size is not that bad it's about 9.5x6x3.25 in inches. The built-in handle is nice. The fact that it has wifi is also nice The claimed 17000 lumen seems to project well even if the area is not pitch black. Obviously the darker normally the better.  The image was not stunning but it was not bad to be honest. It has stereo speakers built in as well.Overall for a quick family grab we were pleased with our order. I don't think it's a bad value.
5,Product is great
