rating,review
4,This has a pretty decent sound and the pre-programmed EQ helps a lot with finding a sound that works for you.  This is a very solid speaker and in most cases is enough for me around the house or sitting out back.  I have not had a chance to test it around water yet but it's good to know that it has a IPX6 Waterproof rating just incase.  I bought two of these speakers and the pairing functionality was very simple and allowed me to play them in stereo.My only knock is that it's a little loud when you first turn them on.  You will hear beeps first (piano key sound) followed by "BLUETOOTH CONNECTED" which I wish I could turn down or even mute if possible.I'd like to listen to it at night or in the office without alerting others that I just turned it on.Overall 4.5 out of 5 for me!
5,I looked at a lot of these speakers before choosing the Zealot and am very happy with my purchase. I wanted a loud high quality Bluetooth speaker to use while grilling out on my carport. I plan on getting another one because it has a special feature that allows you to sync two so each speaker streams left or right for true stereo that will mimic the live performance quality sound of a live concert! I’m really looking forward to having that experience. The 3 level equalizer is a great feature. No flashing lights just great audio quality. These speakers are loud!
5,I have been looking for the right speaker for months. My first few units were smaller and lighter but lacked either sound quality or battery  life or both. Well I have been really please with this speaker.  It has great volume battery life is excellent ( today listened to it for 3 hours at half volume and only down 1 bar out of 5.  Half volume is really pretty loud as filled my backyard with music while swimming.  It's bigger (mid sized) and heavier then the smaller units but it's definitely a quality unit and if you want to hear it from more then a few feet away buy this one.  I use my speaker in my backyard and one the back of my electric bike for my wife who rides her bike behind me 5 star.  BTW I got the one with the strap not the handle which is perfect for my needs
4,No need to crank up my volume. Level one is enough to fill my living room with music and not interfere with conversations. Crank it up to 2 or3 volume and it will rock!! Sound is not as refined as my Anker because Anker has an app where you tweak the equalizer to your preference. This one doesn't except for the 3 modes. Only one works to my liking- more punchy bass. Definitely will get one more in the future to link it stereo for more amplification. I do hope Zealot can have an app on Android to tweak the sound
4,It's the loudest bluetooth speaker I have ever owned. Additionally it sounds good and makes my other speakers sound like trash. However I realize that 50 hour battery life advertising is false. I can barely get 7-9 hours in mid or high volume. When I see 50 hours battery life I expect to get 50 hours on all volume. My Anker Soundcore last exactly 24 hours even at high volume. So why isn't Zealot doing the same? The battery life indicator is also bugging me because when fully charged it only lights up 4 out of 5 led lights (whats the point of having extra one then?). Nonetheless it is stylish and looks better than JBL.
5,Cuality  The build is very good for the price fairly above average I could even say premium the handle on the handle version feels nice the buttons are nice and clicky also very responsive and the mesh on the whole speaker is very niceSound cuality  Over all it is very very loud at max volume also the highs are always nice and clear mids are well rounded and the kick man this is what you call a punchy/kicky speaker is maybe just lacks a tiny bit on the bass and rumbleBattery  On an average daily use of 1:30hr I could say it lasts a week a bit less a bit more sometimes but it is greatDetails  The only detail I have is I would really prefer that the leds were white instead of the kinda annoying blue but no biggie
5,At first i had my doubts but after trying it for a few weeks i absolutely love this speaker its loud and great sound quality the battery life is great. I take it with me to the beach and on bike rides definitely recommend it.
5,I bought it for my fiancee' for his birthday. He wanted a  JBL charge 5. I did some comparing of all kinds of wireless speakers and the Zealot  was  the best out there..IT IS VERY LOUD and my fiancee loves it better than the JBL he had.Great speaker  with distance and long lasting  charge time .top of the line so far.
5,This speaker is great...been using it for a couple months now and the quality sound bass portability etc are all outstanding...especially on the beach where I use it most! A++ highly recommend
4,Would have given a better review but the battery life on this is NOT at all what it states. I followed directions as soon as opened and did not use it until I did a full charge got about an afternoons worth of it and then it would say low battery and you cannot continue playing on it even if it's plugged in charging thats my only con. Love the sound and how loud it is. Great speaker other than that.
4,Even on the second lowest mode it is good volume loud enough for your neighbors with thin walls to hear possibly. It is one of the loudest long-lasting Bluetooth speakers I've ever bought. I've had it for a few months now and have dropped it a couple times from low heights and now I have noticed that the top sound of the speaker either blew out or got damaged because at low volume when I first got it its not as clear/bass not has heavy on the top part of the speaker.  Hard to contact customer service since their brand is located in China. Nonetheless still a good speaker...just protect itI've ridden it out during light rain and it hasn't affected the performance of the speaker in any way love it.I usually have this strapped around my chest when I'm riding my bike and it definitely gets people's attention so they know I'm in their blindspot.For the price probably my favorite budget-friendly speaker with good subwoofers and clear sound.I have not really used the EQ modes because regular is perfect. Definitely worth the price.
5,So far I like this speaker. It has a nice loud and clear sound long-lasting battery and the buttons are easy to understand.  The carrying strap and the flat pedestal make it easy to place wherever I need i
5,Surprising that this speaker is as loud as it is. It’s a great design that looks good displayed on a shelf and with a nice leather strap to grab and go. Using this with an outdoor projector and Bluetooth 5 there’s no lag which is great and when there is (think it’s the projector’s fault I just use the 1/8” input to go direct. Highly recommend this product as a great travel speaker or accompaniment to a portable outdoor theater setup.
4,I work in a mechanic shop that gets pretty loud. So for what I use it for I don't really care about the quality I just need it to be LOUD to overcome the shop noise if you put it on the 3rd (green/least bass) sound setting it gets really really loud!!! Works for me.
5,The media could not be loaded.                                                                                 Volume is crazily loud when the two are paired together  Scared to turned up to half in fear of scaring neighbors (far). Also the sound is crystal clear doesn't sound blown off or anything even at extreme high volumes. Low  midhigh range sounds are all very clear ! Honestly I think the seller should charge more on this unit lol. The other brands are just not so good compared to this (both less and more expensive brands). I high recommend this product it is my solution to my long and tedious quest to find a pair of inexpensive but also decent quality. I would say this has exceeded my expectations. Thank you ! ( I have not given review on my first unit yet but will get to it)
4,I like it but I wish the battery life was better
5,Sounds great. I think I finally found a that will do what I want it to and still affordable. I’m happy with it.
5,The sound is amazing. I love this speaker.
