rating,review
4,The screen on this tablet is tough to look at . I'm not sure how to explain it but essentially the screen looks almost like there are two of them one normal and one that's very blue. Together they make this weird almost popping color. It reminds me of when you look at something blue against something red.The tablet is decent and the kids can play whatever apps they want on there. Some more advanced apps they can't play but they don't mind they just download another game and play that instead. They love this thing and use it a lot. The battery life seems to be really good as well.
3,I grabbed this thing for my two-year-old little girl. The apps came preinstalled and I was able to connect and sync with my profile. This was not even difficult to utilize every application worked and never found issues with the software. This came with a USB-C and that is always a plus to use since the majority of all plugs are coming to a universal plug.The speakers are a concern because of their bad acoustics it is compared to "theater mode" if people are familiar with that term. The songs from Cocomelon sounded like they were echoing too much but my little one did not mind. The viewing angles of this screen are only direct as opposed to viewing at all angles the screen will fade. The colors are dull but once again this is a kids' table to use.To keep this in consideration my little one tossed and slammed this little thing and its functions well. As a parent I would teach her and show them how to use electronics with the care and this one is the right budget to teach it with. This is one tough tablet that survived.
4,This is a perfect tablet for my little one.  We only use it if we go out to eat since service is slower in a restaurant and he gets restless in the highchair.  My only cons are that the screen protector included is very flimsy.  I cleaned the screen thoroughly and it still had multiple air bubbles across the entire screen.  Can't seem to find a protector for this specific tablet but I'll keep looking. Also I can't change the date/time. It keeps saying I have to contact the admin and is 9 hours ahead. I'm in EDT.
3,This tablet is definitely durable for kids. However battery life is less than desirable. It advertised that it had apps preloaded such as Netflix Disney etc. nothing was loaded. You can’t even put Netflix on it. You can’t download Netflix it’s not preloaded so we couldn’t access shows for our daughter. Additionally you can’t watch items that you’ve downloaded without internet. Which we wanted this for a long road trip for our daughter so it became less than ideal and more hassle than a solution for boredom in a 12+ hour car trip. All in all spend the extra money and definitely shop around but would not recommend this one
5,I like everything about it. My baby is just to young to play the games right now but it’s a nice tablet. Very educational for toddlers.
3,Wouldn't know until the 27Th of this month
5,Good tablet  works great good battery life no complaints my son loves it.Has games loaded on it too .
3,It could've been a good value for money except it's not play protect certified meaning you're very limited with app downloads
2,Battery life definitely doesnt last as long as it says connected to my home wifi for a bit and now it wont connect to none not even my hotspot sound sounds like really really cheap like $1 head phones and the case already broke.
2,In order to have “good quality” from screen it needs to be hold in certain angle down from top.
2,For some reason it's not connecting to the wifi.... It's saying limited connection and nothing is wrong with my wifi... it's just the tablet only... I have had this time for a few months now
2,Fully charged battery lasts about 2 hrs.
1,The very cheap rubber protection immediately dislodged the handle resulting in a 45 minute struggle to reconnect it. Worse the Android 11 does not play nice with Google. It's refusing to allow permissions given such as the ability to change the time zone or location. I have removed ALL parental controls from the child's Google account but still download school appa etc. Hoping Amazon takes it back because without permissions it's useless.
1,I literally used this 3 times I keep it put up most of the time because I don’t want my child attached to it…. I pick it up today charge it up and go to turn on the turn on screen starts then goes black…..my child has never used this without supervision and never more than 30 min at a time.
1,The tablet itself runs kind of slow. But my big issue is that my daughter has only had it less than a week and it is already cracked somehow and not wanting to work well. My daughter had a fire tablet for over a year and it was very durable and never broke. I was very disappointed in the durability of this tablet that is meant for 2-5 year olds. I feel like I wasted my money.
1,Can’t download Netflix on this tablet tried many different ways but I think they have it blocked. You can download Hulu and Disney plus but my daughters favorite shows are on Netflix 😞
1,Does not work after 1 month of use.
1,The tablet has a password to need to restI need it
1,It doesn't work
1,I ordered this tablet for my granddaughter and it's running extremely slow. I need to know how I return it or a tech person to see what's the problem.
1,Its to slow snails move faster
1,Nothing is good about it
1,It worked 1 day having to call for warranty fix.
1,Mala batería
4,This tablet comes with software that you can choose to use or not in order to limit the things your kids can do with the apps and for how long. I like that though I only put apps on here that are safe for my kids and will only let them use it under supervision so I haven't tried to use the parental controls yet. It satisfactorily plays Youtube Netflix and Disney. It does have a bit of lag to switch between apps and load things but once it starts streaming it's pretty smooth so no complaints there. My biggest complaint is the screen is kind of dim not very vibrant and lacks contrast. My kids haven't complained so it's definitely not a huge problem but because its main use is as a media player I would like the video to appear better on the screen.It also came with a screen protector that you can choose to put on which I haven't but it's nice that it's included. And it's rubber case seems robust enough even though it's very pliable. The kickstand isn't very sturdy so it's best to set it on a level surface and there are 2 angles that it can adjust to. The kickstand only works in landscape mode. The camera quality is not great but it does give the kids something else to do for fun. It also comes with decent apps like drawing and games.The battery lasts long enough to get through a couple movies so no complaints.. and we can always power it with a cable if we need it to last longer.
