rating,review
5,Just buy it. It is worth every penny and so much more. With my iPad Pro (2018 model) I didn't have to pair it or do any sort of setup. It just worked. Flat side magnetically sticks to the edge of my iPad (or any other metal surface) and keeps it from rolling away when I set it on a desk or table. The build quality is first rate and usability has been flawless. It works great with Procreate and GoodNotes as well as all of my other iPad apps. I think it's an incredible value for the price and I will likely buy another one just to have a spare in case I ever lose or break this one. Like I said before just buy it.
5,I’ve been wanting a pen for my iPad ever since I got mine and after using my best friends apple pen I instantly came to order one. I found this one and once it came in and used it I fell in love with it. 10x better than brand name. Love that it comes with replacement tips and a guard for the charging port so nothing gets in it. Yes the charger can be a bit longer but over all I’m in love with it!
5,This is just like the Apple Pencil for 1/4 of the price and I love it!!! It has a good battery life and charges fast. It also detects pressure applied which I’ve heard most dupes do not. You need this you won’t regret it!
5,The pen itself is great!! It charges fast and it fits perfectly within my case. I TRULY like that I do not have to worry about constantly connecting it to Bluetooth. And for it being magnetic is a plus! Thank you :)
5,My Apple Pencil battery is getting unreliable does not work with a new iPad. I bought this item on Prime Day and love it. No pairing needed turns off and on (saves the battery charge) and works very well with the iPad Pro. The pencil has two flat and two curved sides making it easy and comfortable to hold. The texture is smooth yet matte finished. The overall weighting and balance is also good. The package includes replacements tips and a USB-C charging cord.  It’s good value and I would recommend it instead of spending 4x the price for the “real thing”.
5,Don’t spend more money for the brand name. Buy this instead! It is just as good as the Apple pen for significantly cheaper. Highly recommend!
5,Funciona muy bien en el iPad Pro 12.9
5,This product works with with school issued ipad. It charged quickly and holds the charge well.
5,Exactly what I need for my I Phone 13.
5,Very good for apple tablet
5,Good product.  Can't figure why anyone would spend $125. for an Apple pen
5,Pencil works great. It charges quickly and the charge lasts for a long time. The charging cord could be a bit longer though.
4,It’s work for the price! I like it
5,I like how easy it is to hold it has a pretty simple concept on how to use it. When you are drawing with it on an iPad it doesn't show up weird!
3,It Works great but it does not have a lot of features but for the price it is alright I guess.
1,the pen broke after a week piece of garbage.
1,Did not work with me. Beware.
5,Works with my 9th generation plain ole iPad.  This is equivalent to a 1st generation Apple Pencil.  Double tap the top to turn on and it instantly connects.  Works effortlessly.  Charges with included cord.  No complaints or regrets at all.
5,The pencil comes in a nice box with two replacement nibs user manual and the charging cable. No wall charger is included I am using one of the phone adapters that has a USB Type-A port for charging.OOTB the pencil had more than 60% charge the indicator showed white color. After a few hours of use I charged it it took less than half-hour to fully charge it.It is light and comfortable to hold at different angles. There is no bluetooth pairing involved tap the top of the pencil twice to turn it on and it is connected to the iPad. Tapping the pencil top twice turns it from on to off as well it will auto turn off after 5 mins of inactivity. The indicator is super helpful to know how much charge is left.The user manual is perfect and has all the information I want to know on how to charge how to replace the nib indicator/charging guide compatible devices etc..This pencil is used on iPad 6th and 8th Gen. It works nicely for writing and drawing. Palm rejection works great. Currently this pencil is used to work on summer college daily assignments and lab work. The pencil has been working great. Really like that the contact on the screen makes less sound than the other pencil used prior to this one.The only thing that I wish it had is the nib cover. No big deal it is nice to have.I highly recommend this pencil. Just the two features: fast charger and the charge indicator make it worth the price
5,The stylus is very satisfying to draw with and holding hand it has a good way to it. Also very easy to turn on and off by just double tapping the rounded end. There is no need for any side of it just works!  I have iPad 11 pro.Battery indicators are white for more than 60% power blue is between 20 and 60 and if it glows red I need  to charge it’s less than 20%.
