rating,review
5,I would like to mwntion  the feature where you can press a remote button to take a video or a picture. This is easy to do you don’t even have to download an app. I have an apple phone and all I had to do was go to General and Bluetooth and it automatically was listed. This was very convenient. You have to touch the remote button on the remote a few times to get it to turn on. Then on your Apple phone select camera and then photo or video. Click the button again on the remote and it will record or take a photo. This feature is extremely convenient when you have your phone in the tripod because then you don’t have to manipulate the phone in the tripod to take touch the button on the phone to select photo or video. The product comes with a book on how to use it. Make  sure that you press the circle button on the tripod to adjust upwards or downwards. I like how I can adjust The tripod in any position when creating videos including close-up.
5,- Sturdy- Everything adjusts with a quick twist and tightens firm.- Angled joint is push of a button.- The arm is stiff and holds well.- Vertical extension- Very easy to set up easy to move.I have a Samsung s5e tablet and a galaxy s10 phone. Tablet is 10.5in screen size and 14.1oz. Mount has no problem with it. I move the mount from my desk to my bed and it is quick and easy.The part that holds the device has a button to extend the support width. Thus mount is easily adjustable to fit both.Would buy again or as gift if I overheard someone needing one.
5,We bought this for when we travel so we can have a place to hang my sons tablet on pack n plays. Now that he’s out grown the pack n play this item is still great and can attach to cots bed frames tables canopy’s really anything as the “clip” opens pretty wide and twist to close it firmly to whatever it is you’re attaching it to.  I see use using this item for many years to come  great buy.
5,I've bought so many of these phone holders throughout the years whether it's for the bed desk or neck that I'm quite the connoisseur of these things now (definitely nothing to brag about).  And this is the best by far.  All the points of articulation allow you to adjust it to whatever angle you need.The phone cradle itself is quite nice as it can be expanded to hold a bigger size phone.  Otherwise in its original position it can hold up to 4 inches.The holder also comes with a remote control for your phone camera.  There's a place to store the remote on the holder when not in use.  The only complaint I have about the remote is that it's battery-operated and not rechargeable which is something I loathe.  But that's very minor.I get the feeling that this holder establishes the standard for this type of product kind of how the selfie stick went through numerous iterations until it's become the mini-tripod that is standard now.  I'm willing to bet that future iterations of the desk or bedboard phone holder will be variations on this model with all the points of articulations the expandable cradle and the remote control as well.
4,Great quality. But it might not be the best option for me. I wanted to use this to watch shows on my bed. But my bedside table wasnt high enough and this product isn't long enough to have my phone right above my head when I was lying on the bed facing up.
4,I have neck issues and I found that holding up my kindle by hand to read in bed was hurting my neck and arms.  Bought this and it was a bit of trial and error since it's attached to my bed head - vertical surface as opposed to horizontal but you can move the arm via the base so that the hinge in the middle sits sideways so I can swing it out of the way when I'm finished reading or getting out of bed. The tablet clamp and head can be rotated and bent to the best angle for reading.  The only thing I might get next is the page turner for the kindle!  LOL!
4,Im surprised by how many positions l can get to fit my needs. I use this in bed clipped above my headboard. Im using it right now typing this review laying in bed. I love it!
5,Gets the job done and is sturdy enough for heavy phones use this as a desk mount and to hold my phone still to take photos of things to trace for 3d printing
4,It's normal spring loading arms are easy to use it will not take a larger size item unless you press a button and pull the arms out longer. The extensions lock in place once extended then you can use the spring arms to hold the tablet again. Once I figured that out all was well.
5,I have some neck issues and can't hold my cordless landline phone so I use this to set my landline phone on to use.  I put it on speaker and use it like a microphone stand.  I like it because you can adjust it a little or a lot.
