rating,review
4,I'm a constant gamer typically playing Apex Legends. I was going through a pair of Duracell AA's very often and I figured I needed a more cost effective option. I purchased this kit after reading the description. The kit works great it's compact lightweight the charging indicator lights are bright and easy to determine if charged or dead/charging.When received I opened the box got all the battery packs on the charger and allowed to charge for 6 hours. After they all showed fully charged I put one in my Xbox controller and started gaming. I was surprised when the battery pack lasted for 3 days (15-20 hours playtime) on the first charge! This battery life continued for about a month at which point the battery life started to decrease. I've used them daily for about a month and half now and charge will typically last about 6-8 hours of play timeOverall these are worth the money and I would recommend them. Though the battery life decreases over time I'd say they still save you lots of money over using traditional AA batteries.
5,My nephews are avid gamers.  Comment ~ The Noiposi Rechargeable battery pack for Xbox One S/X and Xbox Series S/X Controllers works awesome and I'm so happy I own a set of these batteries! My brothers and I play all of the time and we go through a lot of batteries. We didn't want to pay for the Microsoft ones because they are super expensive so we got this one and we are very pleased! We get about 20 hours of usable time per battery which lasts about 2 weeks for us! They charge quickly and don't really make the controller much heavier. It's a 2600 mAh battery and you get 4 of them or one per controller. Overall I give this 5 stars!
5,What a great gift for yourself or your kids. We share an x xbox so this rechargeable battery pack for Xbox one controllers is perfect never have to worry about having a working controller. This4x2600mah Xbox one controller battery pack has high-capacity rechargeable batteries and a charging dock.Made for Xbox one s/x the Xbox series s/x controller will give you long-lasting batteries with up to 25h playing time. These batteries really do last longer than your typical ones .no more worrying about interrupting your game for swapping the battery. Not to mention this thing just looks cool as a spaceship.
5,Brought these for my son.. he love them. He stated one will stay charge for a couple days. Which is good bc he's on the game all day.
5,Works wonders! Battery life is for days on end and they charge in a snap! I cannot describe how much I love this it is so helpful
4,Order was delivered quickly. Batteries and charger seem well mase
5,So easy to switch out and same time better for the environment and wallet.
5,Great size it’s nice to have 4 batteries to switch out between the controllers. We were going through so many AA batteries before switching to these rechargeable ones.
5,I've had this item for a few weeks now and it has not let me down at all. I keep the USB cord plugged into the Xbox Series X and it keeps three of the four batteries charged and ready. When the one in my controller needs a recharge a simple swap is done and I'm off playing again.The batteries themselves last quite a while. I play several hours a night and the batteries last a few nights for me. I've not recorded actually time but I feel like they last longer than standard AA batteries when they are installed.The only issue I had initially until I figured it out is that the batteries only truly fit in one way. Yes they might go into the controller if forced but be sure to check where the little tab is on top of the battery and match it to the controller. Other than that these are the perfect companion to the Xbox Series X controllers.
5,Worth having honestly. No problems so far like having 3 full battery’s on hand when playing all night lol
