rating,review
4,Update #1 - 9/22/02It's been about two months this I installed this camera at our cabin in the woods.  The location consistently shows just one bar of 4G reception but I have yet to have any major problems accessing the camera remotely and viewing live video.  Due to the poor reception there have been a very few times when I haven't been able to connect but that's the nature of the location.  Cellphones barely work at all there either.  The solar panel keeps the battery charged to 100% every time I've looked at it.  Once in a while a motion detection video will record locally but not upload to the cloud and generate an alert...  I assume that's because of reception issues.  My main annoyance with the camera continues to be the fact that you cannot delete individual records off the SD card.  The secondary annoyance is that every time you log in and live view or review a video it creates a recording on the SD card.  Weird...  Nothing that would prevent me from purchasing another one of these though.  I'm still happy with the overall performance.Let me start by saying that I really like the camera itself.  It seems very sturdy has good night vision and reasonably quick motion detection.  I like the option of having a visible light come on at night OR standard IR for a more stealth installation.I was a bit worried about the location that I wanted to mount it...  In the middle of the forest in Northern Wisconsin where AT&T TMobile and Verizon all have poor coverage to watch my cabin (and do dual duty for watching wildlife).  I must say despite some of the reviews my camera averages between 1 bar and 2 bars and I've always been able to connect to it and do live via an SD stream and re-aim the camera if I choose.  It's already survived a pretty decent thunderstorm and it appears to be working just fine.  The solar panel has kept it charged at 100% during the day.If money weren't an issue the $1.99/month cloud service (7 day retention) isn't really that bad... but it chews up the data pretty quickly which is what actually get expensive.  I opted to just save video to a 32GB SD card and you are able to connect remotely to view the video and download them locally if you like.Now we get to the software...  I am NOT impressed with the software.  Some of the terminology is a bit off but I can live with that knowing its a Chinese product imperfectly translated.  What I dislike about the software is that while you can delete individual cloud-stored videos there is no way to delete individual videos from the SD card.  The only option is to complete reformat the card.  This seems like a completely unnecessary restriction.  The software does hound you for permissions every time you startup unless you grant them permanently.All in all if you deal with the odd SD card issue and don't mind paying EIOTCLUB for data to access the camera remotely (why else would you buy a $200 camera?) this seems to be a good option.
5,Out of the Box this was a good quality camera.  Really no assembly needed.  I plugged it into 120v to fully charge the included battery.  I installed the Application on my phone and scanned the camera to add the device.  The pre-installed SIM card was activated which came with the 100MB of data as described.  I installed at my property as designed.  The location of the property is such that I only get around 1 or 2 bars of signal from the AT&T/TMobile tower but the camera functions flawlessly.I have one suggestion for future upgrades/changes....it would be great if you could integrate the Data usage directly into the Camera Application software.....I find it cumbersome to have to constantly go to a saved webpage on my phone to see how much data I've used.
4,Using my Mint Mobile Sim and 32Gb SD card from already working other brand 4g cell cameras (solid 2 bar 4G signal)Pros- Good picture in both SD and HD (wide) angle is good for viewingGood range of motion in the PTZ and smooth movement real plus.Good solar charge Good battery life.Easy & quick set-up to iPhone 13 with 15.6.1 IOS.Good bright white led spot; toggles to bright night time IR wide spread.Timely notifications to phone when alarm gets triggered.Microphone is a bit directional  thus background sounds can be faint. Speaker sounds typical squawky small.Included 100Mb sim is only a sample and lasted several hours to a day before you MUST purchase more data or another sim service. 2GB to 4GB monthly works for me checking camera 3 times daily.I have not tried their cloud service yet.UBox app for camera to smartphone NEEDS improvements. Font is way too small thus needing magnification and light grey on white background is horrible. Some features are hard to understand thus a youtube Ubox tutorial is a necessity.Motion detect is mediocre Low-Med-High and would be much better with zero-to-10 scale and user defined area.EDIT— This is a revised review. 1st camera received had bad microphone. Customer Service Dept did eventually solve problem to my satisfaction.
5,This camera surprised me with how easy is was to set up install and use. It works great and does literally everything I wanted. And it does it well. Easy peasy. I have a beach cottage in another state that I will be leasing annually. Utilities will no longer be in my name so will lose internet access myself. The 3G/4G/LTE allows me to see streaming live both my beach AND my house by panning tilting zooming night vision (in two modes via white light for color or infrared for less noticeable black and white). It is my favorite gadget hands down. Bought an inexpensive SIM card and the cheapest data plan available from one  of the recommended carriers and — bam stylin’ online feeds to my phone!  I am going to buy another for the home I live in up north.
5,If you're looking for a remote camera without wifi and no power this is the camera system for you. I have 20 acres in a remote area with no power and no internet and this camera preforms better than my cameras that have power and internet.The picture is super clear in HD mode and you can control the camera with instant movement from the controls on your phone. The camera is super easy to use and comes with everything you need to get started. The sim card only last a couple of days but you can reload the card using their website and the plan only cost $100 for an entire year of viewing or cheaper options are available.  I'm so happy with the camera that I purchased 4 of them.I strongly recommend this camera system for anyone that needs a remote camera that doesn't have internet or power available on the site you're trying to protect.
5,High quality camera sleek and works in remote areas. I'm very happy with it. Instant peace of mind
5,I got this as a birthday present from my wife. At 48 this is the kind of stuff we get excited about!  I thought it was just a security camera at first but as I started setting it up I kept discovering new things … you can toggle it night vision motion detection!  We have a property that is very far from where we live and I can’t wait to set it up there so I can enjoy the views when I can’t be there!
5,Great buy. When you run out of data on the little card it gives you upgrade to a bigger plan. Scan that QR code and it pulls right up. I did the 1 year plan. It's the biggest one you can buy with that sim they give you. Great quality and nice unit
5,The camera was quick and easy with the app and included SIM card warning the included SIM card has only 100 mb of data for trial so it is used up quickly pay for more data on the website or switch to your own cellular carriers plan. The app could use a data used and remaining for their SIM card plan in my opinion. Scheduling the camera operational times isn’t straightforward it’s arming time and you can’t run it overnight without making two schedules since it’s on 24hour and won’t let you extend past 24:00 into next day so 20:00-24:00 then 1:00 to 6:00 to cover 10pm-6am. The app could use a few upgrades in my opinion. The camera function is very good as is picture quality. super easy setup. I recommend fully charging camera first before initializing it in the app and setting it up. APTZ all worked well easy to use tutorial on the app was easy t follow.
5,I have a hangar in a remote location with no electricity or wifi.  This camera is working great for me to monitor the setting.  All the features work very well and exactly as described.  Recharging the SIM card that came with the unit was also very quick and easy.  I'm so happy with the camera and the customer service that I'll likely get another one!
