rating,review
5,I really do like this watch and all of its features including the gps. It works well with my Samsung Galaxy phone which is a couple of years old. I did want this in large part for the Sleep feature and that is very sensitive. You have to have it in a specific spot and a specific tightness every night. Otherwise great watch
4,This is my third Galaxy Watch.  I very much like the watch.  It now has a compass and the health features are improved.The description of the watch said it came with a gray wrist band but it is white.  Not cool for a guy.Watch -- great.  Wrist Band - disappointing.
3,This new Galaxy Watch 5 comes in 40mm or 44mm versions and in so many ways it is VERY similar to the Watch 4.  This year Samsung is NOT releasing a “Classic” version of the Galaxy Watch instead they have a regular Watch 5 and a Watch 5 Pro.  NEITHER version has a rotating bezel like the Watch 4 Classic had which is a huge disappointment to me.  I really liked the rotating bezel and not even having any models with that option this year is frustrating.--UPGRADES from Watch 4 to Watch 5:-Bigger battery:  Watch 5 has 410 mAh battery Watch 4 had 361 mAh battery-Gorilla Glass Sapphire/ Shape of Back:  This glass should be slightly more scratch resistant and the bottom of the watch sits a little flatter against your skin.-Software additions:  Improved sleep tracking features updated version of OS (WearOS 3.5 with OneUI 4.5)That’s really it.  Everything else about the hardware from the display to the processor RAM speakers everything is basically the same as the Watch 4.  It just has slightly more scratch resistant glass a shape that sits flatter on your wrist and a bigger battery.  None of these things are even very noticeable and so overall this must be the smallest upgrade I’ve EVER seen in a smart watch.  There are some slightly more advanced sleep-tracking features in the software but still this is barely an upgrade at all over the regular Watch 4.  I can’t recommend upgrading to this Watch 5 if you have the Watch 4 and if you have the Watch 4 Classic then I would consider this Watch 5 a significant DOWNGRADE because you would absolutely miss the rotating bezel in the Watch 4 Classic.So if you don’t own a smart watch at all maybe you could consider getting this but even then you would probably be better off buying a Watch 4 because it will be less expensive.  I honestly can’t think of any situation in which I would recommend buying this even though there is really nothing wrong with it; it just doesn’t seem to be worth paying more for this if you have or can get a Watch 4.  I will still test it out and see if I notice anything else over time but so far this is very disappointing.  Maybe the more advanced sleep-tracking data will impress me over time?  Stick with the Watch 4 or Watch 4 Classic in my opinion.
5,I went from a fit bit versa to this watch and I have a Samsung 21 phone and I really like how much better it works with my phone.
4,Overall I really like this watch. This is my first Samsung watch so I can't compare it to the previous model but I can tell you it is a huge upgrade from the very small Fitbit I had. It would get 5 stars from me EXCEPT Samsung does not support the Nutracheck app which is very disappointing. Battery life is only good for about 24 hours but it does a lot. I'm not sure how this compares to similar watches.
4,I upgraded to this since my Galaxy Active 2 decided to give up the ghost a mere week and a half before the 5 released (talk about timing). I really like the sleep tracking and the additional biometrics (though I still can't figure out how to do blood pressure); step counting also seems more accurate. Really bummed though that it comes with a USB C (the 2 was a USB A) with no advanced warning and no plug (I've had to order one...currently piggy backing on the charger for another USB C device). Generally pleased though.
4,I would recommend this watch to my closest cousin in law. (I've cried for her)
4,I use it for everything talking texting sleep tracking etc. Just don't like that I have to have my phone right with me to use it unless I get one that has its own subscription.
5,My first smartwatch and I love it. I had trouble checking out at Samsung's website so I purchased through amazon instead. Faster delivery lower priced warranty product offered. Pretty solid build.
5,This is my very first smartwatch and I'm so happy I went with the Samsung Galaxy Watch 5.  This is ashort-term review but so far so good.  I've worn my watch to the gym twice and I love the feedback I receive when I'm working out and it's very comfortable.  I like the fact that I can make so many changes from the home screen items I can add and remove and alerts I can set.  My watch also allowed me to download Google Assistant which was a snap.  Since this is my first smartwatch I do not have another smartwatch to compare the Samsung Galaxy Watch 5 to but the watch is awesome.  Yes I'm bringing awesome back.
5,The watch was buggy as originally received a patch fixed a number of these and I am getting about 68 hours on a charge. This is a great watch for those of us with visual impairment.
5,Went from a 4 to a 5. Watch is great. Display features etc are what I wanted as I am a senior trying to monitor my health. Improvement over the 4. But again battery life is an issue. Need to pick a time to recharge EVERY day. Wish Samsung could have found a better battery.
5,I really like it it helps me keep track of my heart rate
4,This is a epic smart watch. I am very pleased.  The only reason why I give it 4 stars vs 5 is the water resistance is not what I was hoping for. I am a swimmer and hoped to wear during exercise.  After a ton of research swimming with the watch was highly discouraged Despite the water lock function. Just he warned if you are a swimmer
5,Works great. Fast delivery.
5,Is a nice watch like all the Samsung but Amazon description says it takes blood pressure but it dont.
5,I really enjoy my watch except I do not like how I'm to charge it.  It should have come with a charger that was separate from my phone
4,El producto me encanta el único problema es que compre el producto en preventa y no me llegó el cargador dúo que viene de regalo por la compra necesitaba mucho ese cargador.
4,Too difficult to work
5,First smartwatch I have had and very pleased.  Works great.
5,Works as advertised.  She likes all the features and the GPS shows distance walked sooner than my galaxy watch 4. We walk together but she walks farther and faster. :)
5,Beautiful
4,It's OK I mean the battery sucks!!!! That defers me alot. It's not real easy to navigate I don't think. But it could be because I'm old lol
5,I like it a lot.  Battery seems meh but that's the trade off I get for needing a smaller watch for my small wrists. I'm not going to use it for sleep so I'm not concerned about it lasting 24+ hours before charging.  Screen looks nice works great I dig it.
5,Beautiful 😍
5,Battery life is my only issue
