rating,review
4,Plugged right into usb in Road Glide pocket Bluetooth connected to my phone and it pushes car play wirelessly to GTS system flawlessly. No drop connection or anything found yet. Note I have the CarPlay adapter/dongle I purchased from Amazon as well. The two pieces have caused no issues.  Nice to not have to take my phone out of my pocket and have wireless CarPlay available on my Screen.
4,Easy way to add wireless CarPlay to my GR86.  Fits in the center console very well.
3,Just got it today for my 2016 Sierra. Installed it very quickly in about 60 seconds. Immediately worked without issue. Preliminary testing went well. Only time will tell on reliability and durability.Update:The device typically works well. Unfortunately every week or two the device must be completely uninstalled from my iPhone13 and reinstalled to the Bluetooth for it to work. It’s extremely annoying and should be unnecessary.Also the sound occasionally doesn’t work and you have to mess with the apps to get it to work. That seems to happen right before the device requires a complete reset. I think I’ve reinstalled the device half a dozen times since I received it.
3,Overall this product is good enough. It does what I was hoping to do which is wirelessly connect to my cars car play feature. Now the audio is delayed by about 2 seconds and every so often it will disconnect or shut off. But it's infrequent enough that I haven't gotten angry with it. I've gotten around the audio delay by choosing my own audio device output in Spotify. I'd purchase again
5,Very surprised how easy it was to set up and how well it works. I have a 2022 Mazda CX-5 (with an apple cad play USB port in the center console). I have an iPhone 13pro. I plugged in the apple play adapter to the car then connected my phone to the Bluetooth signal. Now when I start the car the apple play is connected right away automatically. Just want I was hoping for.
4,This thing is great love the wireless feature. Only down side is there is a 1 second delay when you skip to the next song. Other than that would recommend
4,Hasta ahora excelente
5,I bought 3 dongles and all works very well.Wrangler 2021Porsche Targa 4S 2019Taycan 2021 * need to upgrade firmware and setup some thing at de Porsche multimedia.
2,I have a 3018 Subaru Crosstrek. It works fine connected relatively easily. No complaints initially. First few days of using it I noticed more glitches. The touch screen would randomly switch over the phone screen within the CarPlay app as if someone was repeatedly pressing the screen. These are intermittent glitches. There is a delay when switching music. And I have used it to speak on the phone and the person I spoke to reported it worked fine but was quieter than using a cable regularly.So it does technically work I could probably deal with the glitches as long as I wasn’t relying on my cars screen for the gps.Probably wouldn’t get it again still deciding on if I want to return it.
5,Great item just like the tittle says plug and play  very Edy to connect
