rating,review
5,Have you ever wanted to feel as if you were at a private concert of the music you love at home?This is what Rizizi offers in this model it is an oasis to the ears the sound quality is exquisite and its shape is a marvel for those of us who enjoy outdoor activities such as hiking in the mountains going for a run walking quietly around the house or just being somewhere with ourselves; because there is no danger of falling to the ground and not having wires gives us freedom of movement that we all like imagine being at home doing simple things like cooking and enjoy your favorite music without having to disturb others or take a quiet evening to listen to the audio book you have pending.Another plus that this model of headphones offers us is that the case in which they are kept indicates the charge level that each earbud has due to an easy to see screen in a bright green color in the front face; so I don’t have to worry about how much charge will have or to run out of battery in the middle of that song that we are enjoying now we know certainty how long it will last us and when we must put them to charge them again this charge can be done by means of cable or placing them in its base that is beautiful to the sight.Another improvement in this model with respect to the previous ones is that the microphone works perfectly which allows us to answer calls at any time whether we are doing sports driving or while listening to a song we can pause and answer without problems; I  hear and I am heard clearly two fundamental things for me in this type of product (nobody wants earbuds that do not sound well or keeps disconnecting the Bluetooth to be able to answer the phone call).Another thing I liked is that we can pause what we listen by pressing the button they have right in the ear is simple and very practical as well as increase the volume without having to remove the phone or computer.I have tested these headphones with Bluetooth connection on the cell phone and laptop and I must say that something that surprised me pleasantly is the distance it supports because you can be about four or six meters and still hear perfectly just as I did the test leaving the receiver in a room and I on the other side of the door being closed and still listening well which I like because it gives us an autonomy of movement and saves us from being with the phone always on top to listen.With respect to your listening has a practical size can put it in the bag a kangaroo briefcase since does not occupy almost space the design is discreet and classic which I like because it looks elegant with the rest of my devices in black this case also works as a charger so if we arrive from some activity where we use them and have lost some charge we can put them in their case without connecting that will begin to charge and as I indicated we will know with certainty that charge has I have used them for hours and really keep going so I can spend up to days without having to connect the case to the power or put it in its charger base.One suggestion on the case that as a user who likes outdoor activities I would ask and that would be useful is that it should have some place to put some kind of strip to hang it or tie it inside the kangaroo or bag to avoid losing it because if we are outdoors they could fall and it is something that depends on the site could be an oversight that we would regret a lot. As a user if there was no option to put something to tie it or have a kind of keychain I would look for a cover to keep them and take them everywhere.So what can I conclude after the time I have used these Rizizi earbuds? That it is worth buying them because the sound is excellent (I love going for a walk in the mornings with them they are that oasis while I walk) its design does not mistreat the ears they are very comfortable so we can spend hours using them without pain now we can take calls and be heard clearly; it is a let's talk on the phone and continue doing what we do. And the plus of the design of this case that for me is one of the best I've seen with the inclusion of that screen that makes us finally know how much charge they have. In short I highly recommend these Rizizi headphones.
5,I’ve worn all sorts of “cheaper” earphones and as soon as I put these on WOW!! These very much impressed me. First tune: Take No Prisoners - Megadeth. The bass response was excellent even on low volume. Wearing these at the gym was a blessing so I didn’t have to hear all the obnoxious gym rats chatting instead of working out and their loud grunting as if to draw the attention to the fact they are trying to eek out one more rep. Saved my sanity and the gym is a pleasant experience again. The fit was comfortable out of the box and I wear glasses. The tech with these was easy to use and I appreciate that you can just pop them in and out of their case to connect/disconnect to Bluetooth. I would absolutely buy again!
4,So I’ve had Bose Apple and Beats products.  They are obviously more expensive and quite honestly the quality of the sound and and overall manufacturing is clearly superior. However I need the over the ear loops I sweat a lot when I cycle here in Houston.  Regular buds won’t stay in my ears and I’m tired of losing them.  For under 40 bucks these are great value.  The sound quality is decent and they stay in my ears. No noise canceling which is what I would expect for the $.  Yes you can spend 2-3 times as much for the “named” brands but if you’re looking for something that gets the job done at a great price these might be for you.
4,My only complaint for these would be that if I pause my music for a couple minutes they always disconnect and I have to reconnect them. But it’s not a big deal. They sound great and the battery lasts forever. I haven’t even charged them yet and I lost track of how long ago I bought them. Super great purchase!
4,Sound is decent for running buds. So far so good!I have several hours of use in the mostly running on the roads paired to my phone and Garmin watch with some music and Spotify on the run. I have also sued them for a little video viewing on Note s22 and tab s7.  It has been a great experience has been great in all uses so far.Don't think I qualify as audiophile as I want them to be first a great running option and secondary phone and entertainment and for them at they excel.
5,At first I didn't like these and was gonna return them because they seemed too big for my ears and felt uncomfortable however the sound quality is just perfect to me so I kept them and eventually figured out the correct way to wear them and they're soo comfortable and did I mention how awesome the sound quality is?? Just GET THEM  You Won't regret it! ☺👍
5,These over the ear headphones are perfect for me. I have used them for more than a month. That's at least 20 hours of gym time. Pods or buds just fall out for me. These stay put while I do my routine. The sound is about 8 out of 10. I am not an audiophile and I listen to a mix of rock country pop some hip hop. They paired perfectly with my android phone. I place them back in the case when I'm done. I have not needed to recharge the case yet. It shows %25 still left. Volume control pause change track answer phone are all easy. What a bargain! One of the best things is I can leave them in my gym bag for over a month without recharging.
5,Headphones are great for my workouts.  If I run or in the gym these have been the best work out headphones I have owned. The sound quality is good (not great) durable and even when sweating after an hour or running 10 miles no issue with moisture or anything.  Battery life is very good and portable charger is great and convenient.  Definitely would recommend to anyone who works out.
4,I bought these on Amazon Prime Day and so far I'm pretty happy with them.  The only issue I've had has been with the connectivity.  This has happened twice I have to pause what I'm listening to on my phone and when I go back to listen my phone acts like it's playing but there is no sound.  I'm blind and use the android talk back and that is not coming through either.  The only way I can fix it is to power down both headsets and phower them back on again.I still like them a lot they are very comfortable and have decent range.
5,I use these earbuds for audible books watching TV & listening to music. My favorite thing about them: I have had these for 2 months now using them consistently and haven't had to charge them once! They pair to bluetooth really easily. The sound is great! I have no problem hearing with just one earbud in. They are not too big or heavy so they don't fall out. These are perfect!
