rating,review
5,I purchased this right after getting my new iPhone 14 and the new AirPods. I’m not a huge fan of charging docks like this but with the MagSafe charging o just had to give it a try. And it’s at the perfect price point too!It charges fast charges my watch and AirPods case and doubles as a night light when I need to get up from the bed and don’t want to wake up anyone in the room!Once my significant other upgrades her phone I’ll be buying another one!
5,I’m not one to write reviews but I was in the hunt for reliable charging station I had purchased one before and literally only lasted 3 months before it stopped working and then his by far has been amazing super easy to set up and charging all my Apple products over night have never been easier without having to have my phone watch and ear buds all plugged in at the same time! Definitely recommend!
5,This charging station is really great. It looks nice and its a nice addition to my desk. What I really like about it is that it has a light that goes three ways and off so if you want a little light on you can. If you like it dark then you can shut it off entirely. It holds my phone nicely and my watch which is apple 7. It doesn’t ding it sticks right on and charges quickly. I really really love this it’s pretty and very very functional five stars!
5,I have a iPhone 12 with a thin clear plastic case. It holds against the magnet ok and charges fine. My Apple Watch series 8 charges fine and no issues charging my AirPod Pro (2nd gen).In all cases I think plugging a cable into the phone and AirPods directly would be faster But I think that would always be the case no matter what magnetic charger you are using.
5,This is the perfect setup for my Apple devices. I have the new iPhone 14 max pro and it fits perfectly with my magnetic phone case. The magnetic phone charger is very strong and attaches easily! The convenience of being able to charge my iPhone Apple Watch and AirPods one one area without 3 different chargers is a game changer! Buy this you won’t regret it!
5,I bought multiple chargers in one month that said they could charge all three and this was the first one that could. It doesn’t matter what kind of case you have on your phone like most chargers if it magnetic it won’t charge but with this charger it will.  Chargers quickly and the little night light is a nice feature.  I absolutely love this charger!
5,Does exactly as it states. Night light is very bright when you need it to be. Charging is super fast for watch and phone. Haven’t tried yet for pods. Only issue can be that the phone has to be at the exact right spot for it not to slide off periodically. Once you realize the sweet spot it is perfect!
5,Being able to charge all your devices with one charger is great enough of itself add to that it has fast charging too? So impressed with this product I bought another for my girlfriend as well. Tried a few others but they didn’t provide fast charging happy to say this charger hit the nail on the head
5,A great value having an 18w power brick included. Only one USB-C cable coming out the back keeps things nice and organized. The magnets on the iPhone and Apple Watch charger are nice and strong. Charges my phone watch and AirPods quickly and effortlessly. The bonus nightlight feature is pretty cool too. Overall worth every penny.
5,Awesome charger! Can charge phone watch and air pods. The air pod spot can also charge a phone. The only issue is that the base is a little light. It could use a little more weight to stabilize the charger when the phone is on it.
5,The media could not be loaded.                                                                                 if you own an Apple phone then odds your battery is low at this moment. This device will charge 3 ios devices at once and fast too.  All 3 chargers can work simultaneously without robbing power from one another. I find that a phone with a smooth case backing will charge just fine on this device. If your phone case is not completely smooth and has raised ridges you may want to switch it out.  The case for your earbuds can rest at the base of this charger and get some good charging or you can simply place another apple phone on that same spot. Your smartwatch as long as its an apple product should charge up just as good on here too.This charging station really does look sleek and modern in overall appearance and should display nicely on your desk or nightstand. Really helps to manage the amount of cords you have to deal with as well. There is a light too at the base which enables you to see where everything is when you wake up super early before the sun like I do. Don't have to fumble around for my devices in the dark or turn on a main light and disturb my slumbering spouse.
5,I went through several of these type chargers and ended up with 2 of these. The magnet is strong the charge speed to very good the layout is perfect. This is the best of the 3-way chargers I have found for my iPhone 14 AirPods and Apple Watch.
4,This is the perfect setup for my Apple devices. I have the new iPhone 14 pro and it fits perfectly with my magnetic phone case. The magnetic phone charger is very strong and attaches easily! The convenience of being able to charge my iPhone Apple Watch and AirPods one one area without 3 different chargers is a game changer! Buy this you won’t regret it!
5,This charger works well! It came packaged nicely and charges my Apple Watch and phone quickly. I use it overnight and have no issues with battery in the morning. The stand is not bully and sits well on my nightstand.
5,I was pleasantly surprised at how fast this charges my iPhone 13 Pro Max.  Way faster than the cord provided by Apple.  I love the little light at the bottom as it comes in handy in the dark mornings.  I couldn't be happier with my purchase and it was a great price!I also use it with my Apple Watch 7 and my Air Pods - they all charge incredibly fast.
