rating,review
5,This thing is exactly what I needed.I have internet probably about 30-50 yards away from my RV. Yes I'm RV living. So the wifi only reached (with a weak signal) to the edge of the RV. I put the extender inside and it couldn't grab the signal so I put it outside on the edge of where the signal stopped. Now I have wifi inside and on most of the property with excellent service. The RV is covered from the elements so the extender doesn't get wet.On e plugged in it took a little bit to turn on and figure out since the instructions are kinda vague. However this thing is highly recommended and saved me from getting an extender that was going to cost way more from a friend at the wifi company.Note: it's best to use it where your wifi ends or stops to extend the wifi out if you are quite a ways from the router. I could see this being great for RV travelers to get that strong full signal.  Or anyone that can't get wifi in certain parts of your house or property. Definitely buying more in the future.
4,I bought this specifically to reach a smart TV in a back room that could not connect to my WIFI. Initially the extender would not connect as accessing the required website was not working properly. I was very hesitant to log into this website as my computer showed it was not HTTPS protected. This concerned me but even more so having my computer possibly exposed to outside entities including the maker of the product. You have to exit your password protected router connection on your computer (or smart phone if you choose that avenue) to access this extender; to make the initial connection.I backed away from utilizing it but after not finding any reviews noting the same concerns I tried again a few days later and the site worked. I obtained the connection desired on the extender and connected it to the TV in question. I then exited the connection made on my computer and re-connected to the main router. I feel better about this but I am no tech guru and could be completely off base as to whether my computer was / is / has been potentially compromised.As for the connection to my TV - I now have an "excellent" connection when before it was "poor" and unable to stream.I plugged this into a wall socket about 70 feet away and just around a wall corner leading into the rear bedroom; and it communicates.So far I am happy with the increase in connectivity but admittedly still a little leery overall. Trust is difficult at least for me when it comes to this type of stuff. Just being real...
5,My husband works out of state and lives in company campground. Wifi is available but since he is the last camper he cannot even pull up the network to log onto wifi.  Researched read reviews and purchased this with the thought that - if it doesn’t work no problem we can send it back.  Plugged it in and within 30 seconds WE HAD WIFI!Awesome signal with no lag at all.  Very easy setup!  I would suggest this for anyone trying to boost their wifi.  As I said We couldn’t even pull up the network before to enter password.  Now we have 3 phones iPad and tv all on the network with perfect wifi!!!  BUY THIS PRODUCT NOW!!
4,Well the first time the order never came I had to call to get another one shipped to me........It did help a little I had a poor single in the back bedroom.......Before the signal was always poor to medium with this booster I do get a continuous medium signal............... my home is only 1500 sq.ft. and they say this should cover 8000 sq.ft so I was hoping for a lot stronger signal in the back bedroom
5,Super product!  Very happy!  Installed and running in 5 minutes!  Now have an excellent signal throughout the house.I've fought my internet provider for years with poor signal in parts of my small house.  In order to fix first they said they'd send me a free extender if my signal didn't improve.  We look it didn't improve and they refused to send a free extender instead this me to purchase one for $150.  Thought I would give this one I found a try so glad I did!  Thanks have a great signal all over how.
5,Ordered this product because I wasn't getting much of a signal with my current WI-Fi in the back rooms of the house and out near our lake.  I received the product quickly and followed the instructions that were in the package.  I also watched a movie they had about setting it up online.  Got it all set up in minutes and went outside to test it.  I signed into the network for the extender which took a minute or so then I was receiving a signal out near the lake.  Had been wanting to buy an extender for awhile and after researching for about a week I decided on this one.  Good choice in my opinion.  I'm no tech person but if I was able to set this up so can you.  Happy with my purchase to date.
5,This extender is perfect for any home.  I have a 80 ft long house and the modem is at the opposite end of my grandson's gaming PC. He placed the extender midway of the house and everyone has excellent signal for all our electronic needs!! Perfect piece of equipment!!
5,I bought this wifi extender to extend the wifi signal from my router (located in my basement) to a shed about 90 feet behind my house that has a TV and online gaming.  It works great.  The extender is situated under a covered porch in my yard so there is no problem with the weather.
5,The Wi-Fi extender was easy to setup. I plug it in. Connected to the extender with my cell phone set it up andit was ready to use.Solved my dead stops issues and the 2.4ghz resolved my issues in the back yard which is about 140 feet from the router. The Wi-Fi is now useable all across my property. which is 70 ft by 198 ft
5,I have tried several Wi-Fi expanders and had no luck or very poor signal. Now I have great signal and service without interruption. No more searching or waiting for the signal to load. I recommend this product 10 out of 10 times.
